r,l,t,is_success,dead_loop_events,wall_collision_count
-212.0,256,1.179769,0.0,216.0,44.0
-210.0,256,1.606105,0.0,219.0,44.0
-198.0,256,2.025928,0.0,210.0,54.0
-185.0,256,2.448717,0.0,234.0,71.0
-192.0,256,2.888016,0.0,221.0,64.0
-181.0,256,3.327222,0.0,234.0,75.0
-197.0,256,3.800549,0.0,221.0,57.0
-194.0,256,4.231342,0.0,206.0,60.0
-194.0,256,4.665917,0.0,201.0,58.0
-193.0,256,5.096101,0.0,209.0,61.0
-200.0,256,5.588491,0.0,229.0,52.0
-181.0,256,6.037114,0.0,234.0,75.0
-187.0,256,6.53797,0.0,232.0,69.0
-188.0,256,7.063943,0.0,234.0,66.0
-192.0,256,7.53796,0.0,219.0,62.0
-188.0,256,7.978488,0.0,225.0,66.0
-193.0,256,8.406937,0.0,234.0,63.0
-199.0,256,8.836587,0.0,205.0,55.0
-206.0,256,9.268972,0.0,212.0,50.0
-193.0,256,9.703983,0.0,234.0,63.0
-196.0,256,10.139764,0.0,228.0,58.0
-198.0,256,10.574836,0.0,234.0,58.0
-175.0,256,11.013942,0.0,234.0,81.0
-205.0,256,11.460197,0.0,195.0,51.0
-207.0,256,11.893462,0.0,167.0,49.0
-192.0,256,12.34114,0.0,221.0,64.0
-192.0,256,12.774988,0.0,234.0,64.0
-200.0,256,13.215442,0.0,234.0,56.0
-186.0,256,13.731908,0.0,208.0,66.0
-171.0,256,14.179283,0.0,233.0,85.0
-180.0,256,14.636912,0.0,211.0,74.0
-171.0,256,15.081636,0.0,234.0,85.0
-177.0,256,15.544177,0.0,234.0,79.0
-190.0,256,16.004839,0.0,226.0,66.0
-184.0,256,16.458961,0.0,187.0,66.0
-175.0,256,16.940173,0.0,231.0,81.0
-176.0,256,17.407089,0.0,192.0,78.0
-168.0,256,17.904052,0.0,234.0,88.0
-156.0,256,18.397849,0.0,234.0,100.0
-178.0,256,18.853229,0.0,195.0,78.0
-184.0,256,19.301749,0.0,204.0,70.0
-189.0,256,19.7449,0.0,194.0,65.0
-179.0,256,20.190364,0.0,189.0,77.0
-175.0,256,20.650604,0.0,209.0,81.0
-172.0,256,21.147548,0.0,232.0,84.0
-171.0,256,21.639482,0.0,218.0,83.0
-144.0,256,22.107171,0.0,234.0,112.0
-160.0,256,22.588337,0.0,210.0,94.0
-165.0,256,23.048628,0.0,214.0,91.0
-163.0,256,23.515333,0.0,196.0,93.0
-145.0,256,23.990827,0.0,234.0,111.0
-170.0,256,24.471344,0.0,229.0,84.0
-153.0,256,24.940893,0.0,234.0,103.0
-166.0,256,25.403187,0.0,230.0,90.0
-164.0,256,25.87176,0.0,139.0,90.0
-153.0,256,26.39245,0.0,208.0,101.0
-171.0,256,26.933853,0.0,228.0,85.0
-181.0,256,27.429631,0.0,209.0,75.0
-178.0,256,27.915786,0.0,218.0,78.0
-147.0,256,28.436638,0.0,234.0,109.0
-142.0,256,28.907907,0.0,234.0,114.0
-147.0,256,29.406272,0.0,234.0,109.0
-152.0,256,29.904611,0.0,234.0,104.0
-166.0,256,30.422762,0.0,216.0,90.0
-153.0,256,30.895038,0.0,209.0,103.0
-152.0,256,31.357127,0.0,234.0,104.0
-159.0,256,31.829723,0.0,234.0,97.0
-140.0,256,32.314318,0.0,232.0,114.0
-153.0,256,32.792506,0.0,234.0,103.0
-158.0,256,33.26584,0.0,234.0,98.0
-137.0,256,33.745877,0.0,234.0,119.0
-151.0,256,34.229197,0.0,234.0,105.0
-141.0,256,34.707778,0.0,234.0,115.0
-158.0,256,35.186927,0.0,234.0,98.0
-147.0,256,35.668941,0.0,234.0,109.0
-148.0,256,36.15246,0.0,234.0,108.0
-175.0,256,36.624737,0.0,234.0,81.0
-158.0,256,37.10502,0.0,234.0,96.0
-145.0,256,37.630173,0.0,234.0,111.0
-131.0,256,38.295177,0.0,234.0,123.0
-133.0,256,38.819863,0.0,234.0,123.0
-145.0,256,39.325765,0.0,234.0,111.0
-159.0,256,39.798099,0.0,222.0,97.0
-121.0,256,40.280999,0.0,234.0,135.0
-122.0,256,40.774173,0.0,234.0,134.0
-152.0,256,41.270038,0.0,234.0,104.0
-151.0,256,41.76599,0.0,234.0,105.0
-120.0,256,42.266851,0.0,234.0,136.0
-118.0,256,42.868082,0.0,234.0,138.0
-121.0,256,43.510531,0.0,234.0,133.0
-106.0,256,44.060799,0.0,234.0,150.0
-116.0,256,44.565146,0.0,234.0,140.0
