r,l,t,is_success,dead_loop_events,wall_collision_count
-196.2,256,0.9105,0.0,208.0,61.0
-190.8,256,1.328573,0.0,234.0,64.0
-210.0,256,1.741662,0.0,225.0,41.0
-203.8,256,2.157057,0.0,209.0,49.0
-181.2,256,2.569035,0.0,234.0,67.0
-193.0,256,2.980271,0.0,234.0,63.0
-218.6,256,3.392568,0.0,231.0,43.0
-203.4,256,3.806845,0.0,234.0,57.0
-201.8,256,4.216531,0.0,208.0,46.0
-200.2,256,4.62737,0.0,144.0,49.0
-176.8,256,5.042239,0.0,234.0,66.0
-199.8,256,5.454758,0.0,234.0,60.0
-183.8,256,5.872699,0.0,228.0,71.0
-186.0,256,6.290381,0.0,221.0,66.0
-182.2,256,6.699603,0.0,176.0,63.0
-185.8,256,7.115345,0.0,233.0,69.0
-198.2,256,7.540798,0.0,217.0,56.0
-192.2,256,7.951564,0.0,194.0,52.0
-191.0,256,8.376486,0.0,191.0,55.0
-184.4,256,8.800578,0.0,198.0,76.0
-190.8,256,9.222441,0.0,211.0,56.0
-177.6,256,9.642519,0.0,234.0,72.0
-194.0,256,10.066342,0.0,222.0,70.0
-202.2,256,10.47972,0.0,214.0,57.0
-197.8,256,10.900264,0.0,129.0,50.0
-172.8,256,11.324188,0.0,198.0,71.0
-175.8,256,11.753512,0.0,195.0,75.0
-213.8,256,12.180729,0.0,138.0,42.0
-176.0,256,12.610699,0.0,199.0,69.0
-206.2,256,13.033329,0.0,222.0,53.0
-198.2,256,13.461464,0.0,216.0,61.0
-184.0,256,13.893524,0.0,213.0,78.0
-183.6,256,14.319818,0.0,221.0,70.0
-169.4,256,14.750491,0.0,219.0,77.0
-195.0,256,15.187098,0.0,188.0,61.0
-190.0,256,15.619812,0.0,194.0,64.0
-161.0,256,16.058609,0.0,230.0,85.0
-197.8,256,16.48734,0.0,177.0,69.0
-168.4,256,16.925243,0.0,234.0,84.0
-174.4,256,17.361735,0.0,222.0,78.0
-179.0,256,17.799279,0.0,153.0,70.0
-174.0,256,18.236969,0.0,210.0,89.0
-202.2,256,18.67567,0.0,182.0,73.0
-164.0,256,19.116142,0.0,212.0,92.0
-185.2,256,19.554858,0.0,185.0,80.0
-187.0,256,19.991339,0.0,180.0,69.0
-174.6,256,20.430568,0.0,219.0,83.0
-183.0,256,20.8612,0.0,185.0,74.0
-181.0,256,21.296943,0.0,200.0,78.0
-180.8,256,21.735467,0.0,224.0,62.0
-160.4,256,22.170008,0.0,214.0,92.0
-167.4,256,22.61601,0.0,205.0,86.0
-169.2,256,23.061433,0.0,213.0,74.0
-167.2,256,23.512981,0.0,229.0,84.0
-174.8,256,23.961416,0.0,195.0,88.0
-186.6,256,24.408783,0.0,215.0,75.0
-145.8,256,24.859225,0.0,234.0,99.0
-167.4,256,25.310244,0.0,220.0,87.0
-163.6,256,25.757499,0.0,176.0,80.0
-166.6,256,26.210334,0.0,234.0,95.0
-148.6,256,26.657677,0.0,211.0,92.0
-147.2,256,27.113273,0.0,231.0,110.0
-195.8,256,27.563369,0.0,165.0,74.0
-169.0,256,28.01237,0.0,210.0,84.0
-163.6,256,28.472636,0.0,222.0,102.0
-167.4,256,28.924273,0.0,215.0,83.0
-140.6,256,29.389134,0.0,231.0,102.0
-150.0,256,29.838564,0.0,234.0,103.0
-165.0,256,30.297186,0.0,221.0,83.0
-165.0,256,30.755943,0.0,230.0,90.0
-160.8,256,31.214781,0.0,224.0,94.0
-133.4,256,31.678661,0.0,211.0,108.0
-161.2,256,32.143514,0.0,196.0,94.0
-125.0,256,32.612127,0.0,234.0,122.0
-137.2,256,33.080912,0.0,224.0,111.0
-132.2,256,33.55546,0.0,234.0,117.0
-163.6,256,34.022659,0.0,219.0,90.0
-138.4,256,34.490814,0.0,234.0,105.0
-140.4,256,34.961465,0.0,191.0,102.0
-164.4,256,35.42787,0.0,222.0,98.0
-166.2,256,35.894713,0.0,202.0,106.0
-168.8,256,36.368798,0.0,229.0,98.0
-144.0,256,36.842435,0.0,201.0,103.0
-131.8,256,37.320127,0.0,211.0,113.0
-127.2,256,37.784588,0.0,200.0,114.0
-138.6,256,38.259749,0.0,209.0,107.0
-150.0,256,38.730479,0.0,219.0,110.0
-135.0,256,39.200942,0.0,234.0,115.0
-154.6,256,39.674438,0.0,211.0,103.0
-145.6,256,40.142133,0.0,234.0,111.0
-131.0,256,40.619999,0.0,215.0,111.0
-147.0,256,41.096592,0.0,217.0,102.0
-125.6,256,41.572701,0.0,232.0,119.0
-128.0,256,42.057984,0.0,234.0,122.0
-148.0,256,42.530435,0.0,233.0,102.0
-143.2,256,43.001779,0.0,228.0,109.0
-162.6,256,43.479622,0.0,225.0,95.0
-147.8,256,43.95174,0.0,234.0,103.0
-151.0,256,44.426845,0.0,226.0,103.0
-134.8,256,44.91238,0.0,212.0,112.0
-124.0,256,45.400176,0.0,220.0,125.0
-154.0,256,45.895786,0.0,209.0,116.0
-125.6,256,46.389276,0.0,205.0,126.0
-118.4,256,46.877559,0.0,233.0,132.0
-142.2,256,47.36422,0.0,185.0,116.0
-89.2,256,47.850648,0.0,181.0,145.0
-97.4,256,48.339119,0.0,234.0,145.0
-152.4,256,48.817821,0.0,203.0,100.0
-133.2,256,49.305511,0.0,216.0,114.0
-133.4,256,49.798279,0.0,202.0,121.0
-135.0,256,50.28492,0.0,234.0,129.0
-110.0,256,50.783335,0.0,234.0,139.0
-123.2,256,51.28362,0.0,187.0,124.0
-131.0,256,51.773563,0.0,168.0,108.0
-115.6,256,52.27395,0.0,214.0,130.0
-134.4,256,52.775031,0.0,205.0,110.0
-108.4,256,53.283374,0.0,198.0,144.0
-101.2,256,53.798073,0.0,200.0,136.0
-106.0,256,54.30904,0.0,194.0,142.0
-101.8,256,54.825124,0.0,229.0,159.0
-90.8,256,55.336836,0.0,228.0,165.0
-71.0,256,55.844034,0.0,234.0,178.0
-80.4,256,56.351513,0.0,218.0,160.0
-99.2,256,56.849514,0.0,233.0,148.0
-89.8,256,57.359136,0.0,234.0,167.0
-100.8,256,57.86361,0.0,208.0,142.0
-115.2,256,58.365725,0.0,189.0,135.0
-98.8,256,58.862962,0.0,234.0,160.0
-102.0,256,59.368569,0.0,213.0,140.0
-87.0,256,59.880833,0.0,234.0,163.0
-92.8,256,60.39104,0.0,197.0,145.0
2.0,184,60.748821,1.0,114.0,75.0
-86.0,256,61.269427,0.0,233.0,168.0
-114.6,256,61.773206,0.0,229.0,140.0
-77.2,256,62.296847,0.0,222.0,172.0
-87.8,256,62.805672,0.0,233.0,161.0
-104.8,256,63.317147,0.0,234.0,151.0
-90.0,256,63.826873,0.0,192.0,146.0
27.0,172,64.173251,1.0,121.0,79.0
-107.0,256,64.691939,0.0,204.0,159.0
-109.4,256,65.206257,0.0,225.0,158.0
-75.0,256,65.729331,0.0,206.0,170.0
-99.8,256,66.24909,0.0,234.0,151.0
-84.4,256,66.759883,0.0,224.0,161.0
-88.2,256,67.279167,0.0,234.0,168.0
-82.8,256,67.798192,0.0,219.0,175.0
-77.4,256,68.32444,0.0,233.0,184.0
-96.8,256,68.838526,0.0,209.0,146.0
-91.6,256,69.362418,0.0,214.0,169.0
-100.8,256,69.87429,0.0,198.0,156.0
-69.8,256,70.393076,0.0,211.0,185.0
-80.8,256,70.919746,0.0,215.0,179.0
-67.6,256,71.440727,0.0,233.0,184.0
-65.2,256,71.959924,0.0,221.0,180.0
-57.6,256,72.488131,0.0,231.0,191.0
-77.2,256,73.014029,0.0,218.0,172.0
-65.4,256,73.547969,0.0,234.0,191.0
-50.2,256,74.078231,0.0,234.0,199.0
-57.6,256,74.603054,0.0,231.0,190.0
-59.0,256,75.128903,0.0,219.0,195.0
-62.6,256,75.665446,0.0,224.0,178.0
-43.8,256,76.200939,0.0,233.0,207.0
-62.8,256,76.733496,0.0,213.0,191.0
-36.8,256,77.275769,0.0,234.0,211.0
-58.4,256,77.811754,0.0,223.0,186.0
-72.2,256,78.338263,0.0,201.0,161.0
-62.8,256,78.866494,0.0,206.0,185.0
-64.0,256,79.395463,0.0,228.0,182.0
-50.8,256,79.932358,0.0,197.0,196.0
-53.2,256,80.471864,0.0,214.0,195.0
44.2,238,80.977603,1.0,175.0,169.0
-46.0,256,81.518323,0.0,234.0,204.0
-39.8,256,82.062205,0.0,234.0,211.0
-45.6,256,82.608093,0.0,234.0,210.0
-44.4,256,83.155851,0.0,209.0,207.0
-47.6,256,83.697638,0.0,233.0,206.0
-46.4,256,84.244126,0.0,234.0,207.0
-66.2,256,84.783977,0.0,234.0,205.0
-50.6,256,85.322988,0.0,234.0,200.0
-44.8,256,85.865531,0.0,200.0,209.0
-22.0,256,86.412891,0.0,234.0,218.0
-47.8,256,86.957595,0.0,212.0,209.0
-39.8,256,87.50374,0.0,225.0,206.0
-24.2,256,88.053766,0.0,204.0,215.0
-23.2,256,88.607399,0.0,213.0,224.0
-28.2,256,89.157147,0.0,233.0,218.0
-29.2,256,89.716102,0.0,225.0,222.0
-33.0,256,90.26697,0.0,213.0,215.0
-28.0,256,90.824304,0.0,226.0,223.0
-25.8,256,91.384669,0.0,225.0,224.0
-18.2,256,91.939274,0.0,219.0,227.0
-38.2,256,92.500186,0.0,214.0,223.0
-27.6,256,93.059056,0.0,233.0,228.0
-22.4,256,93.620724,0.0,234.0,242.0
-17.4,256,94.191668,0.0,234.0,236.0
-8.6,256,94.757697,0.0,234.0,237.0
-40.6,256,95.310114,0.0,233.0,223.0
-23.6,256,95.875905,0.0,229.0,235.0
-11.8,256,96.432569,0.0,234.0,237.0
-26.2,256,96.98756,0.0,225.0,229.0
-17.6,256,97.549576,0.0,202.0,228.0
-8.0,256,98.111966,0.0,233.0,232.0
-8.6,256,98.665206,0.0,234.0,240.0
-14.6,256,99.232153,0.0,234.0,236.0
-20.8,256,99.795201,0.0,229.0,242.0
-11.2,256,100.356977,0.0,212.0,234.0
-22.8,256,100.918554,0.0,234.0,234.0
-3.6,256,101.483258,0.0,233.0,243.0
-14.4,256,102.043859,0.0,231.0,234.0
-12.0,256,102.608271,0.0,234.0,238.0
-27.8,256,103.173297,0.0,208.0,231.0
-19.6,256,103.733738,0.0,220.0,234.0
-22.4,256,104.291566,0.0,234.0,231.0
-10.2,256,104.853043,0.0,212.0,234.0
-23.0,256,105.423154,0.0,209.0,227.0
-36.4,256,105.988621,0.0,207.0,230.0
-14.0,256,106.55797,0.0,234.0,232.0
-40.0,256,107.115231,0.0,233.0,217.0
-14.6,256,107.675039,0.0,193.0,227.0
-14.0,256,108.234191,0.0,234.0,233.0
-19.8,256,108.793829,0.0,234.0,239.0
-13.8,256,109.354355,0.0,214.0,235.0
-10.8,256,109.927398,0.0,231.0,234.0
-28.0,256,110.490302,0.0,210.0,224.0
-21.8,256,111.055269,0.0,225.0,236.0
-13.2,256,111.619698,0.0,233.0,240.0
-15.8,256,112.178306,0.0,233.0,231.0
-8.6,256,112.745739,0.0,234.0,240.0
-13.8,256,113.302192,0.0,211.0,237.0
-15.8,256,113.867891,0.0,222.0,234.0
-23.8,256,114.421226,0.0,233.0,233.0
-11.4,256,114.982506,0.0,234.0,239.0
-16.0,256,115.540362,0.0,231.0,232.0
-20.2,256,116.103303,0.0,202.0,221.0
-18.6,256,116.661272,0.0,212.0,221.0
-23.2,256,117.215559,0.0,233.0,226.0
-10.2,256,117.771221,0.0,234.0,240.0
-1.2,256,118.332747,0.0,234.0,252.0
-5.8,256,118.895317,0.0,234.0,242.0
-19.4,256,119.461553,0.0,217.0,233.0
-24.6,256,120.025246,0.0,228.0,229.0
-20.8,256,120.578235,0.0,215.0,227.0
-17.2,256,121.147945,0.0,214.0,230.0
-13.4,256,121.705787,0.0,233.0,236.0
-5.4,256,122.278428,0.0,234.0,243.0
-18.8,256,122.839698,0.0,225.0,234.0
-5.4,256,123.399729,0.0,210.0,234.0
-1.2,256,123.961258,0.0,231.0,243.0
-24.0,256,124.519343,0.0,205.0,226.0
-9.4,256,125.086257,0.0,233.0,239.0
-20.4,256,125.641373,0.0,234.0,240.0
-16.0,256,126.194903,0.0,234.0,230.0
-14.2,256,126.752256,0.0,233.0,239.0
-3.0,256,127.31614,0.0,234.0,247.0
-28.8,256,127.874176,0.0,234.0,230.0
-27.2,256,128.441686,0.0,214.0,234.0
-23.6,256,129.000511,0.0,231.0,232.0
-4.6,256,129.566943,0.0,234.0,243.0
-12.8,256,130.135759,0.0,224.0,236.0
-22.6,256,130.701408,0.0,233.0,230.0
94.4,151,131.030467,1.0,80.0,114.0
-19.6,256,131.586863,0.0,233.0,229.0
-3.0,256,132.148527,0.0,234.0,238.0
-6.4,256,132.711646,0.0,234.0,246.0
-9.2,256,133.271391,0.0,210.0,234.0
-10.2,256,133.83497,0.0,233.0,238.0
-27.6,256,134.391895,0.0,199.0,227.0
-20.8,256,134.957432,0.0,231.0,237.0
-16.4,256,135.516698,0.0,231.0,232.0
-11.4,256,136.078773,0.0,234.0,239.0
-12.2,256,136.640477,0.0,234.0,238.0
-14.4,256,137.203826,0.0,234.0,238.0
-10.6,256,137.768503,0.0,226.0,237.0
-24.6,256,138.333679,0.0,233.0,231.0
-25.0,256,138.897681,0.0,219.0,218.0
-25.8,256,139.45767,0.0,212.0,223.0
-24.4,256,140.018299,0.0,234.0,239.0
-4.4,256,140.576752,0.0,208.0,233.0
-11.6,256,141.139866,0.0,234.0,232.0
-17.0,256,141.697853,0.0,233.0,232.0
-37.6,256,142.254466,0.0,212.0,221.0
-8.0,256,142.817365,0.0,233.0,243.0
-30.6,256,143.37857,0.0,234.0,232.0
-10.8,256,143.938006,0.0,234.0,240.0
-16.8,256,144.494095,0.0,209.0,229.0
-21.2,256,145.049498,0.0,233.0,233.0
-21.2,256,145.610158,0.0,234.0,237.0
-17.8,256,146.163442,0.0,212.0,228.0
-9.0,256,146.721287,0.0,234.0,236.0
-31.0,256,147.273566,0.0,234.0,235.0
-4.2,256,147.837311,0.0,234.0,241.0
-12.6,256,148.405973,0.0,229.0,243.0
-3.4,256,148.968477,0.0,231.0,241.0
-16.4,256,149.532061,0.0,233.0,242.0
-9.8,256,150.093262,0.0,234.0,243.0
-4.4,256,150.658557,0.0,234.0,247.0
-22.6,256,151.220274,0.0,213.0,236.0
-25.2,256,151.779374,0.0,234.0,231.0
-15.0,256,152.335289,0.0,227.0,227.0
-17.2,256,152.889502,0.0,211.0,221.0
-47.6,256,153.447391,0.0,234.0,230.0
-26.6,256,154.002879,0.0,210.0,219.0
-20.0,256,154.562953,0.0,234.0,238.0
-18.0,256,155.123195,0.0,214.0,233.0
-4.4,256,155.687841,0.0,234.0,243.0
-38.4,256,156.249238,0.0,208.0,225.0
-17.0,256,156.807409,0.0,211.0,230.0
-4.8,256,157.369531,0.0,231.0,236.0
-9.6,256,157.929779,0.0,234.0,242.0
-31.2,256,158.487052,0.0,230.0,223.0
-13.6,256,159.050046,0.0,233.0,232.0
-20.6,256,159.61407,0.0,224.0,230.0
-23.4,256,160.176586,0.0,234.0,233.0
-8.0,256,160.742357,0.0,234.0,242.0
-39.6,256,161.299302,0.0,234.0,232.0
-8.6,256,161.856274,0.0,234.0,235.0
-21.8,256,162.412851,0.0,234.0,235.0
-23.8,256,162.967228,0.0,223.0,228.0
-3.8,256,163.526346,0.0,225.0,236.0
-12.4,256,164.087318,0.0,234.0,234.0
-20.2,256,164.644058,0.0,223.0,233.0
-4.4,256,165.206681,0.0,234.0,246.0
-9.8,256,165.76701,0.0,234.0,241.0
-4.4,256,166.330094,0.0,234.0,248.0
-12.0,256,166.899165,0.0,234.0,238.0
-14.8,256,167.466334,0.0,217.0,235.0
-19.6,256,168.033323,0.0,227.0,236.0
-1.4,256,168.599506,0.0,207.0,226.0
-3.4,256,169.161617,0.0,234.0,247.0
-20.6,256,169.722352,0.0,234.0,235.0
-16.0,256,170.284726,0.0,210.0,235.0
-9.0,256,170.847718,0.0,217.0,234.0
-13.8,256,171.405047,0.0,233.0,237.0
-9.8,256,171.960513,0.0,234.0,238.0
-7.4,256,172.518889,0.0,234.0,243.0
-24.8,256,173.066043,0.0,233.0,219.0
-23.2,256,173.634842,0.0,222.0,233.0
-10.8,256,174.198392,0.0,213.0,241.0
-23.4,256,174.74899,0.0,234.0,222.0
-36.6,256,175.307853,0.0,174.0,219.0
-5.8,256,175.871087,0.0,227.0,236.0
-39.2,256,176.428783,0.0,234.0,223.0
-5.8,256,176.995098,0.0,234.0,245.0
-9.6,256,177.562941,0.0,227.0,230.0
-18.0,256,178.120781,0.0,221.0,237.0
-8.4,256,178.674928,0.0,234.0,244.0
-12.4,256,179.228491,0.0,196.0,223.0
-19.4,256,179.789993,0.0,233.0,237.0
-2.0,256,180.35275,0.0,234.0,248.0
-2.6,256,180.96526,0.0,233.0,243.0
-23.4,256,181.535608,0.0,233.0,231.0
-10.0,256,182.091265,0.0,234.0,240.0
-15.0,256,182.64592,0.0,218.0,228.0
-18.4,256,183.205573,0.0,234.0,240.0
-15.8,256,183.761287,0.0,234.0,235.0
-10.0,256,184.322099,0.0,233.0,238.0
-17.6,256,184.88274,0.0,215.0,236.0
-5.6,256,185.446021,0.0,234.0,244.0
-1.6,256,186.00961,0.0,234.0,246.0
-23.6,256,186.568833,0.0,203.0,218.0
-33.2,256,187.131142,0.0,231.0,230.0
-9.4,256,187.691257,0.0,199.0,227.0
-12.8,256,188.254684,0.0,201.0,221.0
-2.4,256,188.819677,0.0,233.0,247.0
-20.2,256,189.396775,0.0,233.0,235.0
-16.6,256,189.955607,0.0,231.0,231.0
-8.4,256,190.51992,0.0,234.0,240.0
-7.0,256,191.071471,0.0,234.0,238.0
-6.2,256,191.631832,0.0,230.0,233.0
-9.2,256,192.192141,0.0,231.0,229.0
-2.8,256,192.751281,0.0,220.0,246.0
-10.8,256,193.306604,0.0,234.0,240.0
-44.2,256,193.860893,0.0,210.0,223.0
-6.0,256,194.420816,0.0,215.0,242.0
-15.8,256,194.984886,0.0,212.0,230.0
-19.8,256,195.545107,0.0,214.0,232.0
-15.6,256,196.10815,0.0,234.0,240.0
-11.8,256,196.664917,0.0,220.0,230.0
-11.8,256,197.238595,0.0,234.0,237.0
-16.0,256,197.795375,0.0,233.0,234.0
-9.0,256,198.358764,0.0,234.0,239.0
-14.0,256,198.920249,0.0,233.0,244.0
-11.4,256,199.475076,0.0,234.0,235.0
-12.6,256,200.034806,0.0,233.0,231.0
-16.6,256,200.596933,0.0,234.0,234.0
-29.8,256,201.156396,0.0,214.0,229.0
-11.8,256,201.719186,0.0,215.0,231.0
-22.2,256,202.27436,0.0,234.0,239.0
-9.0,256,202.845181,0.0,223.0,227.0
-11.6,256,203.404037,0.0,234.0,237.0
-8.2,256,203.958118,0.0,233.0,233.0
-16.8,256,204.512328,0.0,223.0,238.0
-13.4,256,205.070918,0.0,234.0,235.0
-9.2,256,205.633738,0.0,229.0,233.0
-16.0,256,206.19248,0.0,209.0,227.0
-32.6,256,206.751758,0.0,217.0,223.0
-13.0,256,207.312498,0.0,213.0,235.0
-16.8,256,207.881413,0.0,234.0,231.0
-13.0,256,208.448321,0.0,234.0,245.0
-26.0,256,209.001519,0.0,234.0,232.0
-23.0,256,209.566044,0.0,187.0,229.0
-15.8,256,210.118319,0.0,210.0,224.0
-4.0,256,210.703798,0.0,234.0,252.0
-14.8,256,211.265485,0.0,209.0,231.0
