r,l,t,is_success,dead_loop_events,wall_collision_count
-205.0,256,2.024858,0.0,157.0,47.0
-203.0,256,2.97348,0.0,216.0,51.0
-208.0,256,3.92891,0.0,203.0,48.0
-199.0,256,4.879799,0.0,231.0,55.0
-196.0,256,5.849131,0.0,234.0,60.0
-204.0,256,6.79761,0.0,234.0,52.0
-207.0,256,7.748609,0.0,217.0,49.0
-206.0,256,8.701066,0.0,224.0,48.0
-189.0,256,10.890897,0.0,212.0,67.0
-199.0,256,11.845053,0.0,187.0,55.0
-186.0,256,12.791857,0.0,220.0,70.0
-185.0,256,13.744054,0.0,209.0,65.0
-185.0,256,14.700229,0.0,216.0,71.0
-182.0,256,15.65652,0.0,222.0,74.0
-172.0,256,16.599689,0.0,231.0,82.0
-191.0,256,17.539454,0.0,197.0,65.0
-149.0,256,18.999816,0.0,234.0,107.0
-161.0,256,19.941367,0.0,221.0,95.0
-160.0,256,20.886787,0.0,192.0,96.0
-189.0,256,21.82134,0.0,166.0,63.0
-194.0,256,22.745177,0.0,203.0,60.0
-179.0,256,23.68696,0.0,194.0,75.0
-176.0,256,24.634316,0.0,206.0,80.0
-170.0,256,25.728409,0.0,201.0,86.0
-132.0,256,27.204826,0.0,199.0,120.0
-158.0,256,28.140672,0.0,158.0,96.0
-147.0,256,29.082628,0.0,182.0,107.0
-147.0,256,30.031468,0.0,143.0,109.0
-129.0,256,31.008092,0.0,197.0,127.0
-141.0,256,31.951098,0.0,221.0,115.0
-145.0,256,32.900812,0.0,135.0,105.0
-145.0,256,33.849997,0.0,210.0,111.0
-133.0,256,35.308241,0.0,186.0,121.0
-120.0,256,36.254275,0.0,234.0,136.0
-146.0,256,37.203681,0.0,163.0,110.0
-102.0,256,38.155169,0.0,234.0,154.0
-136.0,256,39.094096,0.0,153.0,114.0
-115.0,256,40.025758,0.0,154.0,141.0
-135.0,256,40.96313,0.0,172.0,119.0
-117.0,256,41.915043,0.0,194.0,135.0
-98.0,256,43.382851,0.0,207.0,158.0
-97.0,256,44.336492,0.0,186.0,157.0
