r,l,t,is_success,dead_loop_events,wall_collision_count
-200.0,256,1.44046,0.0,217.0,64.0
-172.8,256,2.332402,0.0,230.0,73.0
-200.6,256,3.218062,0.0,226.0,55.0
-199.2,256,4.105384,0.0,224.0,50.0
-202.2,256,4.995028,0.0,216.0,51.0
-184.0,256,5.8866,0.0,214.0,72.0
-206.6,256,6.777279,0.0,234.0,63.0
-202.6,256,7.67157,0.0,234.0,59.0
-180.6,256,9.221511,0.0,210.0,54.0
-192.4,256,10.136056,0.0,212.0,63.0
-201.8,256,11.036412,0.0,193.0,61.0
-180.4,256,11.939527,0.0,223.0,72.0
-193.2,256,12.840051,0.0,233.0,74.0
-190.8,256,13.740429,0.0,203.0,63.0
-199.8,256,14.640862,0.0,191.0,46.0
-194.0,256,15.543129,0.0,213.0,60.0
-179.4,256,16.984128,0.0,206.0,87.0
-172.4,256,17.919491,0.0,192.0,76.0
-169.8,256,18.855753,0.0,204.0,79.0
-158.6,256,19.790877,0.0,181.0,89.0
-190.0,256,20.730392,0.0,213.0,68.0
-169.8,256,21.645194,0.0,191.0,84.0
-180.4,256,22.549849,0.0,204.0,80.0
-181.0,256,23.45288,0.0,214.0,74.0
-149.0,256,24.898845,0.0,149.0,100.0
-163.2,256,25.841887,0.0,205.0,95.0
-169.4,256,26.768993,0.0,202.0,82.0
-154.8,256,27.713835,0.0,192.0,100.0
-163.0,256,28.654014,0.0,157.0,90.0
-131.4,256,29.591615,0.0,195.0,104.0
-155.0,256,30.534795,0.0,217.0,109.0
-164.6,256,31.479079,0.0,175.0,103.0
-172.8,256,32.928727,0.0,92.0,91.0
-130.8,256,33.872072,0.0,172.0,115.0
-118.6,256,34.813677,0.0,185.0,143.0
-109.2,256,35.760861,0.0,220.0,144.0
-137.4,256,36.682771,0.0,144.0,114.0
-123.0,256,37.581572,0.0,122.0,108.0
-129.2,256,38.486226,0.0,171.0,115.0
-142.0,256,39.392327,0.0,217.0,112.0
-111.4,256,40.800419,0.0,215.0,149.0
