episode,r,l,is_success,dead_loop_events,wall_collision_count
1.0,-207.99999999999997,256.0,0.0,193.0,50.0
2.0,-192.60000000000002,256.0,0.0,234.0,61.0
3.0,-195.40000000000003,256.0,0.0,231.0,64.0
4.0,-184.2,256.0,0.0,219.0,66.0
5.0,-208.80000000000007,256.0,0.0,234.0,46.0
6.0,-210.2,256.0,0.0,234.0,47.0
7.0,-211.2,256.0,0.0,234.0,40.0
8.0,-209.0,256.0,0.0,215.0,55.0
9.0,-187.20000000000005,256.0,0.0,231.0,64.0
10.0,-213.60000000000008,256.0,0.0,226.0,47.0
11.0,-219.0,256.0,0.0,229.0,43.0
12.0,-184.79999999999998,256.0,0.0,234.0,64.0
13.0,-195.2,256.0,0.0,234.0,56.0
14.0,-189.60000000000002,256.0,0.0,233.0,58.0
15.0,-211.00000000000003,256.0,0.0,234.0,53.0
16.0,-177.79999999999998,256.0,0.0,234.0,74.0
17.0,-193.2,256.0,0.0,214.0,55.0
18.0,-198.6,256.0,0.0,211.0,60.0
19.0,-200.40000000000003,256.0,0.0,222.0,50.0
20.0,-195.60000000000002,256.0,0.0,230.0,52.0
21.0,-189.0,256.0,0.0,220.0,63.0
22.0,-205.59999999999997,256.0,0.0,218.0,56.0
23.0,-208.8,256.0,0.0,234.0,46.0
24.0,-220.99999999999994,256.0,0.0,202.0,37.0
25.0,-206.0,256.0,0.0,226.0,42.0
26.0,-206.60000000000002,256.0,0.0,214.0,41.0
27.0,-204.2,256.0,0.0,195.0,55.0
28.0,-229.8,256.0,0.0,200.0,47.0
29.0,-221.60000000000002,256.0,0.0,234.0,40.0
30.0,-206.39999999999998,256.0,0.0,185.0,45.0
31.0,-204.0,256.0,0.0,234.0,50.0
32.0,-202.2,256.0,0.0,234.0,47.0
33.0,-194.6,256.0,0.0,219.0,55.0
34.0,-209.2,256.0,0.0,226.0,47.0
35.0,-217.0,256.0,0.0,220.0,38.0
36.0,-189.20000000000005,256.0,0.0,234.0,62.0
37.0,-220.0,256.0,0.0,186.0,52.0
38.0,-207.60000000000002,256.0,0.0,230.0,48.0
39.0,-205.8,256.0,0.0,217.0,49.0
40.0,-208.40000000000003,256.0,0.0,226.0,44.0
41.0,-204.0,256.0,0.0,222.0,51.0
42.0,-193.19999999999996,256.0,0.0,234.0,58.0
43.0,-198.60000000000002,256.0,0.0,230.0,49.0
44.0,-190.20000000000013,256.0,0.0,209.0,57.0
45.0,-199.60000000000002,256.0,0.0,222.0,62.0
46.0,-194.60000000000002,256.0,0.0,212.0,54.0
47.0,-197.8,256.0,0.0,234.0,53.0
48.0,-211.20000000000005,256.0,0.0,225.0,51.0
49.0,-193.99999999999991,256.0,0.0,229.0,62.0
50.0,-203.60000000000002,256.0,0.0,223.0,45.0
51.0,-205.8,256.0,0.0,234.0,49.0
52.0,-199.39999999999995,256.0,0.0,234.0,51.0
53.0,-206.59999999999997,256.0,0.0,234.0,45.0
54.0,-221.59999999999997,256.0,0.0,214.0,48.0
55.0,-196.40000000000003,256.0,0.0,221.0,56.0
