train/n_updates,train/loss,time/total_timesteps,phase
230,0.0579837635159492,1024,1
486,0.061228796839714,2048,1
742,0.0768647491931915,3072,1
998,0.0470900721848011,4096,1
1254,0.04492212459445,5120,1
1510,0.0401524119079113,6144,1
1766,0.0589081533253192,7168,1
2022,0.0405896864831447,8192,1
2278,0.0418258383870124,9216,1
2534,0.0514431670308113,10240,1
2790,0.0534998066723346,11264,1
3046,0.0422667600214481,12288,1
3302,0.0363610461354255,13312,1
3558,0.0343400873243808,14336,1
3814,0.0768773108720779,15360,1
4070,0.0739009454846382,16384,1
4326,0.075163185596466,17408,1
4582,0.0555485114455223,18432,1
4838,0.0449751354753971,19456,1
5094,0.0689810439944267,20480,1
5350,0.0849714055657386,21504,1
5606,0.0769556611776351,22528,1
5862,0.0652816146612167,23552,1
6118,0.0613428354263305,24576,1
6374,0.0855994224548339,25600,1
6630,0.0672178789973259,26624,1
6886,0.0842778235673904,27648,1
7142,0.0764464288949966,28672,1
7398,0.0883937925100326,29696,1
7654,0.0962321236729621,30720,1
7910,0.0751861929893493,31744,1
8166,0.0949633419513702,32768,1
8422,0.082017570734024,33792,1
8678,0.0872903689742088,34816,1
8934,0.0567983388900756,35840,1
9190,0.0554355829954147,36864,1
9446,0.0673844441771507,37888,1
9702,0.0600031092762947,38912,1
9958,0.0612972825765609,39936,1
10214,0.0767206847667694,40960,1
10470,0.0554902255535125,41984,1
10726,0.0587998665869236,43008,1
10982,0.0551073998212814,44032,1
11238,0.0528422854840755,45056,1
11494,0.0591714531183242,46080,1
11750,0.05324013158679,47104,1
12006,0.0574730597436428,48128,1
12262,0.0496772043406963,49152,1
12518,0.0571366213262081,50176,1
12774,0.0578575283288955,51200,1
13030,0.0527140200138092,52224,1
13286,0.0494399927556514,53248,1
13542,0.0401126630604267,54272,1
13798,0.0470440909266471,55296,1
14054,0.0354634523391723,56320,1
14310,0.0314198806881904,57344,1
14566,0.0290453899651765,58368,1
14822,0.0278765391558408,59392,1
