time/total_timesteps,train/loss,train/n_updates,phase
1024,0.1266540884971618,230,1
2048,0.1599534749984741,486,1
3072,0.0865804776549339,742,1
4096,0.0847730934619903,998,1
5120,0.1100588589906692,1254,1
6144,0.1509644985198974,1510,1
7168,0.1616161614656448,1766,1
8192,0.1200032010674476,2022,1
9216,0.0834680050611496,2278,1
10240,0.1093935668468475,2534,1
11264,0.143255814909935,2790,1
12288,0.1286618411540985,3046,1
13312,0.0958273783326149,3302,1
14336,0.1135607063770294,3558,1
15360,0.1709015071392059,3814,1
16384,0.2017733752727508,4070,1
17408,0.1352465897798538,4326,1
18432,0.0750070512294769,4582,1
19456,0.0677596181631088,4838,1
20480,0.1147188544273376,5094,1
21504,0.1057346314191818,5350,1
22528,0.1005089432001113,5606,1
23552,0.0803628414869308,5862,1
24576,0.0921172052621841,6118,1
25600,0.1377009451389312,6374,1
26624,0.1049150228500366,6630,1
27648,0.1357546299695968,6886,1
28672,0.1361119747161865,7142,1
29696,0.0760941803455352,7398,1
30720,0.1396374702453613,7654,1
31744,0.0876336470246315,7910,1
32768,0.1098827570676803,8166,1
33720,0.104397214949131,8404,1
34744,0.1530740559101104,8660,1
35684,0.082422949373722,8895,1
36708,0.1285734921693802,9151,1
37732,0.0581404492259025,9407,1
38756,0.0524643957614898,9663,1
39780,0.1002931967377662,9919,1
40804,0.0511518418788909,10175,1
41828,0.0419091694056987,10431,1
42852,0.041610237210989,10687,1
43858,0.1469510346651077,10939,1
44882,0.1805733740329742,11195,1
45906,0.0697340816259384,11451,1
46930,0.0728018283843994,11707,1
47954,0.0773798003792762,11963,1
48978,0.0456850826740264,12219,1
50002,0.039891343563795,12475,1
51026,0.0706440210342407,12731,1
52050,0.0137362377718091,12987,1
53074,0.0355022400617599,13243,1
54098,0.0211077891290187,13499,1
55122,0.0263088196516037,13755,1
56146,0.0410017743706703,14011,1
57170,0.0718494579195976,14267,1
58194,0.0331247672438621,14523,1
59218,0.0879218950867652,14779,1
60242,0.0258319415152072,15035,1
61266,0.0414638146758079,15291,1
62290,0.4186109900474548,15547,1
63314,0.0647884011268615,15803,1
64338,0.0260151103138923,16059,1
65362,0.0169418323785066,16315,1
66386,0.0766939222812652,16571,1
67305,0.046166855841875,16801,1
68329,0.0152472704648971,17057,1
69353,0.0840458646416664,17313,1
70377,0.0416431240737438,17569,1
71401,0.045293353497982,17825,1
72425,0.1022157296538353,18081,1
73449,0.0096791647374629,18337,1
74473,0.0115566374734044,18593,1
75497,0.0196977965533733,18849,1
76521,0.0122662652283906,19105,1
77545,0.0473272800445556,19361,1
78569,0.0778922364115715,19617,1
79593,0.0667382478713989,19873,1
80617,0.0077609661966562,20129,1
81641,0.0451073311269283,20385,1
82665,0.0108213294297456,20641,1
83689,0.0168127082288265,20897,1
84713,0.0755658522248268,21153,1
85737,0.0073328325524926,21409,1
86761,0.0506349094212055,21665,1
87785,0.0060222502797842,21921,1
88809,0.0617192834615707,22177,1
89833,0.0274638943374156,22433,1
90857,0.0511590205132961,22689,1
91881,0.1337663978338241,22945,1
92905,0.0221044607460498,23201,1
93929,0.0254557821899652,23457,1
94953,0.034430906176567,23713,1
95977,0.0085374768823385,23969,1
97001,0.0109758870676159,24225,1
98025,0.0133315231651067,24481,1
99049,0.1009803190827369,24737,1
100073,0.0369657427072525,24993,1
101097,0.0055547775700688,25249,1
102121,0.0303890183568,25505,1
103145,0.0075014410540461,25761,1
104169,0.0629492849111557,26017,1
105193,0.0081797828897833,26273,1
106217,0.0528257340192794,26529,1
107241,0.0405133962631225,26785,1
108265,0.0245693940669298,27041,1
109289,0.059684008359909,27297,1
110313,0.0067944307811558,27553,1
111337,0.0471929833292961,27809,1
112361,0.0379463024437427,28065,1
113385,0.0015704764518886,28321,1
114409,0.0249335020780563,28577,1
115433,0.0240161437541246,28833,1
116457,0.0791873037815094,29089,1
117481,0.0681064501404762,29345,1
118505,0.0091489003971219,29601,1
119529,0.0507151409983634,29857,1
120553,0.0205234456807374,30113,1
121577,0.013426337391138,30369,1
122601,0.0357697084546089,30625,1
123625,0.0046970294788479,30881,1
124649,0.0067693525925278,31137,1
125673,0.0715067759156227,31393,1
126697,0.0090385805815458,31649,1
127721,0.0225124470889568,31905,1
128745,0.0391716212034225,32161,1
129769,0.0019121025688946,32417,1
130793,0.0148425530642271,32673,1
131817,0.0608309209346771,32929,1
132841,0.0516619458794593,33185,1
133865,0.0299632400274276,33441,1
134889,0.0038618883118033,33697,1
135913,0.0152400759980082,33953,1
136937,0.1197601407766342,34209,1
137961,0.004771014675498,34465,1
138985,0.0556168593466281,34721,1
140009,0.0242833159863948,34977,1
141033,0.0188110284507274,35233,1
142057,0.0342360660433769,35489,1
143081,0.0021887391339987,35745,1
144105,0.0549197532236576,36001,1
145129,0.0597674958407878,36257,1
146153,0.0034073973074555,36513,1
147177,0.0417754277586936,36769,1
148201,0.0112754497677087,37025,1
149225,0.0057250866666436,37281,1
150249,0.0520994290709495,37537,1
151273,0.0398905761539936,37793,1
152297,0.0037498916499316,38049,1
153321,0.0251224413514137,38305,1
154345,0.014954175800085,38561,1
155369,0.0041832784190773,38817,1
156393,0.003974094055593,39073,1
157417,0.0308031477034091,39329,1
158441,0.0439131297171115,39585,1
159465,0.022389218211174,39841,1
160489,0.0404435656964778,40097,1
161513,0.0728542879223823,40353,1
162537,0.0808464288711547,40609,1
163561,0.0117365354672074,40865,1
164585,0.0430930890142917,41121,1
165609,0.0897242277860641,41377,1
166633,0.0035811653360724,41633,1
167657,0.0101473722606897,41889,1
168681,0.0047760694287717,42145,1
169705,0.0116037875413894,42401,1
170671,0.0154980001971125,42642,1
171695,0.0030626291409134,42898,1
172719,0.0033879214897751,43154,1
173743,0.0032667769119143,43410,1
174767,0.0691031068563461,43666,1
175791,0.0066713672131299,43922,1
176815,0.0479755327105522,44178,1
177839,0.0060868565924465,44434,1
178863,0.3706927001476288,44690,1
179887,0.0091864690184593,44946,1
180911,0.0403663888573646,45202,1
181935,0.0575387738645076,45458,1
182959,0.0045431004837155,45714,1
183983,0.0079875458031892,45970,1
185007,0.0377641059458255,46226,1
186031,0.002712323796004,46482,1
187055,0.0607117004692554,46738,1
188079,0.0045207128860056,46994,1
189103,0.0382698029279708,47250,1
190127,0.0032764011994004,47506,1
191151,0.0200064461678266,47762,1
192175,0.0018169255927205,48018,1
193199,0.0246808361262083,48274,1
194223,0.0615877509117126,48530,1
195247,0.0302509032189846,48786,1
196271,0.1165056303143501,49042,1
197295,0.0023947227746248,49298,1
198319,0.0317994803190231,49554,1
199343,0.0437790267169475,49810,1
200367,0.0615462288260459,50066,1
201391,0.0265200864523649,50322,1
202415,0.001617687405087,50578,1
203439,0.0595647878944873,50834,1
204463,0.0364870354533195,51090,1
205487,0.00500826863572,51346,1
206511,0.0382647849619388,51602,1
207535,0.0551770441234111,51858,1
208559,0.0297858472913503,52114,1
209583,0.0235846806317567,52370,1
210607,0.0116431200876832,52626,1
211631,0.0565432682633399,52882,1
212655,0.0110076880082488,53138,1
213679,0.0027869078330695,53394,1
214703,0.0135842263698577,53650,1
215727,0.0042479508556425,53906,1
216751,0.0463953539729118,54162,1
217775,0.0570379011332988,54418,1
218799,0.0058463420718908,54674,1
219823,0.0023586987517774,54930,1
220847,0.0050956844352185,55186,1
221871,0.1114237681031227,55442,1
222895,0.0208844263106584,55698,1
223919,0.047352597117424,55954,1
224943,0.0034859967418015,56210,1
225967,0.0049904356710612,56466,1
226991,0.0260935593396425,56722,1
228015,0.0730829238891601,56978,1
229039,0.0054307640530169,57234,1
230063,0.0432798080146312,57490,1
231087,0.0009144681389443,57746,1
232111,0.1009052395820617,58002,1
233135,0.0883924439549446,58258,1
234159,0.0214297398924827,58514,1
235183,0.0415682718157768,58770,1
236207,0.0071705668233335,59026,1
237231,0.0704950243234634,59282,1
238255,0.0016250573098659,59538,1
239279,0.042249146848917,59794,1
240303,0.0780649185180664,60050,1
241327,0.004276156425476,60306,1
242351,0.1063510999083519,60562,1
243375,0.0636982098221778,60818,1
244399,0.0034401705488562,61074,1
245423,0.0220846328884363,61330,1
246447,0.0018256091279909,61586,1
247471,0.0007443795911967,61842,1
248495,0.0028117666952311,62098,1
249519,0.0065932171419262,62354,1
1024,0.0137271881103515,230,2
2048,0.0079779680818319,486,2
3072,0.0140231372788548,742,2
4096,0.0199021697044372,998,2
5120,0.0185487642884254,1254,2
6144,0.0165081154555082,1510,2
7168,0.0646111667156219,1766,2
8192,0.0428728759288787,2022,2
9216,0.014264591038227,2278,2
10240,0.0114847999066114,2534,2
11227,0.0071898028254508,2781,2
12251,0.0460452660918235,3037,2
13275,0.0106947291642427,3293,2
14299,0.0073905996978282,3549,2
15323,0.0058690719306468,3805,2
16347,0.0428261756896972,4061,2
17371,0.00803167745471,4317,2
18395,0.037890687584877,4573,2
19419,0.0337887667119503,4829,2
20443,0.0429676286876201,5085,2
21467,0.0547239333391189,5341,2
22491,0.0318583622574806,5597,2
23486,0.0666768178343772,5846,2
24510,0.0770579800009727,6102,2
25534,0.0417592674493789,6358,2
26558,0.0111718103289604,6614,2
27582,0.0782391875982284,6870,2
28606,0.0466356351971626,7126,2
29630,0.0957907065749168,7382,2
30654,0.0501997545361518,7638,2
31678,0.0076773185282945,7894,2
32702,0.0101137338206171,8150,2
33607,0.0690353661775589,8376,2
34631,0.0075087938457727,8632,2
35568,0.0265546739101409,8866,2
36592,0.4053547084331512,9122,2
37616,0.0269472394138574,9378,2
38640,0.0386267527937889,9634,2
39664,0.0331928059458732,9890,2
40688,0.0069856573827564,10146,2
41712,0.0092032346874475,10402,2
42736,0.0551972836256027,10658,2
43742,0.0092976540327072,10910,2
44766,0.0155940828844904,11166,2
45790,0.0065875495783984,11422,2
46695,0.0485336855053901,11648,2
47719,0.0622907690703868,11904,2
48743,0.071380615234375,12160,2
49767,0.0061005549505352,12416,2
50791,0.0709904357790947,12672,2
51815,0.040053728967905,12928,2
52839,0.0124964080750942,13184,2
53863,0.0233131516724824,13440,2
54887,0.0674619376659393,13696,2
55911,0.0439151003956794,13952,2
56935,0.0040052067488431,14208,2
57959,0.0462886318564415,14464,2
58983,0.0064872568473219,14720,2
60007,0.0052669923752546,14976,2
61031,0.0046924813650548,15232,2
62055,0.0528102666139602,15488,2
63079,0.0046934839338064,15744,2
64103,0.0140887144953012,16000,2
65127,0.0252766516059637,16256,2
66151,0.0053019691258668,16512,2
67074,0.0428896620869636,16743,2
68098,0.0048496844246983,16999,2
69122,0.0104603404179215,17255,2
70146,0.0460787527263164,17511,2
71170,0.0268599316477775,17767,2
72194,0.0031410870142281,18023,2
73218,0.0117217376828193,18279,2
74242,0.0107553265988826,18535,2
75266,0.059776984155178,18791,2
76290,0.0160097684711217,19047,2
77314,0.0131878033280372,19303,2
78338,0.0060936114750802,19559,2
79362,0.0438242778182029,19815,2
80386,0.0247307997196912,20071,2
81410,0.0338234007358551,20327,2
82434,0.0769351124763488,20583,2
