time/total_timesteps,train/loss,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/n_updates,phase
2048,,,,,,1
4096,21.96177101135254,-0.0145883164484985,95.34242367744446,-1.0883979007601738,10.0,1
6144,30.55872344970703,-0.0185966803110204,82.47060775756836,-1.0544106528162955,20.0,1
8192,33.413360595703125,-0.0199316268437542,79.37215757369995,-0.9869460605084897,30.0,1
10240,21.524208068847656,-0.0255665670498274,48.85793561935425,-0.8766530595719815,40.0,1
12288,14.7184476852417,-0.0153761598281562,36.22142179012299,-0.7713676057755947,50.0,1
14336,58.05778884887695,-0.0061496263428125,76.33250687122344,-0.6723595224320889,60.0,1
16384,31.96824836730957,-0.0073899725684896,74.77389736175537,-0.5625767104327679,70.0,1
18432,6.354777812957764,-0.0114337183884344,15.86796349287033,-0.4695541534572839,80.0,1
20480,5.464687824249268,-0.0089443768199998,12.791513323783876,-0.3667115177959203,90.0,1
22528,4.940693378448486,-0.0074743280361872,10.805594962835311,-0.292845699749887,100.0,1
24576,2.5458850860595703,-0.0081935874477494,6.30789600610733,-0.2529127614572644,110.0,1
26624,4.912715435028076,-0.0075699162553064,8.372907960414887,-0.1968809591606259,120.0,1
28672,2.5255184173583984,-0.0057627796893939,5.25752774477005,-0.1658380458131432,130.0,1
30720,1.5765711069107056,-0.004291018936783,3.969817207753658,-0.1302972415462136,140.0,1
32768,1.2185887098312378,-0.0049591822782531,2.761074203252792,-0.1079218533821404,150.0,1
34816,2.6048505306243896,-0.003158933360828,5.07069796025753,-0.0825603448785841,160.0,1
36864,1.5322569608688354,-0.0036859456391539,4.687025648355484,-0.0580187362153083,170.0,1
38912,0.1839677691459655,-0.0016217292344663,1.161642257496715,-0.0371086829341948,180.0,1
40960,0.7241182923316956,-0.002344594488386,2.176112609356642,-0.027633358282037,190.0,1
43008,0.2010852098464965,-0.0017096000839956,0.4714923151768744,-0.0202161819208413,200.0,1
45056,0.5179662108421326,-0.0006692829774692,1.0868165157735348,-0.016063587157987,210.0,1
47104,0.0543043203651905,-0.0014713915588799,0.2220738896168768,-0.0115664407145231,220.0,1
49152,0.017465766519308,-1.6938429325819014e-09,0.1775986208347603,-0.0102400626288726,230.0,1
51200,0.007636081892997,-0.0011211595672648,0.0753433649078942,-0.0082680254243314,240.0,1
53248,0.018372319638729,-0.0004872945719398,0.1973825115012005,-0.0063271588645875,250.0,1
55296,0.2243287563323974,-0.0008398570760618,0.0960226602735929,-0.0051647334650624,260.0,1
57344,0.0053616422228515,-0.000656270829495,0.0389113113749772,-0.0039994384918827,270.0,1
59392,0.0106959398835897,-0.0005448931653518,0.2475311785703525,-0.0030634395836386,280.0,1
61440,0.1145008131861686,-6.913440302014351e-07,0.0971945952624082,-0.0027951813623076,290.0,1
63488,0.2090391367673874,-5.774491000920534e-07,0.085865912787267,-0.0028666396567132,300.0,1
65536,0.0016983720706775,-6.321351975202561e-09,0.0312409747872152,-0.0028618201380595,310.0,1
67584,0.072330854833126,-7.869675755500793e-09,0.2991078563907649,-0.0029159202182199,320.0,1
69632,0.5222113728523254,-6.68107531964779e-08,0.3359658207016764,-0.0029896842519519,330.0,1
71680,0.009465042501688,-0.0002400207275059,0.1463371411024127,-0.0026210930867819,340.0,1
73728,0.0374090634286403,-9.816394886001943e-05,0.238590274535818,-0.0020071844628546,350.0,1
75776,0.0014097208622843,4.936009645462036e-08,0.0954803066240856,-0.0018406081653665,360.0,1
77824,-0.003516100347042,-0.0009353445668239,0.0874104673042893,-0.0014274638044298,370.0,1
79872,0.0009960836032405,3.1490344554185872e-09,0.0557651874994917,-0.0013002832332858,380.0,1
81920,0.0014678225852549,-0.0006784002063795,0.0347592877136776,-0.0009351348140626,390.0,1
83968,0.1229055896401405,-0.0001252996386028,0.1265150567691307,-0.0007188200987002,400.0,1
86016,0.00243532191962,2.7014175429940225e-08,0.1317549594299635,-0.0006830899750639,410.0,1
88064,1.0880506038665771,-1.32131390273571e-09,0.4926952569891,-0.0006851998121419,420.0,1
90112,0.0005197515711188,-4.237517714500427e-09,0.0578779865920296,-0.0006867111907922,430.0,1
92160,0.000788178644143,1.834705471992493e-08,0.1080727527720228,-0.0006922341701283,440.0,1
94208,0.4111010730266571,-2.281740307807922e-09,1.0316707787802444,-0.0006967963796341,450.0,1
96256,0.003881212323904,4.0218583308160314e-08,0.0060125020996565,-0.0007008133266936,460.0,1
98304,0.0004193029890302,-1.566077116876841e-08,0.0041845900537737,-0.0007081391842802,470.0,1
100352,0.1332631260156631,-2.3283064365386963e-10,0.1313719879399286,-0.0007122616989363,480.0,1
102400,0.000822355155833,1.1821975931525232e-08,0.0869538013115743,-0.0007164867180108,490.0,1
104448,0.1232964470982551,-0.0004474530127481,0.2175120015308493,-0.0004864471673499,500.0,1
106496,0.0020403547678142,1.8894206732511522e-08,0.0559465946334967,-0.0004484157529077,510.0,1
