time/total_timesteps,train/value_loss,train/n_updates,train/policy_gradient_loss,train/loss,train/entropy_loss,phase
2048,,,,,,1
4096,104.3886345386505,10.0,-0.0159813029400538,29.67701530456543,-1.0877178877592086,1
6144,89.89766073226929,20.0,-0.0185390682192519,35.1236457824707,-1.0473159119486808,1
8192,84.92541837692261,30.0,-0.0240104142343625,34.881080627441406,-0.973709125071764,1
10240,47.11302943229675,40.0,-0.0270404126378707,17.332067489624023,-0.8594764932990074,1
12288,39.46526277065277,50.0,-0.0205322977853938,15.4102201461792,-0.7668164022266865,1
14336,23.445598578453065,60.0,-0.0209631808800622,8.859100341796875,-0.6434368044137955,1
16384,16.626452958583833,70.0,-0.0206248592468909,5.280302047729492,-0.5434999700635672,1
18432,7.618900758028031,80.0,-0.0184156226110644,3.2565298080444336,-0.4379680179059505,1
20480,4.788346147537231,90.0,-0.0194840126670897,2.266669273376465,-0.2936666492372751,1
22528,4.707225877046585,100.0,-0.0068871614639647,2.4408254623413086,-0.177784120850265,1
24576,3.333447250723838,110.0,-0.0049820073589216,0.5930112600326538,-0.0861776429228484,1
26624,1.7053495071828366,120.0,-0.0054799858480691,0.8132996559143066,-0.0686815174296498,1
28672,1.8906752839684489,130.0,-0.0039485747402068,0.7004220485687256,-0.0476600073743611,1
30720,0.8526763528585434,140.0,-0.0042116808646824,0.1947919577360153,-0.0387047897092998,1
32768,0.6643648881465196,150.0,-0.0017818403022829,0.1814344823360443,-0.0215595167363062,1
34816,0.8826049547642469,160.0,-0.0022607545601204,0.2344085425138473,-0.0233961616409942,1
36864,0.6769342556595802,170.0,-0.0011252883879933,0.3668627440929413,-0.0197613021126016,1
38912,0.4361739240586758,180.0,-0.0012229586485773,0.0989081710577011,-0.0098274879856035,1
40960,0.303920189384371,190.0,-4.2887567542493346e-05,0.085148736834526,-0.0092668587458319,1
43008,0.2852159408852458,200.0,-0.0016644633433315,0.1331091821193695,-0.0074015739955939,1
45056,0.1892939584096893,210.0,-0.0005836015974637,0.0330707468092441,-0.0049984201497863,1
47104,0.068957732594572,220.0,-1.856125891208649e-07,0.0133461020886898,-0.005164369312115,1
49152,0.295683266595006,230.0,-0.0010629045020323,0.1926456093788147,-0.0040571405552327,1
51200,0.1249280005518812,240.0,-2.6077032089233393e-09,0.0459595210850238,-0.003917397634359,1
53248,0.1350853276497218,250.0,-2.307118847966194e-06,0.058473851531744,-0.0044351994700264,1
55296,0.2201292495243251,260.0,-0.0001736985665047,0.148690864443779,-0.0037008399667683,1
57344,0.0682286249590106,270.0,-0.0013202033936977,0.0240356270223855,-0.0028665758087299,1
59392,0.1770800170488655,280.0,-0.0006352266296744,0.0959070846438407,-0.0030581004975829,1
61440,0.0423732225317508,290.0,-0.0008620181062724,0.0077701439149677,-0.0016528689840924,1
63488,0.4071755732176825,300.0,-0.0001345271535683,0.1526384502649307,-0.0010816626032465,1
65536,0.1794492370565422,310.0,-0.000303305016132,0.124320849776268,-0.0006663157029834,1
67584,0.0406079479886102,320.0,-1.0791700333356858e-08,0.0025480056647211,-0.0007674038053664,1
69632,0.2928511532605625,330.0,-1.57160684466362e-10,0.1310978531837463,-0.0005845382533152,1
71680,0.0402111030794912,340.0,2.532033249735832e-09,0.0160506945103406,-0.0005878402262169,1
73728,0.0216904901673842,350.0,1.1886004358530044e-08,0.0094083407893776,-0.0005948877238552,1
75776,0.0805819561508542,360.0,3.492459654808044e-09,0.0087126810103654,-0.0006005866205669,1
77824,0.0325601125325192,370.0,-8.285860531032085e-09,0.015639528632164,-0.0006070629155146,1
79872,0.0314988225869456,380.0,-1.0657822713255882e-08,0.0055999946780502,-0.0006145928156911,1
81920,0.1805875016376376,390.0,-1.5128171071410178e-08,0.0110295908525586,-0.000629770757223,1
83968,0.0249347734581533,400.0,-3.2968819141387945e-08,0.017038008198142,-0.0006920563879248,1
86016,0.1872477013675961,410.0,-1.5017576515674591e-09,0.1242343485355377,-0.0006387256165908,1
88064,0.0766785056854132,420.0,-1.2918026186525825e-07,0.0362576618790626,-0.0008435665549768,1
90112,0.118548102362547,430.0,-0.0007544711465016,0.0684252679347992,-0.0006145608407678,1
92160,0.0487352471645863,440.0,-2.3492611944675447e-08,0.0174246877431869,-0.0006115725373092,1
94208,0.0091839397362491,450.0,-1.039588823914528e-08,0.0069331508129835,-0.0005627444836136,1
96256,0.0393803416947775,460.0,9.519862942397597e-09,0.002582310931757,-0.000610580752982,1
98304,0.0780095483038167,470.0,2.1420419216156e-09,0.0952233374118805,-0.0005822023827931,1
100352,0.016661020432366,480.0,-2.537854015827179e-09,0.0171197522431612,-0.0006273055201745,1
102400,0.0372924952218454,490.0,-2.048909664154053e-09,0.0066378987394273,-0.000603142780892,1
104448,0.2635867113014683,500.0,-1.0512303560972212e-08,0.0045357728376984,-0.0006502607640868,1
106496,0.0266549276839214,510.0,-5.995389074087142e-10,0.0191306881606578,-0.0006255469648749,1
108544,0.0436071010848536,520.0,5.314359441399574e-09,0.0263328552246093,-0.0006399527177563,1
110592,0.2219477765494957,530.0,3.945024218410254e-09,0.003821215359494,-0.0006552781705977,1
112640,0.0596618687181035,540.0,-2.342858351767063e-09,0.0456328652799129,-0.0006653852396993,1
114688,0.0496790718549164,550.0,-2.4447217583656307e-10,0.0459362640976905,-0.0006740512566466,1
116736,0.1527746631298214,560.0,9.138602763414384e-10,0.0789147242903709,-0.0006831923950812,1
118784,0.051874700580447,570.0,1.8742866814136505e-08,0.0479553155601024,-0.0007329782725719,1
120832,0.3955064814072102,580.0,-3.271270543336868e-09,0.2372853308916092,-0.0007059946394292,1
122880,0.1185299619057332,590.0,2.3283064365386964e-11,0.0579781718552112,-0.0007062887510983,1
124928,0.0485172100175987,600.0,-1.5832483768463132e-09,0.027024146169424,-0.0007190088603238,1
126976,0.0495974218705669,610.0,-2.208980731666088e-08,0.0029192026704549,-0.0007481098560674,1
