time/total_timesteps,train/loss,train/entropy_loss,train/value_loss,train/n_updates,train/policy_gradient_loss,phase
2048,,,,,,1
4096,31.407346725463867,-1.0870281994342803,108.2985610485077,10.0,-0.0134531629271805,1
6144,34.96055603027344,-1.0545301243662837,94.00243377685548,20.0,-0.0144555687147658,1
8192,40.017852783203125,-0.9858829326927662,93.70223016738892,30.0,-0.0156811294204089,1
10240,22.221450805664062,-0.8851214699447155,58.79707436561584,40.0,-0.0239465488819405,1
12288,17.772998809814453,-0.7818075984716415,43.239887142181395,50.0,-0.0173357729334384,1
14336,13.469281196594238,-0.6724111944437027,32.51597924232483,60.0,-0.0133125732361804,1
16384,9.858420372009276,-0.5654920525848866,21.32015995979309,70.0,-0.0152718316123355,1
18432,8.769145965576172,-0.4932881720364094,19.6078186750412,80.0,-0.0091314595425501,1
20480,3.4097375869750977,-0.3695620741695166,9.880420833826063,90.0,-0.0153219707077369,1
22528,4.279661178588867,-0.2479995090514421,6.044238692522049,100.0,-0.0070401438162662,1
24576,3.7246384620666504,-0.1672130091115832,7.476596182584762,110.0,-0.006473819387611,1
26624,2.1916632652282715,-0.1531238991767168,5.713722437620163,120.0,-0.0040548819524701,1
28672,1.7686471939086914,-0.1146897048689425,4.332355058193206,130.0,-0.0052980761451181,1
30720,1.1676470041275024,-0.0956032070331275,3.0271061450242995,140.0,-0.0047090746287722,1
32768,0.7830542325973511,-0.0668886809144169,3.968624146282673,150.0,-0.003832178749144,1
34816,0.65003502368927,-0.0505806510802358,1.969761836528778,160.0,-0.0021195502224145,1
36864,0.275589644908905,-0.0391085213981568,1.0303393363952638,170.0,-0.002228518895572,1
38912,0.2837324738502502,-0.0236698285909369,0.949002424813807,180.0,-0.001608326670248,1
40960,0.0913852080702781,-0.0182398611446842,0.4238599391188472,190.0,-0.0004977384523954,1
43008,0.7006494402885437,-0.0124492826056666,0.824870528280735,200.0,-0.0014506249281112,1
45056,0.2409260720014572,-0.0093052194104529,0.4222812907071784,210.0,-3.728533047251403e-05,1
47104,0.008514242246747,-0.0068822675733827,0.0743766095256432,220.0,-0.0004332334036007,1
49152,0.0079089207574725,-0.0044743251288309,0.1617119962815195,230.0,-0.0009593760129064,1
51200,0.0243831705302,-0.0036482568859355,0.1867418901529163,240.0,-4.876637831330299e-08,1
53248,0.0033367280848324,-0.0041748709685634,0.1381224702694453,250.0,-3.98256815969944e-08,1
55296,0.1096911281347274,-0.0035495671269018,0.2491578516317531,260.0,-0.0002532858750782,1
57344,0.0043097981251776,-0.002225219970569,0.053322793872212,270.0,-0.001056377540226,1
59392,0.0031490868423134,-0.0019969673972809,0.0836252614419208,280.0,-2.0049919839948416e-06,1
61440,0.0274888593703508,-0.0013393364599323,0.3340192026924342,290.0,-0.0009645557787735,1
63488,0.0997709482908248,-0.001126976616797,0.2866410577669739,300.0,-0.0001900857081636,1
65536,0.0038056592456996,-0.0009198348445352,0.007713144160516,310.0,-0.0009996557113481,1
67584,0.0005250840913504,-0.0009692828243714,0.0299500812441692,320.0,-3.60183184966445e-07,1
69632,0.6306706070899963,-0.000870364356524,0.4870726547262166,330.0,-2.933666110038757e-09,1
71680,0.003540237667039,-0.0008717913893633,0.037303414840062,340.0,-4.365574568510055e-10,1
73728,0.0005486311856657,-0.0008965314176748,0.002261638598793,350.0,4.8038782551884655e-08,1
75776,0.0003637560002971,-0.0008996242366265,0.0044617857667617,360.0,-2.0745210349559786e-08,1
77824,0.0002000487293116,-0.0009091413667192,0.0240981345301406,370.0,-4.08967025578022e-08,1
79872,0.0003522949700709,-0.0009183224683511,0.0019112810172373,380.0,-8.594943210482598e-08,1
81920,0.0011717292945832,-0.0009496213009697,0.1887254729314008,390.0,-4.626053851097822e-09,1
83968,0.0008473932975903,-0.000992394570494,0.0767055454067303,400.0,-2.6837806217372416e-07,1
86016,0.2364423125982284,-0.0009560479651554,0.1342871811390068,410.0,-9.278301149606703e-09,1
88064,0.0003557961026672,-0.0010020531582995,0.0012888998463495,420.0,-5.932641215622426e-07,1
90112,0.2596633732318878,-0.0005207028880249,0.4257696032058448,430.0,-0.0009669208026025,1
92160,0.1096610203385353,-0.0004149744429014,0.078379071571544,440.0,3.0151568353176124e-08,1
94208,0.0002950459602288,-0.0004066662251716,0.0004184306929403,450.0,-7.607741281390191e-09,1
96256,0.0001667480682954,-0.0004195367404463,0.0640712186483142,460.0,3.591412678360939e-09,1
98304,0.0038637656252831,-0.0004098057899682,0.0030334670980892,470.0,-4.454341251403094e-09,1
100352,0.1182181537151336,-0.0004213952757709,0.0601674967340841,480.0,-2.6909401640295983e-08,1
102400,0.0009595293668098,-0.000418457181513,0.373210289898816,490.0,5.948822945356369e-09,1
104448,0.0007464661030098,-0.000425790720692,0.2203989163434016,500.0,-6.170012056827545e-09,1
106496,0.0007776611018925,-0.0004224344476824,0.004220103127534,510.0,-8.661299943923951e-09,1
108544,0.0009002350852824,-0.0004267493768566,0.1051848479480611,520.0,-1.2322561815381051e-08,1
110592,7.744321192149073e-05,-0.0004300569038605,0.0536169721739497,530.0,-2.7357600629329677e-10,1
112640,0.3026046752929687,-0.0004332118147431,0.2975058883333986,540.0,9.057112038135528e-09,1
114688,0.0017973838839679,-0.0004332766678999,0.0536397719191882,550.0,-3.236345946788788e-09,1
116736,0.0006535270949825,-0.0004423287955432,0.1430625286982831,560.0,-1.080334186553955e-08,1
118784,0.1404363512992859,-0.0004524857879005,0.1375319784598105,570.0,6.606569513678551e-09,1
120832,0.432918906211853,-0.0004525284042756,0.83526369316387,580.0,1.0139774531126022e-08,1
122880,0.1610747128725052,-0.0004524376879999,0.3052782183851377,590.0,1.1711381375789642e-08,1
124928,0.1376299709081649,-0.0004569759428704,0.1216100496870694,600.0,-1.664739102125168e-09,1
126976,0.0006562054622918,-0.0004701210422354,0.1592441267275717,610.0,-5.646143108606338e-09,1
129024,0.0021348386071622,-0.0004712405414466,0.029132287678658,620.0,5.8498699218034744e-08,1
131072,0.0016673993086442,-0.0003402272559469,0.0150895656872307,630.0,-0.0005548798013478,1
133120,0.0003871020744554,-0.0002935371587227,0.0534809621603926,640.0,-3.248569555580616e-08,1
135168,0.1915223449468612,-0.000296187409549,0.2855290230683749,650.0,-2.3283064365386963e-09,1
137216,0.0002913002099376,-0.0002983172860695,0.1030832103775537,660.0,-3.655441105365753e-09,1
139264,0.0926327481865882,-0.0003017803901457,0.1670287485863809,670.0,-5.5204145610332494e-08,1
141312,0.0003111368569079,-0.0003029000494279,0.0324224605334165,680.0,-1.9700382836163043e-08,1
143360,0.0043070865795016,-0.0003025216457899,0.0046655686532176,690.0,4.9604568630456934e-08,1
145408,0.0005043512210249,-0.0003053717286093,0.065931334637753,700.0,-9.482027962803841e-09,1
147456,0.0048902896232903,-0.0003231542144931,0.0660302668096846,710.0,2.846354618668556e-09,1
149504,0.0922098010778427,-0.0003118340642686,0.4978024414158426,720.0,4.4959597289562224e-08,1
151552,0.1277414262294769,-0.0003128881213342,0.0728210328448767,730.0,-2.4429755285382273e-08,1
153600,0.0045348606072366,-0.000313863980773,0.1033114721562014,740.0,-3.4994445741176614e-08,1
155648,0.1191000640392303,-0.0003158133196848,0.060212316797515,750.0,2.834713086485863e-09,1
157696,0.0002998668060172,-0.0003177061498718,0.0013178134856843,760.0,-2.9755756258964538e-08,1
159744,0.0003022155433427,-0.0003206081240932,0.0866640472034305,770.0,-3.294553607702255e-09,1
161792,0.002440427429974,-0.0003287684488896,0.0340344162061228,780.0,-1.8172431737184524e-08,1
163840,0.2059297710657119,-0.0003332132266223,0.1464027786059887,790.0,-4.1816383600234984e-08,1
165888,0.000550651573576,-0.0003377827248186,0.0301988366296427,800.0,-7.043126970529555e-10,1
167936,0.0004911412252113,-0.0003446397007792,0.0307730944197828,810.0,2.3312168195843697e-08,1
169984,0.0019695854280143,-0.0003464227484073,0.1953895960134105,820.0,-1.0279472917318344e-08,1
172032,0.0448020361363887,-0.0003499030037346,0.1391127733335452,830.0,2.2165477275848393e-08,1
174080,0.0732407793402671,-0.0003575680606445,0.157463475089753,840.0,-8.591450750827789e-09,1
176128,0.0079081039875745,-0.0003630620925832,0.0372118624724407,850.0,-1.4901161193847656e-08,1
178176,0.0050493879243731,-0.0003869807944283,0.0315989586670184,860.0,-8.288770914077759e-09,1
180224,0.0001625449513085,-0.0003836350511846,0.0622936772043885,870.0,-3.1403033062815666e-08,1
182272,0.0001493304880568,-0.0004105294927285,0.0762267985886865,880.0,9.988434612751008e-09,1
184320,0.0023377686738967,-0.0003925116732716,0.0566898671440867,890.0,-5.320180207490921e-09,1
186368,0.159192219376564,-0.0004035660847875,0.1271783915255582,900.0,-1.2747477740049362e-08,1
188416,0.4002107083797455,-0.0004110546986339,0.3480776934229652,910.0,5.774199962615967e-09,1
190464,0.1000550538301467,-0.0004227698118484,0.1223082989155955,920.0,-6.187474355101585e-09,1
192512,0.1227789595723152,-0.0002472376465448,0.3527257700829068,930.0,-0.0001248843502253,1
194560,0.0013534865574911,-0.0002046462375801,0.0349430584563379,940.0,3.451714292168617e-09,1
196608,0.0011558590922504,-0.0002042837028056,0.2851275397089921,950.0,5.960464477539063e-09,1
