method,seed,reward_scheme,success_rate,episode_return_mean,episode_return_std,steps_to_goal_mean,steps_to_goal_std,dead_loop_rate,wall_collision_case_rate,n_eval_episodes,sample_efficiency_episodes,sample_efficiency_steps
random,42,A,0.0,-202.3,8.766413177577247,,,1.0,1.0,100,-1,-1
random,123,A,0.0,-200.51,8.277070737887891,,,1.0,1.0,100,-1,-1
random,2026,A,0.0,-202.01,9.29138848611982,,,1.0,1.0,100,-1,-1
random,9,A,0.0,-201.58,8.224572937241179,,,1.0,1.0,100,-1,-1
random,20,A,0.0,-202.91,7.577723932685855,,,1.0,1.0,100,-1,-1
random,42,B,0.0,-203.986,11.33374624737999,,,1.0,1.0,100,-1,-1
random,123,B,0.0,-203.052,11.149838384478937,,,1.0,1.0,100,-1,-1
random,2026,B,0.0,-201.56,11.594343448423457,,,1.0,1.0,100,-1,-1
random,9,B,0.0,-201.75999999999996,10.426581414826238,,,1.0,1.0,100,-1,-1
random,20,B,0.0,-202.164,10.925287364641717,,,1.0,1.0,100,-1,-1
dqn,42,A,0.0,-1.0,0.0,,,1.0,1.0,100,-1,-1
dqn,123,A,0.0,-1.0,0.0,,,1.0,1.0,100,-1,-1
dqn,2026,A,0.0,-1.0,0.0,,,1.0,1.0,100,-1,-1
dqn,9,A,0.0,-1.0,0.0,,,1.0,1.0,100,-1,-1
dqn,20,A,0.0,-1.0,0.0,,,1.0,1.0,100,-1,-1
dqn,42,B,0.0,-2.232,4.276608001676095,,,1.0,1.0,100,-1,-1
dqn,123,B,0.0,-1.108,3.0476771482557004,,,1.0,1.0,100,-1,-1
dqn,2026,B,0.0,-1.36,3.913872762367218,,,1.0,1.0,100,-1,-1
dqn,9,B,0.0,-1.842,3.9345947694775374,,,1.0,1.0,100,-1,-1
dqn,20,B,0.0,-1.428,3.343294183885109,,,1.0,1.0,100,-1,-1
ppo,42,A,0.0,-3.24,2.8039971469315015,,,1.0,1.0,100,-1,-1
ppo,123,A,0.0,-3.16,2.866077458827657,,,1.0,1.0,100,-1,-1
ppo,2026,A,0.0,-2.84,2.766658634526493,,,1.0,1.0,100,-1,-1
ppo,9,A,0.0,-2.72,2.383610706470333,,,1.0,1.0,100,-1,-1
ppo,20,A,0.0,-2.84,2.492869832141261,,,1.0,1.0,100,-1,-1
ppo,42,B,0.0,-2.306,4.443463063872591,,,1.0,1.0,100,-1,-1
ppo,123,B,0.0,-1.618,3.648900656362132,,,1.0,1.0,100,-1,-1
ppo,2026,B,0.0,-1.36,3.913872762367218,,,1.0,1.0,100,-1,-1
ppo,9,B,0.0,-2.1420000000000003,4.403752490774203,,,1.0,1.0,100,-1,-1
ppo,20,B,0.0,-2.1959999999999997,4.435761941312901,,,1.0,1.0,100,-1,-1
