class,precision,recall,f1,support,method
halfling,0.9565217391304348,0.99,0.972972972972973,200,hog_svm
human,0.987012987012987,0.9440993788819876,0.9650793650793652,483,hog_svm
lizard,0.9356223175965666,0.9688888888888888,0.9519650655021834,225,hog_svm
orc,0.92018779342723,0.9468599033816424,0.9333333333333332,207,hog_svm
wingedrat,0.9891304347826086,0.9891304347826086,0.9891304347826086,92,hog_svm
halfling,1.0,1.0,1.0,200,resnet18
human,1.0,1.0,1.0,483,resnet18
lizard,0.9533898305084746,1.0,0.9761388286334056,225,resnet18
orc,1.0,0.9468599033816424,0.9727047146401984,207,resnet18
wingedrat,1.0,1.0,1.0,92,resnet18
