time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/learning_rate,time/time_elapsed,train/n_updates,time/total_timesteps,time/episodes,rollout/success_rate,rollout/exploration_rate,phase,phase_learning_rate,phase_buffer_size
298,-201.75,256.0,0.0667967200279235,0.0001,3,230,1024,4,0.0,0.980544,1,0.0001,200000
391,-200.375,256.0,0.0476694777607917,0.0001,5,486,2048,8,0.0,0.9610880000000002,1,0.0001,200000
429,-198.75,256.0,0.0480781272053718,0.0001,7,742,3072,12,0.0,0.941632,1,0.0001,200000
461,-197.5625,256.0,0.0377516858279705,0.0001,8,998,4096,16,0.0,0.9221760000000002,1,0.0001,200000
482,-196.65,256.0,0.0541155599057674,0.0001,10,1254,5120,20,0.0,0.9027199999999996,1,0.0001,200000
496,-195.33333333333337,256.0,0.0609154999256134,0.0001,12,1510,6144,24,0.0,0.8832639999999998,1,0.0001,200000
504,-194.53571428571428,256.0,0.057749681174755,0.0001,14,1766,7168,28,0.0,0.8638079999999999,1,0.0001,200000
511,-193.65625,256.0,0.059451937675476,0.0001,16,2022,8192,32,0.0,0.8443519999999999,1,0.0001,200000
513,-191.97222222222223,256.0,0.035263180732727,0.0001,17,2278,9216,36,0.0,0.824896,1,0.0001,200000
518,-191.575,256.0,0.05555921792984,0.0001,19,2534,10240,40,0.0,0.80544,1,0.0001,200000
520,-189.88636363636363,256.0,0.0540536195039749,0.0001,21,2790,11264,44,0.0,0.785984,1,0.0001,200000
522,-188.79166666666663,256.0,0.0564843714237213,0.0001,23,3046,12288,48,0.0,0.7665280000000001,1,0.0001,200000
524,-187.6153846153846,256.0,0.0421035960316658,0.0001,25,3302,13312,52,0.0,0.7470720000000002,1,0.0001,200000
522,-185.1071428571429,256.0,0.0413578748703002,0.0001,27,3558,14336,56,0.0,0.7276160000000003,1,0.0001,200000
521,-183.33333333333337,256.0,0.0675860717892646,0.0001,29,3814,15360,60,0.0,0.7081599999999998,1,0.0001,200000
522,-181.859375,256.0,0.0679709240794181,0.0001,31,4070,16384,64,0.0,0.6887039999999998,1,0.0001,200000
523,-179.75,256.0,0.0568193756043911,0.0001,33,4326,17408,68,0.0,0.6692479999999998,1,0.0001,200000
524,-178.08333333333334,256.0,0.0860838145017623,0.0001,35,4582,18432,72,0.0,0.6497919999999999,1,0.0001,200000
524,-176.0,256.0,0.0687238425016403,0.0001,37,4838,19456,76,0.0,0.630336,1,0.0001,200000
520,-174.125,256.0,0.0892022550106048,0.0001,39,5094,20480,80,0.0,0.6108800000000001,1,0.0001,200000
521,-172.38095238095238,256.0,0.0885419696569442,0.0001,41,5350,21504,84,0.0,0.5914240000000002,1,0.0001,200000
517,-170.13636363636363,256.0,0.0949866101145744,0.0001,43,5606,22528,88,0.0,0.5719680000000001,1,0.0001,200000
517,-168.41304347826087,256.0,0.0952259972691536,0.0001,45,5862,23552,92,0.0,0.5525120000000002,1,0.0001,200000
514,-166.55208333333334,256.0,0.0999089032411575,0.0001,47,6118,24576,96,0.0,0.5330560000000003,1,0.0001,200000
509,-164.59,256.0,0.0924458503723144,0.0001,50,6374,25600,100,0.0,0.5135999999999998,1,0.0001,200000
509,-161.48,256.0,0.0806516259908676,0.0001,52,6630,26624,104,0.0,0.4941439999999999,1,0.0001,200000
507,-158.24,256.0,0.0818312466144561,0.0001,54,6886,27648,108,0.0,0.474688,1,0.0001,200000
503,-155.23,256.0,0.0642354562878608,0.0001,56,7142,28672,112,0.0,0.4552319999999999,1,0.0001,200000
501,-151.45,256.0,0.0877727419137954,0.0001,59,7398,29696,116,0.0,0.435776,1,0.0001,200000
499,-147.62,256.0,0.0636450424790382,0.0001,61,7654,30720,120,0.0,0.4163200000000001,1,0.0001,200000
498,-144.18,256.0,0.0649236291646957,0.0001,63,7910,31744,124,0.0,0.3968640000000001,1,0.0001,200000
496,-140.57,256.0,0.074202224612236,0.0001,65,8166,32768,128,0.0,0.3774080000000002,1,0.0001,200000
494,-136.28,256.0,0.0500846579670906,0.0001,68,8422,33792,132,0.0,0.3579520000000002,1,0.0001,200000
493,-132.97,256.0,0.0752147659659385,0.0001,70,8678,34816,136,0.0,0.3384959999999998,1,0.0001,200000
493,-128.34,256.0,0.0591001585125923,0.0001,72,8934,35840,140,0.0,0.3190400000000004,1,0.0001,200000
490,-124.14,256.0,0.061964675784111,0.0001,75,9190,36864,144,0.0,0.2995839999999999,1,0.0001,200000
489,-119.78,256.0,0.0480732843279838,0.0001,77,9446,37888,148,0.0,0.280128,1,0.0001,200000
487,-115.14,256.0,0.0552329160273075,0.0001,79,9702,38912,152,0.0,0.260672,1,0.0001,200000
485,-111.4,256.0,0.0574061684310436,0.0001,82,9958,39936,156,0.0,0.2412160000000001,1,0.0001,200000
483,-107.16,256.0,0.0446137338876724,0.0001,84,10214,40960,160,0.0,0.2217600000000001,1,0.0001,200000
482,-102.89,256.0,0.0431481190025806,0.0001,86,10470,41984,164,0.0,0.2023040000000002,1,0.0001,200000
478,-98.93,256.0,0.0540808252990245,0.0001,89,10726,43008,168,0.0,0.1828480000000003,1,0.0001,200000
474,-94.74,256.0,0.0474035404622554,0.0001,92,10982,44032,172,0.0,0.1633919999999998,1,0.0001,200000
471,-90.42,256.0,0.0358033999800682,0.0001,95,11238,45056,176,0.0,0.1439360000000002,1,0.0001,200000
470,-86.11,256.0,0.0317514538764953,0.0001,98,11494,46080,180,0.0,0.1244799999999998,1,0.0001,200000
466,-81.97,256.0,0.0357712432742118,0.0001,100,11750,47104,184,0.0,0.1050239999999999,1,0.0001,200000
464,-77.95,256.0,0.044788546860218,0.0001,103,12006,48128,188,0.0,0.0855679999999999,1,0.0001,200000
464,-73.33,256.0,0.0421386025846004,0.0001,105,12262,49152,192,0.0,0.066112,1,0.0001,200000
459,-68.92,256.0,0.0457560494542121,0.0001,109,12518,50176,196,0.0,0.05,1,0.0001,200000
457,-64.81,256.0,0.0597784370183944,0.0001,111,12774,51200,200,0.0,0.05,1,0.0001,200000
457,-60.3,256.0,0.0461063683032989,0.0001,114,13030,52224,204,0.0,0.05,1,0.0001,200000
456,-55.9,256.0,0.0626376494765281,0.0001,116,13286,53248,208,0.0,0.05,1,0.0001,200000
453,-51.5,256.0,0.0427855253219604,0.0001,119,13542,54272,212,0.0,0.05,1,0.0001,200000
452,-48.1,256.0,0.0418738648295402,0.0001,122,13798,55296,216,0.0,0.05,1,0.0001,200000
452,-44.7,256.0,0.048520628362894,0.0001,124,14054,56320,220,0.0,0.05,1,0.0001,200000
451,-41.04,256.0,0.0382073521614074,0.0001,127,14310,57344,224,0.0,0.05,1,0.0001,200000
450,-37.5,256.0,0.038797989487648,0.0001,129,14566,58368,228,0.0,0.05,1,0.0001,200000
450,-34.84,256.0,0.0448069162666797,0.0001,131,14822,59392,232,0.0,0.05,1,0.0001,200000
450,-31.68,256.0,0.0273521058261394,0.0001,134,15078,60416,236,0.0,0.05,1,0.0001,200000
450,-29.29,256.0,0.0276352521032094,0.0001,136,15334,61440,240,0.0,0.05,1,0.0001,200000
449,-27.18,256.0,0.0293096993118524,0.0001,138,15590,62464,244,0.0,0.05,1,0.0001,200000
449,-25.0,256.0,0.0318695865571498,0.0001,141,15846,63488,248,0.0,0.05,1,0.0001,200000
448,-23.2,256.0,0.0300682820379734,0.0001,143,16102,64512,252,0.0,0.05,1,0.0001,200000
447,-21.33,256.0,0.036266304552555,0.0001,146,16358,65536,256,0.0,0.05,1,0.0001,200000
447,-19.92,256.0,0.0315794125199317,0.0001,148,16614,66560,260,0.0,0.05,1,0.0001,200000
444,-18.2,256.0,0.0390002205967903,0.0001,152,16870,67584,264,0.0,0.05,1,0.0001,200000
443,-16.8,256.0,0.038319319486618,0.0001,154,17126,68608,268,0.0,0.05,1,0.0001,200000
443,-15.42,256.0,0.0284283459186553,0.0001,157,17382,69632,272,0.0,0.05,1,0.0001,200000
442,-14.7,256.0,0.0249276608228683,0.0001,159,17638,70656,276,0.0,0.05,1,0.0001,200000
442,-14.01,256.0,0.0203727297484874,0.0001,161,17894,71680,280,0.0,0.05,1,0.0001,200000
442,-13.16,256.0,0.0447728410363197,0.0001,164,18150,72704,284,0.0,0.05,1,0.0001,200000
442,-12.89,256.0,0.0268845129758119,0.0001,166,18406,73728,288,0.0,0.05,1,0.0001,200000
