rollout/success_rate,time/fps,train/learning_rate,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/n_updates,rollout/exploration_rate,rollout/ep_len_mean,time/total_timesteps,time/episodes,phase,phase_learning_rate,phase_buffer_size
0.0,563,0.0001,1,-204.25,0.1594156920909881,230,0.980544,256.0,1024,4,1,0.0001,200000
0.0,588,0.0001,3,-201.65,0.1202727854251861,486,0.9610880000000002,256.0,2048,8,1,0.0001,200000
0.0,592,0.0001,5,-200.0666666666667,0.0937233865261077,742,0.941632,256.0,3072,12,1,0.0001,200000
0.0,598,0.0001,6,-198.9875,0.0699979290366172,998,0.9221760000000002,256.0,4096,16,1,0.0001,200000
0.0,598,0.0001,8,-198.99,0.1363739222288131,1254,0.9027199999999996,256.0,5120,20,1,0.0001,200000
0.0,599,0.0001,10,-196.15,0.1634439975023269,1510,0.8832639999999998,256.0,6144,24,1,0.0001,200000
0.0,599,0.0001,11,-195.09999999999997,0.1199629977345466,1766,0.8638079999999999,256.0,7168,28,1,0.0001,200000
0.0,599,0.0001,13,-193.58125,0.1508190929889679,2022,0.8443519999999999,256.0,8192,32,1,0.0001,200000
0.0,598,0.0001,15,-192.26666666666668,0.1185854747891426,2278,0.824896,256.0,9216,36,1,0.0001,200000
0.0,598,0.0001,17,-191.7,0.1482675075531005,2534,0.80544,256.0,10240,40,1,0.0001,200000
0.0,597,0.0001,18,-191.00454545454548,0.1048780530691146,2790,0.785984,256.0,11264,44,1,0.0001,200000
0.0,595,0.0001,20,-189.61250000000004,0.0739496201276779,3046,0.7665280000000001,256.0,12288,48,1,0.0001,200000
0.0,594,0.0001,22,-189.08076923076928,0.1474922597408294,3302,0.7470720000000002,256.0,13312,52,1,0.0001,200000
0.0,592,0.0001,24,-186.8607142857143,0.0885586738586425,3558,0.7276160000000003,256.0,14336,56,1,0.0001,200000
0.0,590,0.0001,26,-185.64,0.1483182907104492,3814,0.7081599999999998,256.0,15360,60,1,0.0001,200000
0.0,588,0.0001,27,-184.190625,0.1361066401004791,4070,0.6887039999999998,256.0,16384,64,1,0.0001,200000
0.0,586,0.0001,29,-182.06176470588233,0.1235080510377883,4326,0.6692479999999998,256.0,17408,68,1,0.0001,200000
0.0,584,0.0001,31,-180.9972222222222,0.1839184612035751,4582,0.6497919999999999,256.0,18432,72,1,0.0001,200000
0.0,582,0.0001,33,-179.21052631578948,0.1924540996551513,4838,0.630336,256.0,19456,76,1,0.0001,200000
0.0,580,0.0001,35,-177.61999999999998,0.1288466602563858,5094,0.6108800000000001,256.0,20480,80,1,0.0001,200000
0.0,578,0.0001,37,-176.1595238095238,0.1627337336540222,5350,0.5914240000000002,256.0,21504,84,1,0.0001,200000
0.0,576,0.0001,39,-174.5431818181818,0.1631070077419281,5606,0.5719680000000001,256.0,22528,88,1,0.0001,200000
0.0108695652173913,574,0.0001,40,-172.4978260869565,0.1902541518211364,5853,0.5532339999999999,255.58695652173913,23514,92,1,0.0001,200000
0.0208333333333333,573,0.0001,42,-169.73333333333332,0.0953720957040786,6101,0.534367,255.28125,24507,96,1,0.0001,200000
