time/fps,rollout/ep_len_mean,train/learning_rate,rollout/exploration_rate,train/loss,train/n_updates,rollout/ep_rew_mean,rollout/success_rate,time/total_timesteps,time/time_elapsed,time/episodes,phase,phase_learning_rate,phase_buffer_size
529,256.0,0.0001,0.980544,0.0555320419371128,230,-201.25,0.0,1024,1,4,1,0.0001,200000
551,256.0,0.0001,0.9610880000000002,0.0440520569682121,486,-196.125,0.0,2048,3,8,1,0.0001,200000
556,256.0,0.0001,0.941632,0.0484478883445262,742,-194.75,0.0,3072,5,12,1,0.0001,200000
548,256.0,0.0001,0.9221760000000002,0.029854841530323,998,-193.25,0.0,4096,7,16,1,0.0001,200000
557,256.0,0.0001,0.9027199999999996,0.0528156384825706,1254,-194.15,0.0,5120,9,20,1,0.0001,200000
561,256.0,0.0001,0.8832639999999998,0.0694302171468734,1510,-194.04166666666663,0.0,6144,10,24,1,0.0001,200000
564,256.0,0.0001,0.8638079999999999,0.0496851727366447,1766,-194.57142857142856,0.0,7168,12,28,1,0.0001,200000
562,256.0,0.0001,0.8443519999999999,0.0360959209501743,2022,-192.375,0.0,8192,14,32,1,0.0001,200000
561,256.0,0.0001,0.824896,0.0536035820841789,2278,-191.16666666666663,0.0,9216,16,36,1,0.0001,200000
558,256.0,0.0001,0.80544,0.077146291732788,2534,-189.0,0.0,10240,18,40,1,0.0001,200000
559,256.0,0.0001,0.785984,0.0451283678412437,2790,-188.3409090909091,0.0,11264,20,44,1,0.0001,200000
556,256.0,0.0001,0.7665280000000001,0.0446665659546852,3046,-186.125,0.0,12288,22,48,1,0.0001,200000
555,256.0,0.0001,0.7470720000000002,0.039488285779953,3302,-184.17307692307693,0.0,13312,23,52,1,0.0001,200000
553,256.0,0.0001,0.7276160000000003,0.0315710380673408,3558,-182.375,0.0,14336,25,56,1,0.0001,200000
550,256.0,0.0001,0.7081599999999998,0.0805406719446182,3814,-181.5,0.0,15360,27,60,1,0.0001,200000
547,256.0,0.0001,0.6887039999999998,0.0668399110436439,4070,-179.640625,0.0,16384,29,64,1,0.0001,200000
547,256.0,0.0001,0.6692479999999998,0.0674524158239364,4326,-177.9558823529412,0.0,17408,31,68,1,0.0001,200000
546,256.0,0.0001,0.6497919999999999,0.0577947124838829,4582,-176.38888888888889,0.0,18432,33,72,1,0.0001,200000
545,256.0,0.0001,0.630336,0.0721480697393417,4838,-174.92105263157896,0.0,19456,35,76,1,0.0001,200000
542,256.0,0.0001,0.6108800000000001,0.0888435095548629,5094,-173.7875,0.0,20480,37,80,1,0.0001,200000
540,256.0,0.0001,0.5914240000000002,0.0730207413434982,5350,-172.1547619047619,0.0,21504,39,84,1,0.0001,200000
539,256.0,0.0001,0.5719680000000001,0.0743452683091163,5606,-170.52272727272728,0.0,22528,41,88,1,0.0001,200000
534,256.0,0.0001,0.5525120000000002,0.0874892100691795,5862,-168.1195652173913,0.0,23552,44,92,1,0.0001,200000
532,256.0,0.0001,0.5330560000000003,0.0792434588074684,6118,-166.30208333333334,0.0,24576,46,96,1,0.0001,200000
529,256.0,0.0001,0.5135999999999998,0.0956130027770996,6374,-164.4,0.0,25600,48,100,1,0.0001,200000
523,256.0,0.0001,0.4941439999999999,0.0857518911361694,6630,-160.94,0.0,26624,50,104,1,0.0001,200000
522,256.0,0.0001,0.474688,0.0893241465091705,6886,-158.15,0.0,27648,52,108,1,0.0001,200000
518,256.0,0.0001,0.4552319999999999,0.0893692374229431,7142,-155.02,0.0,28672,55,112,1,0.0001,200000
515,256.0,0.0001,0.435776,0.0763969421386718,7398,-151.46,0.0,29696,57,116,1,0.0001,200000
513,256.0,0.0001,0.4163200000000001,0.0783873051404953,7654,-147.46,0.0,30720,59,120,1,0.0001,200000
510,256.0,0.0001,0.3968640000000001,0.0996929407119751,7910,-143.45,0.0,31744,62,124,1,0.0001,200000
508,256.0,0.0001,0.3774080000000002,0.0758829787373542,8166,-139.14,0.0,32768,64,128,1,0.0001,200000
506,256.0,0.0001,0.3579520000000002,0.0587878488004207,8422,-135.64,0.0,33792,66,132,1,0.0001,200000
504,256.0,0.0001,0.3384959999999998,0.0617541298270225,8678,-131.99,0.0,34816,68,136,1,0.0001,200000
503,256.0,0.0001,0.3190400000000004,0.0611244589090347,8934,-128.6,0.0,35840,71,140,1,0.0001,200000
502,256.0,0.0001,0.2995839999999999,0.0552304089069366,9190,-124.22,0.0,36864,73,144,1,0.0001,200000
499,256.0,0.0001,0.280128,0.0536865703761577,9446,-120.5,0.0,37888,75,148,1,0.0001,200000
497,256.0,0.0001,0.260672,0.0503232330083847,9702,-116.67,0.0,38912,78,152,1,0.0001,200000
496,256.0,0.0001,0.2412160000000001,0.0576141700148582,9958,-112.49,0.0,39936,80,156,1,0.0001,200000
493,256.0,0.0001,0.2217600000000001,0.0505394600331783,10214,-107.83,0.0,40960,83,160,1,0.0001,200000
491,256.0,0.0001,0.2023040000000002,0.0388099551200866,10470,-103.73,0.0,41984,85,164,1,0.0001,200000
490,256.0,0.0001,0.1828480000000003,0.0415599904954433,10726,-99.53,0.0,43008,87,168,1,0.0001,200000
484,256.0,0.0001,0.1633919999999998,0.0368222817778587,10982,-95.47,0.0,44032,90,172,1,0.0001,200000
480,256.0,0.0001,0.1439360000000002,0.0525643341243267,11238,-90.89,0.0,45056,93,176,1,0.0001,200000
478,256.0,0.0001,0.1244799999999998,0.044198527932167,11494,-86.15,0.0,46080,96,180,1,0.0001,200000
476,256.0,0.0001,0.1050239999999999,0.0601509325206279,11750,-81.57,0.0,47104,98,184,1,0.0001,200000
472,256.0,0.0001,0.0855679999999999,0.0462680533528327,12006,-76.93,0.0,48128,101,188,1,0.0001,200000
471,256.0,0.0001,0.066112,0.0373981483280658,12262,-73.14,0.0,49152,104,192,1,0.0001,200000
467,256.0,0.0001,0.05,0.0470392704010009,12518,-68.78,0.0,50176,107,196,1,0.0001,200000
464,256.0,0.0001,0.05,0.0490074604749679,12774,-64.5,0.0,51200,110,200,1,0.0001,200000
463,256.0,0.0001,0.05,0.0443088188767433,13030,-60.37,0.0,52224,112,204,1,0.0001,200000
463,256.0,0.0001,0.05,0.0442855134606361,13286,-55.89,0.0,53248,114,208,1,0.0001,200000
462,256.0,0.0001,0.05,0.0508635602891445,13542,-51.85,0.0,54272,117,212,1,0.0001,200000
459,256.0,0.0001,0.05,0.0437480024993419,13798,-48.32,0.0,55296,120,216,1,0.0001,200000
458,256.0,0.0001,0.05,0.0495964996516704,14054,-44.83,0.0,56320,122,220,1,0.0001,200000
457,256.0,0.0001,0.05,0.037765197455883,14310,-41.56,0.0,57344,125,224,1,0.0001,200000
456,256.0,0.0001,0.05,0.0513807535171508,14566,-38.39,0.0,58368,127,228,1,0.0001,200000
456,256.0,0.0001,0.05,0.0396608300507068,14822,-35.23,0.0,59392,130,232,1,0.0001,200000
455,256.0,0.0001,0.05,0.0448858775198459,15078,-32.1,0.0,60416,132,236,1,0.0001,200000
455,256.0,0.0001,0.05,0.0379565134644508,15334,-29.23,0.0,61440,134,240,1,0.0001,200000
455,256.0,0.0001,0.05,0.023152906447649,15590,-26.78,0.0,62464,137,244,1,0.0001,200000
454,256.0,0.0001,0.05,0.0339390225708484,15846,-24.48,0.0,63488,139,248,1,0.0001,200000
454,256.0,0.0001,0.05,0.038675982505083,16102,-22.31,0.0,64512,142,252,1,0.0001,200000
452,256.0,0.0001,0.05,0.0353281460702419,16358,-20.68,0.0,65536,144,256,1,0.0001,200000
452,256.0,0.0001,0.05,0.0363086871802806,16614,-19.21,0.0,66560,147,260,1,0.0001,200000
451,256.0,0.0001,0.05,0.0334758646786212,16870,-17.93,0.0,67584,149,264,1,0.0001,200000
448,256.0,0.0001,0.05,0.0321411378681659,17126,-16.72,0.0,68608,152,268,1,0.0001,200000
448,256.0,0.0001,0.05,0.032273132354021,17382,-15.42,0.0,69632,155,272,1,0.0001,200000
447,256.0,0.0001,0.05,0.0385582670569419,17638,-14.38,0.0,70656,157,276,1,0.0001,200000
447,256.0,0.0001,0.05,0.0355110540986061,17894,-13.68,0.0,71680,160,280,1,0.0001,200000
447,256.0,0.0001,0.05,0.0326641127467155,18150,-13.25,0.0,72704,162,284,1,0.0001,200000
446,256.0,0.0001,0.05,0.0328798219561576,18406,-13.03,0.0,73728,164,288,1,0.0001,200000
446,256.0,0.0001,0.05,0.0344182401895523,18662,-12.69,0.0,74752,167,292,1,0.0001,200000
446,256.0,0.0001,0.05,0.0251262560486793,18918,-12.63,0.0,75776,169,296,1,0.0001,200000
446,256.0,0.0001,0.05,0.0390094518661499,19174,-12.53,0.0,76800,171,300,1,0.0001,200000
446,256.0,0.0001,0.05,0.0321952253580093,19430,-12.5,0.0,77824,174,304,1,0.0001,200000
446,256.0,0.0001,0.05,0.026972459629178,19686,-12.72,0.0,78848,176,308,1,0.0001,200000
446,256.0,0.0001,0.05,0.0202045924961566,19942,-12.49,0.0,79872,179,312,1,0.0001,200000
445,256.0,0.0001,0.05,0.0192829687148332,20198,-12.54,0.0,80896,181,316,1,0.0001,200000
445,256.0,0.0001,0.05,0.0276455767452716,20454,-12.5,0.0,81920,183,320,1,0.0001,200000
445,256.0,0.0001,0.05,0.0158281624317169,20710,-12.49,0.0,82944,186,324,1,0.0001,200000
444,256.0,0.0001,0.05,0.0352946743369102,20966,-12.47,0.0,83968,188,328,1,0.0001,200000
444,256.0,0.0001,0.05,0.0261163525283336,21222,-12.47,0.0,84992,191,332,1,0.0001,200000
444,256.0,0.0001,0.05,0.0249801725149154,21478,-12.58,0.0,86016,193,336,1,0.0001,200000
444,256.0,0.0001,0.05,0.0160437878221273,21734,-12.69,0.0,87040,195,340,1,0.0001,200000
444,256.0,0.0001,0.05,0.0279827192425727,21990,-12.87,0.0,88064,198,344,1,0.0001,200000
444,256.0,0.0001,0.05,0.0259483288973569,22246,-13.0,0.0,89088,200,348,1,0.0001,200000
444,256.0,0.0001,0.05,0.0255359448492527,22502,-13.21,0.0,90112,202,352,1,0.0001,200000
444,256.0,0.0001,0.05,0.0312538109719753,22758,-13.11,0.0,91136,205,356,1,0.0001,200000
444,256.0,0.0001,0.05,0.0188746526837348,23014,-13.08,0.0,92160,207,360,1,0.0001,200000
444,256.0,0.0001,0.05,0.02428974583745,23270,-12.9,0.0,93184,209,364,1,0.0001,200000
444,256.0,0.0001,0.05,0.0287961885333061,23526,-12.87,0.0,94208,212,368,1,0.0001,200000
443,256.0,0.0001,0.05,0.0175659283995628,23782,-12.75,0.0,95232,214,372,1,0.0001,200000
443,256.0,0.0001,0.05,0.0189148355275392,24038,-12.88,0.0,96256,216,376,1,0.0001,200000
443,256.0,0.0001,0.05,0.0178079009056091,24294,-12.73,0.0,97280,219,380,1,0.0001,200000
443,256.0,0.0001,0.05,0.0228465571999549,24550,-12.79,0.0,98304,221,384,1,0.0001,200000
443,256.0,0.0001,0.05,0.013721059076488,24806,-12.64,0.0,99328,223,388,1,0.0001,200000
443,256.0,0.0001,0.05,0.0205422136932611,25062,-12.61,0.0,100352,226,392,1,0.0001,200000
442,256.0,0.0001,0.05,0.0145077910274267,25318,-12.61,0.0,101376,229,396,1,0.0001,200000
441,256.0,0.0001,0.05,0.0173674784600734,25574,-12.83,0.0,102400,231,400,1,0.0001,200000
441,256.0,0.0001,0.05,0.0210250318050384,25830,-12.92,0.0,103424,234,404,1,0.0001,200000
441,256.0,0.0001,0.05,0.0171028263866901,26086,-12.83,0.0,104448,236,408,1,0.0001,200000
441,256.0,0.0001,0.05,0.0168844182044267,26342,-13.03,0.0,105472,239,412,1,0.0001,200000
441,256.0,0.0001,0.05,0.0190729051828384,26598,-13.17,0.0,106496,241,416,1,0.0001,200000
441,256.0,0.0001,0.05,0.0210844129323959,26854,-13.31,0.0,107520,243,420,1,0.0001,200000
441,256.0,0.0001,0.05,0.0228274166584014,27110,-13.4,0.0,108544,246,424,1,0.0001,200000
440,256.0,0.0001,0.05,0.0147095918655395,27366,-13.56,0.0,109568,248,428,1,0.0001,200000
440,256.0,0.0001,0.05,0.0148967299610376,27622,-13.64,0.0,110592,250,432,1,0.0001,200000
440,256.0,0.0001,0.05,0.0199485719203948,27878,-13.65,0.0,111616,253,436,1,0.0001,200000
440,256.0,0.0001,0.05,0.0167289152741432,28134,-13.46,0.0,112640,255,440,1,0.0001,200000
440,256.0,0.0001,0.05,0.0192279238253831,28390,-13.31,0.0,113664,257,444,1,0.0001,200000
440,256.0,0.0001,0.05,0.016261737793684,28646,-13.26,0.0,114688,260,448,1,0.0001,200000
440,256.0,0.0001,0.05,0.020179133862257,28902,-13.12,0.0,115712,262,452,1,0.0001,200000
440,256.0,0.0001,0.05,0.0315355919301509,29158,-13.13,0.0,116736,264,456,1,0.0001,200000
440,256.0,0.0001,0.05,0.0157452225685119,29414,-12.97,0.0,117760,267,460,1,0.0001,200000
440,256.0,0.0001,0.05,0.0186461955308914,29670,-12.99,0.0,118784,269,464,1,0.0001,200000
440,256.0,0.0001,0.05,0.0152852274477481,29926,-12.8,0.0,119808,271,468,1,0.0001,200000
440,256.0,0.0001,0.05,0.0148085076361894,30182,-12.75,0.0,120832,274,472,1,0.0001,200000
439,256.0,0.0001,0.05,0.020294614136219,30438,-12.84,0.0,121856,276,476,1,0.0001,200000
439,256.0,0.0001,0.05,0.0093118986114859,30694,-12.86,0.0,122880,279,480,1,0.0001,200000
439,256.0,0.0001,0.05,0.0100252460688352,30950,-12.63,0.0,123904,282,484,1,0.0001,200000
438,256.0,0.0001,0.05,0.0130239073187112,31206,-12.68,0.0,124928,284,488,1,0.0001,200000
438,256.0,0.0001,0.05,0.019350916147232,31462,-12.72,0.0,125952,287,492,1,0.0001,200000
437,256.0,0.0001,0.05,0.021431216970086,31718,-12.51,0.0,126976,290,496,1,0.0001,200000
436,256.0,0.0001,0.05,0.016845017671585,31974,-12.27,0.0,128000,293,500,1,0.0001,200000
436,256.0,0.0001,0.05,0.024054991081357,32230,-12.2,0.0,129024,295,504,1,0.0001,200000
436,256.0,0.0001,0.05,0.023181989789009,32486,-12.3,0.0,130048,298,508,1,0.0001,200000
435,256.0,0.0001,0.05,0.0161419585347175,32742,-12.27,0.0,131072,300,512,1,0.0001,200000
435,256.0,0.0001,0.05,0.0181804616004228,32998,-12.24,0.0,132096,303,516,1,0.0001,200000
435,256.0,0.0001,0.05,0.0132483849301934,33254,-12.11,0.0,133120,305,520,1,0.0001,200000
434,256.0,0.0001,0.05,0.0146974893286824,33510,-12.14,0.0,134144,308,524,1,0.0001,200000
433,256.0,0.0001,0.05,0.0070664212107658,33766,-11.98,0.0,135168,311,528,1,0.0001,200000
432,256.0,0.0001,0.05,0.021111637353897,34022,-11.93,0.0,136192,314,532,1,0.0001,200000
432,256.0,0.0001,0.05,0.012144036591053,34278,-11.69,0.0,137216,317,536,1,0.0001,200000
432,256.0,0.0001,0.05,0.0100431479513645,34534,-11.75,0.0,138240,319,540,1,0.0001,200000
431,256.0,0.0001,0.05,0.0175866223871707,34790,-11.71,0.0,139264,322,544,1,0.0001,200000
431,256.0,0.0001,0.05,0.0115372342988848,35046,-11.75,0.0,140288,325,548,1,0.0001,200000
431,256.0,0.0001,0.05,0.0136898458003997,35302,-11.68,0.0,141312,327,552,1,0.0001,200000
431,256.0,0.0001,0.05,0.0129215540364384,35558,-11.7,0.0,142336,329,556,1,0.0001,200000
431,256.0,0.0001,0.05,0.014081934466958,35814,-11.76,0.0,143360,332,560,1,0.0001,200000
431,256.0,0.0001,0.05,0.0136479400098323,36070,-11.68,0.0,144384,334,564,1,0.0001,200000
431,256.0,0.0001,0.05,0.0248869117349386,36326,-11.7,0.0,145408,337,568,1,0.0001,200000
431,256.0,0.0001,0.05,0.0243993028998374,36582,-11.67,0.0,146432,339,572,1,0.0001,200000
431,256.0,0.0001,0.05,0.0133221372961997,36838,-11.65,0.0,147456,341,576,1,0.0001,200000
431,256.0,0.0001,0.05,0.0141582060605287,37094,-11.67,0.0,148480,344,580,1,0.0001,200000
431,256.0,0.0001,0.05,0.0084343701601028,37350,-11.63,0.0,149504,346,584,1,0.0001,200000
431,256.0,0.0001,0.05,0.012725462205708,37606,-11.66,0.0,150528,348,588,1,0.0001,200000
431,256.0,0.0001,0.05,0.0162763036787509,37862,-11.6,0.0,151552,351,592,1,0.0001,200000
431,256.0,0.0001,0.05,0.0121043231338262,38118,-11.67,0.0,152576,353,596,1,0.0001,200000
431,256.0,0.0001,0.05,0.020684465765953,38374,-11.83,0.0,153600,355,600,1,0.0001,200000
431,256.0,0.0001,0.05,0.0151291191577911,38630,-12.08,0.0,154624,358,604,1,0.0001,200000
431,256.0,0.0001,0.05,0.0143496505916118,38886,-12.02,0.0,155648,360,608,1,0.0001,200000
431,256.0,0.0001,0.05,0.0119616519659757,39142,-12.01,0.0,156672,362,612,1,0.0001,200000
431,256.0,0.0001,0.05,0.0083263162523508,39398,-11.78,0.0,157696,365,616,1,0.0001,200000
431,256.0,0.0001,0.05,0.009883458726108,39654,-11.89,0.0,158720,367,620,1,0.0001,200000
431,256.0,0.0001,0.05,0.0140706459060311,39910,-11.82,0.0,159744,369,624,1,0.0001,200000
431,256.0,0.0001,0.05,0.0152070065960288,40166,-12.1,0.0,160768,372,628,1,0.0001,200000
430,256.0,0.0001,0.05,0.0149388397112488,40422,-12.01,0.0,161792,375,632,1,0.0001,200000
430,256.0,0.0001,0.05,0.0134929539635777,40678,-12.12,0.0,162816,377,636,1,0.0001,200000
430,256.0,0.0001,0.05,0.0103879319503903,40934,-12.27,0.0,163840,380,640,1,0.0001,200000
430,256.0,0.0001,0.05,0.0141566824167966,41190,-12.24,0.0,164864,382,644,1,0.0001,200000
430,256.0,0.0001,0.05,0.0137720108032226,41446,-12.19,0.0,165888,385,648,1,0.0001,200000
429,256.0,0.0001,0.05,0.0149269308894872,41702,-12.23,0.0,166912,388,652,1,0.0001,200000
429,256.0,0.0001,0.05,0.0212926119565963,41958,-12.1,0.0,167936,391,656,1,0.0001,200000
429,256.0,0.0001,0.05,0.0208613239228725,42214,-12.17,0.0,168960,393,660,1,0.0001,200000
429,256.0,0.0001,0.05,0.0204819682985544,42470,-12.45,0.0,169984,395,664,1,0.0001,200000
428,256.0,0.0001,0.05,0.0173292309045791,42726,-12.43,0.0,171008,398,668,1,0.0001,200000
428,256.0,0.0001,0.05,0.0106619177386164,42982,-12.38,0.0,172032,401,672,1,0.0001,200000
428,256.0,0.0001,0.05,0.0142106031998991,43238,-12.43,0.0,173056,403,676,1,0.0001,200000
428,256.0,0.0001,0.05,0.0116271954029798,43494,-12.32,0.0,174080,406,680,1,0.0001,200000
428,256.0,0.0001,0.05,0.0247150138020515,43750,-12.43,0.0,175104,408,684,1,0.0001,200000
428,256.0,0.0001,0.05,0.0173631999641656,44006,-12.37,0.0,176128,411,688,1,0.0001,200000
428,256.0,0.0001,0.05,0.0149377882480621,44262,-12.35,0.0,177152,413,692,1,0.0001,200000
428,256.0,0.0001,0.05,0.0198134612292051,44518,-12.41,0.0,178176,415,696,1,0.0001,200000
428,256.0,0.0001,0.05,0.0128765851259231,44774,-12.48,0.0,179200,418,700,1,0.0001,200000
428,256.0,0.0001,0.05,0.0082909734919667,45030,-12.31,0.0,180224,420,704,1,0.0001,200000
428,256.0,0.0001,0.05,0.0110250189900398,45286,-12.29,0.0,181248,423,708,1,0.0001,200000
428,256.0,0.0001,0.05,0.0139092504978179,45542,-12.23,0.0,182272,425,712,1,0.0001,200000
428,256.0,0.0001,0.05,0.018570601940155,45798,-12.36,0.0,183296,428,716,1,0.0001,200000
428,256.0,0.0001,0.05,0.0076212305575609,46054,-12.42,0.0,184320,430,720,1,0.0001,200000
427,256.0,0.0001,0.05,0.0197110921144485,46310,-12.39,0.0,185344,433,724,1,0.0001,200000
427,256.0,0.0001,0.05,0.0116971489042043,46566,-12.29,0.0,186368,435,728,1,0.0001,200000
427,256.0,0.0001,0.05,0.0128953848034143,46822,-12.32,0.0,187392,438,732,1,0.0001,200000
427,256.0,0.0001,0.05,0.0053689037449657,47078,-12.42,0.0,188416,440,736,1,0.0001,200000
427,256.0,0.0001,0.05,0.0082022743299603,47334,-12.36,0.0,189440,443,740,1,0.0001,200000
427,256.0,0.0001,0.05,0.0116589199751615,47590,-12.53,0.0,190464,445,744,1,0.0001,200000
427,256.0,0.0001,0.05,0.0109593784436583,47846,-12.5,0.0,191488,447,748,1,0.0001,200000
427,256.0,0.0001,0.05,0.0091469828039407,48102,-12.54,0.0,192512,450,752,1,0.0001,200000
427,256.0,0.0001,0.05,0.0109005933627486,48358,-12.65,0.0,193536,452,756,1,0.0001,200000
427,256.0,0.0001,0.05,0.0088918525725603,48614,-12.76,0.0,194560,454,760,1,0.0001,200000
427,256.0,0.0001,0.05,0.0084736086428165,48870,-12.6,0.0,195584,457,764,1,0.0001,200000
428,256.0,0.0001,0.05,0.0136712174862623,49126,-12.84,0.0,196608,459,768,1,0.0001,200000
428,256.0,0.0001,0.05,0.0118843708187341,49382,-13.13,0.0,197632,461,772,1,0.0001,200000
428,256.0,0.0001,0.05,0.0196177512407302,49638,-13.04,0.0,198656,463,776,1,0.0001,200000
428,256.0,0.0001,0.05,0.0097534228116273,49894,-13.11,0.0,199680,466,780,1,0.0001,200000
428,256.0,0.0001,0.05,0.0202601980417966,50150,-13.29,0.0,200704,468,784,1,0.0001,200000
428,256.0,0.0001,0.05,0.0115463472902774,50406,-13.23,0.0,201728,470,788,1,0.0001,200000
428,256.0,0.0001,0.05,0.0127412918955087,50662,-13.29,0.0,202752,473,792,1,0.0001,200000
428,256.0,0.0001,0.05,0.0103354286402463,50918,-13.24,0.0,203776,475,796,1,0.0001,200000
428,256.0,0.0001,0.05,0.0190443359315395,51174,-13.13,0.0,204800,477,800,1,0.0001,200000
