time/time_elapsed,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/learning_rate,train/loss,rollout/success_rate,time/fps,phase,phase_learning_rate,phase_buffer_size
1,4,1024,0.980544,256.0,230,-198.5,0.0001,0.0801495164632797,0.0,604,1,0.0001,200000
3,8,2048,0.9610880000000002,256.0,486,-193.55,0.0001,0.103723868727684,0.0,612,1,0.0001,200000
4,12,3072,0.941632,256.0,742,-192.73333333333335,0.0001,0.1421364247798919,0.0,615,1,0.0001,200000
6,16,4096,0.9221760000000002,256.0,998,-193.525,0.0001,0.0557489208877086,0.0,615,1,0.0001,200000
8,20,5120,0.9027199999999996,256.0,1254,-193.72,0.0001,0.1025255694985389,0.0,616,1,0.0001,200000
9,24,6144,0.8832639999999998,256.0,1510,-194.14166666666665,0.0001,0.1735956370830536,0.0,614,1,0.0001,200000
11,28,7168,0.8638079999999999,256.0,1766,-194.4857142857143,0.0001,0.1067149490118026,0.0,613,1,0.0001,200000
13,32,8192,0.8443519999999999,256.0,2022,-192.05625,0.0001,0.0820814669132232,0.0,611,1,0.0001,200000
15,36,9216,0.824896,256.0,2278,-190.43333333333337,0.0001,0.151879072189331,0.0,609,1,0.0001,200000
16,40,10240,0.80544,256.0,2534,-187.84499999999997,0.0001,0.1289646327495575,0.0,608,1,0.0001,200000
18,44,11264,0.785984,256.0,2790,-187.12272727272727,0.0001,0.1302468031644821,0.0,606,1,0.0001,200000
20,48,12288,0.7665280000000001,256.0,3046,-185.2,0.0001,0.1517147272825241,0.0,604,1,0.0001,200000
22,52,13312,0.7470720000000002,256.0,3302,-183.8153846153846,0.0001,0.0898278504610061,0.0,602,1,0.0001,200000
23,56,14315,0.7280150000000001,255.625,3553,-179.91785714285717,0.0001,0.075760543346405,0.0178571428571428,600,1,0.0001,200000
25,60,15339,0.7085590000000002,255.65,3809,-179.41666666666669,0.0001,0.1283169835805893,0.0166666666666666,598,1,0.0001,200000
27,64,16363,0.6891030000000002,255.671875,4065,-178.62812499999998,0.0001,0.1012693643569946,0.015625,595,1,0.0001,200000
29,68,17387,0.6696470000000003,255.69117647058823,4321,-177.8882352941176,0.0001,0.1010298579931259,0.0147058823529411,594,1,0.0001,200000
30,72,18332,0.6516919999999997,254.61111111111111,4557,-174.71666666666667,0.0001,0.1648913472890854,0.0277777777777777,591,1,0.0001,200000
32,76,19356,0.6322359999999998,254.68421052631575,4813,-173.5,0.0001,0.0729200020432472,0.0263157894736842,590,1,0.0001,200000
34,80,20380,0.6127799999999999,254.75,5069,-172.7775,0.0001,0.1779337972402572,0.025,588,1,0.0001,200000
36,84,21404,0.593324,254.8095238095238,5325,-171.80952380952382,0.0001,0.0961520224809646,0.0238095238095238,586,1,0.0001,200000
38,88,22428,0.573868,254.86363636363637,5581,-170.04545454545453,0.0001,0.167632982134819,0.0227272727272727,584,1,0.0001,200000
40,92,23452,0.5544120000000001,254.91304347826087,5837,-168.8086956521739,0.0001,0.1501574963331222,0.0217391304347826,582,1,0.0001,200000
42,96,24476,0.5349560000000001,254.95833333333337,6093,-167.0666666666667,0.0001,0.1308341175317764,0.0208333333333333,580,1,0.0001,200000
44,100,25500,0.5155000000000002,255.0,6349,-165.22,0.0001,0.1052334755659103,0.02,577,1,0.0001,200000
46,104,26524,0.4960440000000001,255.0,6605,-162.42600000000002,0.0001,0.1288980990648269,0.02,575,1,0.0001,200000
48,108,27548,0.4765880000000002,255.0,6861,-159.636,0.0001,0.0967610627412796,0.02,573,1,0.0001,200000
49,112,28572,0.4571320000000003,255.0,7117,-157.086,0.0001,0.078025072813034,0.02,571,1,0.0001,200000
51,116,29596,0.4376759999999998,255.0,7373,-153.67,0.0001,0.1136819273233413,0.02,570,1,0.0001,200000
53,120,30620,0.4182199999999999,255.0,7629,-150.25,0.0001,0.0882559791207313,0.02,567,1,0.0001,200000
55,124,31644,0.398764,255.0,7885,-146.65,0.0001,0.1268274188041687,0.02,565,1,0.0001,200000
57,128,32642,0.379802,254.74,8135,-141.69,0.0001,0.0698743462562561,0.03,564,1,0.0001,200000
59,132,33666,0.3603459999999999,254.74,8391,-138.74999999999997,0.0001,0.1010303869843483,0.03,562,1,0.0001,200000
61,136,34690,0.34089,254.74,8647,-135.15200000000002,0.0001,0.0796052739024162,0.03,560,1,0.0001,200000
63,140,35714,0.3214340000000001,254.74,8903,-131.93999999999997,0.0001,0.0666480660438537,0.03,558,1,0.0001,200000
66,144,36738,0.3019780000000002,254.74,9159,-128.314,0.0001,0.0869393795728683,0.03,556,1,0.0001,200000
68,148,37762,0.2825220000000003,254.74,9415,-125.094,0.0001,0.0699044093489646,0.03,554,1,0.0001,200000
70,152,38786,0.2630660000000002,254.74,9671,-121.194,0.0001,0.1508043557405471,0.03,552,1,0.0001,200000
72,156,39810,0.2436099999999997,254.95,9927,-118.98600000000002,0.0001,0.0693357586860656,0.02,550,1,0.0001,200000
74,160,40834,0.2241539999999998,254.95,10183,-114.614,0.0001,0.1210250109434127,0.02,549,1,0.0001,200000
76,164,41858,0.2046979999999999,254.95,10439,-110.22,0.0001,0.0702548250555992,0.02,547,1,0.0001,200000
78,168,42882,0.185242,254.95,10695,-106.06,0.0001,0.0726682096719741,0.02,545,1,0.0001,200000
80,172,43906,0.1657860000000001,255.74,10951,-103.292,0.0001,0.0496746413409709,0.01,543,1,0.0001,200000
82,176,44930,0.14633,255.74,11207,-99.25,0.0001,0.0860648602247238,0.01,541,1,0.0001,200000
85,180,45954,0.1268740000000001,255.74,11463,-94.684,0.0001,0.1499271392822265,0.01,540,1,0.0001,200000
87,184,46978,0.1074180000000002,255.74,11719,-89.67199999999998,0.0001,0.0356868207454681,0.01,538,1,0.0001,200000
