rollout/success_rate,train/learning_rate,time/episodes,train/n_updates,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,time/fps,train/loss,rollout/ep_rew_mean,time/total_timesteps,phase,phase_learning_rate,phase_buffer_size
0.0,0.0001,4,230,256.0,1,0.980544,533,0.0579837635159492,-201.0,1024,1,0.0001,200000
0.0,0.0001,8,486,256.0,3,0.9610880000000002,562,0.061228796839714,-202.125,2048,1,0.0001,200000
0.0,0.0001,12,742,256.0,5,0.941632,572,0.0768647491931915,-202.08333333333337,3072,1,0.0001,200000
0.0,0.0001,16,998,256.0,7,0.9221760000000002,572,0.0470900721848011,-201.125,4096,1,0.0001,200000
0.0,0.0001,20,1254,256.0,8,0.9027199999999996,574,0.04492212459445,-197.65,5120,1,0.0001,200000
0.0,0.0001,24,1510,256.0,10,0.8832639999999998,573,0.0401524119079113,-196.91666666666663,6144,1,0.0001,200000
0.0,0.0001,28,1766,256.0,12,0.8638079999999999,572,0.0589081533253192,-196.03571428571428,7168,1,0.0001,200000
0.0,0.0001,32,2022,256.0,14,0.8443519999999999,571,0.0405896864831447,-194.1875,8192,1,0.0001,200000
0.0,0.0001,36,2278,256.0,16,0.824896,569,0.0418258383870124,-193.5,9216,1,0.0001,200000
0.0,0.0001,40,2534,256.0,18,0.80544,568,0.0514431670308113,-192.375,10240,1,0.0001,200000
0.0,0.0001,44,2790,256.0,19,0.785984,566,0.0534998066723346,-191.9090909090909,11264,1,0.0001,200000
0.0,0.0001,48,3046,256.0,21,0.7665280000000001,564,0.0422667600214481,-190.41666666666663,12288,1,0.0001,200000
0.0,0.0001,52,3302,256.0,23,0.7470720000000002,562,0.0363610461354255,-189.19230769230768,13312,1,0.0001,200000
0.0,0.0001,56,3558,256.0,25,0.7276160000000003,560,0.0343400873243808,-187.6428571428571,14336,1,0.0001,200000
0.0,0.0001,60,3814,256.0,27,0.7081599999999998,557,0.0768773108720779,-186.41666666666663,15360,1,0.0001,200000
0.0,0.0001,64,4070,256.0,29,0.6887039999999998,555,0.0739009454846382,-185.125,16384,1,0.0001,200000
0.0,0.0001,68,4326,256.0,31,0.6692479999999998,553,0.075163185596466,-183.60294117647055,17408,1,0.0001,200000
0.0,0.0001,72,4582,256.0,33,0.6497919999999999,552,0.0555485114455223,-182.23611111111111,18432,1,0.0001,200000
0.0,0.0001,76,4838,256.0,35,0.630336,550,0.0449751354753971,-180.22368421052633,19456,1,0.0001,200000
0.0,0.0001,80,5094,256.0,37,0.6108800000000001,548,0.0689810439944267,-178.2875,20480,1,0.0001,200000
0.0,0.0001,84,5350,256.0,39,0.5914240000000002,545,0.0849714055657386,-175.9404761904762,21504,1,0.0001,200000
0.0,0.0001,88,5606,256.0,41,0.5719680000000001,543,0.0769556611776351,-173.625,22528,1,0.0001,200000
0.0,0.0001,92,5862,256.0,43,0.5525120000000002,541,0.0652816146612167,-171.2391304347826,23552,1,0.0001,200000
0.0,0.0001,96,6118,256.0,45,0.5330560000000003,538,0.0613428354263305,-169.48958333333334,24576,1,0.0001,200000
0.0,0.0001,100,6374,256.0,47,0.5135999999999998,536,0.0855994224548339,-167.69,25600,1,0.0001,200000
0.0,0.0001,104,6630,256.0,49,0.4941439999999999,534,0.0672178789973259,-164.49,26624,1,0.0001,200000
0.0,0.0001,108,6886,256.0,51,0.474688,532,0.0842778235673904,-161.07,27648,1,0.0001,200000
0.0,0.0001,112,7142,256.0,53,0.4552319999999999,531,0.0764464288949966,-157.85,28672,1,0.0001,200000
0.0,0.0001,116,7398,256.0,56,0.435776,529,0.0883937925100326,-153.71,29696,1,0.0001,200000
0.0,0.0001,120,7654,256.0,58,0.4163200000000001,526,0.0962321236729621,-150.42,30720,1,0.0001,200000
0.0,0.0001,124,7910,256.0,60,0.3968640000000001,524,0.0751861929893493,-146.53,31744,1,0.0001,200000
0.0,0.0001,128,8166,256.0,62,0.3774080000000002,523,0.0949633419513702,-142.5,32768,1,0.0001,200000
0.0,0.0001,132,8422,256.0,64,0.3579520000000002,521,0.082017570734024,-139.01,33792,1,0.0001,200000
0.0,0.0001,136,8678,256.0,67,0.3384959999999998,519,0.0872903689742088,-134.75,34816,1,0.0001,200000
0.0,0.0001,140,8934,256.0,69,0.3190400000000004,517,0.0567983388900756,-130.59,35840,1,0.0001,200000
0.0,0.0001,144,9190,256.0,71,0.2995839999999999,515,0.0554355829954147,-126.29,36864,1,0.0001,200000
0.0,0.0001,148,9446,256.0,73,0.280128,513,0.0673844441771507,-122.35,37888,1,0.0001,200000
0.0,0.0001,152,9702,256.0,76,0.260672,511,0.0600031092762947,-118.13,38912,1,0.0001,200000
0.0,0.0001,156,9958,256.0,78,0.2412160000000001,510,0.0612972825765609,-113.89,39936,1,0.0001,200000
0.0,0.0001,160,10214,256.0,80,0.2217600000000001,508,0.0767206847667694,-109.3,40960,1,0.0001,200000
0.0,0.0001,164,10470,256.0,82,0.2023040000000002,506,0.0554902255535125,-104.62,41984,1,0.0001,200000
0.0,0.0001,168,10726,256.0,85,0.1828480000000003,504,0.0587998665869236,-100.24,43008,1,0.0001,200000
0.0,0.0001,172,10982,256.0,87,0.1633919999999998,503,0.0551073998212814,-95.92,44032,1,0.0001,200000
0.0,0.0001,176,11238,256.0,89,0.1439360000000002,500,0.0528422854840755,-91.53,45056,1,0.0001,200000
0.0,0.0001,180,11494,256.0,92,0.1244799999999998,498,0.0591714531183242,-87.37,46080,1,0.0001,200000
0.0,0.0001,184,11750,256.0,94,0.1050239999999999,496,0.05324013158679,-83.09,47104,1,0.0001,200000
0.0,0.0001,188,12006,256.0,97,0.0855679999999999,494,0.0574730597436428,-78.83,48128,1,0.0001,200000
0.0,0.0001,192,12262,256.0,99,0.066112,492,0.0496772043406963,-74.88,49152,1,0.0001,200000
0.0,0.0001,196,12518,256.0,102,0.05,490,0.0571366213262081,-70.38,50176,1,0.0001,200000
0.0,0.0001,200,12774,256.0,104,0.05,488,0.0578575283288955,-66.09,51200,1,0.0001,200000
0.0,0.0001,204,13030,256.0,107,0.05,485,0.0527140200138092,-61.86,52224,1,0.0001,200000
0.0,0.0001,208,13286,256.0,110,0.05,483,0.0494399927556514,-57.63,53248,1,0.0001,200000
0.0,0.0001,212,13542,256.0,112,0.05,481,0.0401126630604267,-53.43,54272,1,0.0001,200000
0.0,0.0001,216,13798,256.0,115,0.05,479,0.0470440909266471,-50.18,55296,1,0.0001,200000
0.0,0.0001,220,14054,256.0,117,0.05,477,0.0354634523391723,-46.49,56320,1,0.0001,200000
0.0,0.0001,224,14310,256.0,120,0.05,475,0.0314198806881904,-43.24,57344,1,0.0001,200000
0.0,0.0001,228,14566,256.0,123,0.05,473,0.0290453899651765,-40.23,58368,1,0.0001,200000
