time/episodes,time/total_timesteps,rollout/success_rate,rollout/exploration_rate,train/learning_rate,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,rollout/ep_len_mean,time/fps,train/loss,phase,phase_learning_rate,phase_buffer_size
4,1024,0.0,0.980544,0.0001,-204.7,230,1,256.0,563,0.1119314134120941,1,0.0001,200000
8,2048,0.0,0.9610880000000002,0.0001,-203.025,486,3,256.0,587,0.1168889850378036,1,0.0001,200000
12,3072,0.0,0.941632,0.0001,-201.1,742,5,256.0,593,0.1726657152175903,1,0.0001,200000
16,4096,0.0,0.9221760000000002,0.0001,-201.9125,998,6,256.0,598,0.1007547825574874,1,0.0001,200000
20,5120,0.0,0.9027199999999996,0.0001,-198.64000000000004,1254,8,256.0,599,0.0895609259605407,1,0.0001,200000
24,6144,0.0,0.8832639999999998,0.0001,-198.83333333333337,1510,10,256.0,599,0.1231080740690231,1,0.0001,200000
28,7168,0.0,0.8638079999999999,0.0001,-197.8785714285714,1766,11,256.0,600,0.1740798056125641,1,0.0001,200000
32,8192,0.0,0.8443519999999999,0.0001,-195.71875,2022,13,256.0,599,0.0983355194330215,1,0.0001,200000
36,9216,0.0,0.824896,0.0001,-194.6,2278,15,256.0,597,0.1703288108110427,1,0.0001,200000
40,10240,0.0,0.80544,0.0001,-193.76,2534,17,256.0,597,0.1091271936893463,1,0.0001,200000
44,11264,0.0,0.785984,0.0001,-193.27727272727273,2790,18,256.0,596,0.1218892484903335,1,0.0001,200000
48,12288,0.0,0.7665280000000001,0.0001,-192.5,3046,20,256.0,594,0.104535773396492,1,0.0001,200000
52,13312,0.0,0.7470720000000002,0.0001,-190.12692307692308,3302,22,256.0,593,0.0864898636937141,1,0.0001,200000
56,14336,0.0,0.7276160000000003,0.0001,-188.49285714285716,3558,24,256.0,591,0.1405118405818939,1,0.0001,200000
60,15360,0.0,0.7081599999999998,0.0001,-187.25666666666663,3814,26,256.0,589,0.1196901127696037,1,0.0001,200000
64,16384,0.0,0.6887039999999998,0.0001,-185.93125,4070,27,256.0,587,0.1551260650157928,1,0.0001,200000
68,17408,0.0,0.6692479999999998,0.0001,-184.6058823529412,4326,29,256.0,586,0.2297568023204803,1,0.0001,200000
72,18432,0.0,0.6497919999999999,0.0001,-183.35277777777776,4582,31,256.0,584,0.0889822170138359,1,0.0001,200000
76,19456,0.0,0.630336,0.0001,-181.22368421052633,4838,33,256.0,582,0.088672898709774,1,0.0001,200000
80,20480,0.0,0.6108800000000001,0.0001,-179.7125,5094,35,256.0,581,0.1512267887592315,1,0.0001,200000
84,21504,0.0,0.5914240000000002,0.0001,-178.44285714285712,5350,37,256.0,578,0.0977198481559753,1,0.0001,200000
88,22528,0.0,0.5719680000000001,0.0001,-176.6840909090909,5606,39,256.0,576,0.1510303020477295,1,0.0001,200000
92,23552,0.0,0.5525120000000002,0.0001,-174.65,5862,40,256.0,574,0.1151650473475456,1,0.0001,200000
96,24576,0.0,0.5330560000000003,0.0001,-173.0875,6118,42,256.0,572,0.0820708870887756,1,0.0001,200000
100,25600,0.0,0.5135999999999998,0.0001,-171.79,6374,44,256.0,570,0.1732098460197448,1,0.0001,200000
104,26586,0.01,0.4948660000000001,0.0001,-167.62,6621,46,255.62,568,0.1546741425991058,1,0.0001,200000
108,27610,0.01,0.4754100000000001,0.0001,-164.71,6877,48,255.62,566,0.0826009362936019,1,0.0001,200000
112,28634,0.01,0.4559540000000002,0.0001,-162.39800000000002,7133,50,255.62,565,0.1286073476076126,1,0.0001,200000
116,29658,0.01,0.4364980000000003,0.0001,-158.74200000000002,7389,52,255.62,563,0.1612515449523925,1,0.0001,200000
120,30682,0.01,0.4170420000000002,0.0001,-156.054,7645,54,255.62,561,0.140008270740509,1,0.0001,200000
124,31706,0.01,0.3975859999999998,0.0001,-152.134,7901,56,255.62,559,0.1236440539360046,1,0.0001,200000
128,32730,0.01,0.3781299999999998,0.0001,-148.58599999999998,8157,58,255.62,557,0.1759396642446518,1,0.0001,200000
132,33754,0.01,0.3586739999999999,0.0001,-146.056,8413,60,255.62,556,0.0997079834342002,1,0.0001,200000
136,34778,0.01,0.339218,0.0001,-142.492,8669,62,255.62,554,0.089734174311161,1,0.0001,200000
140,35802,0.01,0.3197620000000001,0.0001,-138.67999999999998,8925,64,255.62,552,0.0815264508128166,1,0.0001,200000
144,36826,0.01,0.3003060000000002,0.0001,-134.46999999999997,9181,66,255.62,550,0.0983714908361435,1,0.0001,200000
148,37850,0.01,0.2808500000000001,0.0001,-130.48600000000002,9437,68,255.62,548,0.1018361151218414,1,0.0001,200000
152,38874,0.01,0.2613940000000002,0.0001,-127.268,9693,71,255.62,547,0.1124163717031478,1,0.0001,200000
156,39898,0.01,0.2419380000000003,0.0001,-123.47600000000004,9949,73,255.62,545,0.1491046100854873,1,0.0001,200000
160,40922,0.01,0.2224819999999998,0.0001,-119.34600000000002,10205,75,255.62,543,0.0675686225295066,1,0.0001,200000
164,41946,0.01,0.2030260000000004,0.0001,-115.138,10461,77,255.62,541,0.094575360417366,1,0.0001,200000
168,42970,0.01,0.18357,0.0001,-110.96,10717,79,255.62,539,0.0637406483292579,1,0.0001,200000
172,43994,0.01,0.1641139999999998,0.0001,-106.954,10973,81,255.62,538,0.0687583833932876,1,0.0001,200000
176,45018,0.01,0.1446579999999999,0.0001,-102.95199999999998,11229,83,255.62,536,0.0638992935419082,1,0.0001,200000
180,46042,0.01,0.125202,0.0001,-98.968,11485,86,255.62,534,0.0798859447240829,1,0.0001,200000
184,47066,0.01,0.1057460000000001,0.0001,-94.008,11741,88,255.62,532,0.0589112117886543,1,0.0001,200000
188,48090,0.01,0.0862900000000002,0.0001,-89.51,11997,90,255.62,531,0.0867616608738899,1,0.0001,200000
192,49114,0.01,0.0668340000000002,0.0001,-85.38,12253,92,255.62,529,0.1264731585979461,1,0.0001,200000
196,50138,0.01,0.05,0.0001,-80.958,12509,95,255.62,527,0.057869516313076,1,0.0001,200000
200,51162,0.01,0.05,0.0001,-76.058,12765,97,255.62,526,0.0439225286245346,1,0.0001,200000
204,52186,0.0,0.05,0.0001,-72.978,13021,99,256.0,524,0.0501508936285972,1,0.0001,200000
208,53210,0.0,0.05,0.0001,-68.42,13277,101,256.0,523,0.0455358251929283,1,0.0001,200000
212,54234,0.0,0.05,0.0001,-63.79399999999999,13533,103,256.0,521,0.0534234941005706,1,0.0001,200000
216,55258,0.0,0.05,0.0001,-59.93000000000001,13789,106,256.0,520,0.0500125177204608,1,0.0001,200000
220,56282,0.0,0.05,0.0001,-55.94,14045,108,256.0,518,0.1333521157503128,1,0.0001,200000
224,57306,0.0,0.05,0.0001,-52.54,14301,110,256.0,517,0.0624186992645263,1,0.0001,200000
228,58330,0.0,0.05,0.0001,-49.15599999999999,14557,112,256.0,516,0.0396984666585922,1,0.0001,200000
232,59354,0.0,0.05,0.0001,-45.312,14813,115,256.0,515,0.082798808813095,1,0.0001,200000
236,60378,0.0,0.05,0.0001,-42.026,15069,117,256.0,514,0.0462442971765995,1,0.0001,200000
240,61402,0.0,0.05,0.0001,-39.504,15325,119,256.0,513,0.0318193025887012,1,0.0001,200000
244,62426,0.0,0.05,0.0001,-37.184,15581,121,256.0,512,0.0611021555960178,1,0.0001,200000
248,63450,0.0,0.05,0.0001,-34.522,15837,124,256.0,511,0.0975586920976638,1,0.0001,200000
252,64474,0.0,0.05,0.0001,-31.876,16093,126,256.0,509,0.040346223860979,1,0.0001,200000
256,65498,0.0,0.05,0.0001,-29.536,16349,128,256.0,508,0.1196236163377761,1,0.0001,200000
260,66522,0.0,0.05,0.0001,-27.746,16605,130,256.0,508,0.0360764414072036,1,0.0001,200000
264,67546,0.0,0.05,0.0001,-25.960000000000004,16861,133,256.0,507,0.0399012938141822,1,0.0001,200000
268,68570,0.0,0.05,0.0001,-24.212,17117,135,256.0,506,0.0744165927171707,1,0.0001,200000
272,69594,0.0,0.05,0.0001,-22.44400000000001,17373,137,256.0,505,0.0986179709434509,1,0.0001,200000
276,70618,0.0,0.05,0.0001,-21.362,17629,139,256.0,504,0.0588209778070449,1,0.0001,200000
280,71642,0.0,0.05,0.0001,-20.319999999999997,17885,142,256.0,504,0.0266237780451774,1,0.0001,200000
284,72666,0.0,0.05,0.0001,-19.744,18141,144,256.0,503,0.074566438794136,1,0.0001,200000
