rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/loss,rollout/exploration_rate,time/total_timesteps,train/n_updates,time/fps,time/time_elapsed,train/learning_rate,rollout/success_rate,phase,phase_learning_rate,phase_buffer_size
256.0,4,-200.25,0.0588366761803627,0.980544,1024,230,514,1,0.0001,0.0,1,0.0001,200000
256.0,8,-199.375,0.0524403676390647,0.9610880000000002,2048,486,554,3,0.0001,0.0,1,0.0001,200000
256.0,12,-199.5,0.0473947711288929,0.941632,3072,742,569,5,0.0001,0.0,1,0.0001,200000
256.0,16,-196.6875,0.0592797510325908,0.9221760000000002,4096,998,575,7,0.0001,0.0,1,0.0001,200000
256.0,20,-196.3,0.0536482781171798,0.9027199999999996,5120,1254,578,8,0.0001,0.0,1,0.0001,200000
256.0,24,-195.54166666666663,0.0762447416782379,0.8832639999999998,6144,1510,580,10,0.0001,0.0,1,0.0001,200000
256.0,28,-195.32142857142856,0.07740518450737,0.8638079999999999,7168,1766,580,12,0.0001,0.0,1,0.0001,200000
256.0,32,-194.75,0.0639706626534462,0.8443519999999999,8192,2022,580,14,0.0001,0.0,1,0.0001,200000
256.0,36,-193.77777777777777,0.0524173378944397,0.824896,9216,2278,579,15,0.0001,0.0,1,0.0001,200000
256.0,40,-191.95,0.0648091733455658,0.80544,10240,2534,578,17,0.0001,0.0,1,0.0001,200000
256.0,44,-189.52272727272728,0.0616057515144348,0.785984,11264,2790,577,19,0.0001,0.0,1,0.0001,200000
256.0,48,-188.08333333333337,0.069323606789112,0.7665280000000001,12288,3046,576,21,0.0001,0.0,1,0.0001,200000
256.0,52,-186.71153846153845,0.0492004267871379,0.7470720000000002,13312,3302,575,23,0.0001,0.0,1,0.0001,200000
256.0,56,-185.16071428571428,0.0444472655653953,0.7276160000000003,14336,3558,573,24,0.0001,0.0,1,0.0001,200000
256.0,60,-183.25,0.083695963025093,0.7081599999999998,15360,3814,571,26,0.0001,0.0,1,0.0001,200000
256.0,64,-181.59375,0.0685869306325912,0.6887039999999998,16384,4070,570,28,0.0001,0.0,1,0.0001,200000
256.0,68,-180.2058823529412,0.0748800113797187,0.6692479999999998,17408,4326,568,30,0.0001,0.0,1,0.0001,200000
256.0,72,-178.875,0.0752829611301422,0.6497919999999999,18432,4582,566,32,0.0001,0.0,1,0.0001,200000
256.0,76,-176.72368421052633,0.0411716848611831,0.630336,19456,4838,564,34,0.0001,0.0,1,0.0001,200000
256.0,80,-175.025,0.0764428377151489,0.6108800000000001,20480,5094,562,36,0.0001,0.0,1,0.0001,200000
256.0,84,-173.20238095238096,0.0685550644993782,0.5914240000000002,21504,5350,560,38,0.0001,0.0,1,0.0001,200000
256.0,88,-171.4090909090909,0.0520164258778095,0.5719680000000001,22528,5606,558,40,0.0001,0.0,1,0.0001,200000
256.0,92,-169.6195652173913,0.0452887043356895,0.5525120000000002,23552,5862,557,42,0.0001,0.0,1,0.0001,200000
256.0,96,-167.63541666666666,0.0822759643197059,0.5330560000000003,24576,6118,555,44,0.0001,0.0,1,0.0001,200000
256.0,100,-166.19,0.0690925940871238,0.5135999999999998,25600,6374,553,46,0.0001,0.0,1,0.0001,200000
256.0,104,-162.89,0.0874583423137664,0.4941439999999999,26624,6630,551,48,0.0001,0.0,1,0.0001,200000
256.0,108,-159.07,0.0644180849194526,0.474688,27648,6886,549,50,0.0001,0.0,1,0.0001,200000
256.0,112,-155.85,0.107400082051754,0.4552319999999999,28672,7142,547,52,0.0001,0.0,1,0.0001,200000
256.0,116,-152.67,0.0806420892477035,0.435776,29696,7398,545,54,0.0001,0.0,1,0.0001,200000
