time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,train/learning_rate,train/loss,train/n_updates,rollout/exploration_rate,time/fps,phase,phase_learning_rate,phase_buffer_size
1,1024,4,-200.2,0.0,256.0,0.0001,0.1266540884971618,230,0.980544,604,1,0.0001,200000
3,2048,8,-199.625,0.0,256.0,0.0001,0.1599534749984741,486,0.9610880000000002,612,1,0.0001,200000
4,3072,12,-197.9666666666667,0.0,256.0,0.0001,0.0865804776549339,742,0.941632,615,1,0.0001,200000
6,4096,16,-194.5875,0.0,256.0,0.0001,0.0847730934619903,998,0.9221760000000002,615,1,0.0001,200000
8,5120,20,-193.96,0.0,256.0,0.0001,0.1100588589906692,1254,0.9027199999999996,614,1,0.0001,200000
10,6144,24,-193.49166666666667,0.0,256.0,0.0001,0.1509644985198974,1510,0.8832639999999998,613,1,0.0001,200000
11,7168,28,-193.00000000000003,0.0,256.0,0.0001,0.1616161614656448,1766,0.8638079999999999,611,1,0.0001,200000
13,8192,32,-192.7625,0.0,256.0,0.0001,0.1200032010674476,2022,0.8443519999999999,609,1,0.0001,200000
15,9216,36,-191.84444444444443,0.0,256.0,0.0001,0.0834680050611496,2278,0.824896,608,1,0.0001,200000
16,10240,40,-190.2,0.0,256.0,0.0001,0.1093935668468475,2534,0.80544,605,1,0.0001,200000
18,11264,44,-189.25454545454548,0.0,256.0,0.0001,0.143255814909935,2790,0.785984,603,1,0.0001,200000
20,12288,48,-188.6875,0.0,256.0,0.0001,0.1286618411540985,3046,0.7665280000000001,602,1,0.0001,200000
22,13312,52,-187.43461538461537,0.0,256.0,0.0001,0.0958273783326149,3302,0.7470720000000002,600,1,0.0001,200000
23,14336,56,-186.5071428571429,0.0,256.0,0.0001,0.1135607063770294,3558,0.7276160000000003,598,1,0.0001,200000
25,15360,60,-184.79666666666668,0.0,256.0,0.0001,0.1709015071392059,3814,0.7081599999999998,596,1,0.0001,200000
