rollout/ep_rew_mean,rollout/success_rate,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,train/value_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/loss,train/entropy_loss,train/clip_range,phase,phase_learning_rate_start,phase_learning_rate_end
-202.75,0.0,2048,7,1,274,256.0,,,,,,,,,,,1,0.0003,5e-05
-195.75,0.0,4096,15,2,262,256.0,104.3886345386505,10.0,0.010940881,0.205419921875,0.0002994879999999,0.0009124279022216,-0.0159813029400538,29.67701530456543,-1.0877178877592086,0.2,1,0.0003,5e-05
-190.54166666666663,0.0,6144,23,3,261,256.0,89.89766073226929,20.0,0.015273036,0.232958984375,0.0002989759999999,0.0037130713462829,-0.0185390682192519,35.1236457824707,-1.0473159119486808,0.2,1,0.0003,5e-05
-179.3125,0.0,8192,31,4,260,256.0,84.92541837692261,30.0,0.019758442,0.258056640625,0.0002984639999999,0.0001032948493957,-0.0240104142343625,34.881080627441406,-0.973709125071764,0.2,1,0.0003,5e-05
-171.125,0.0,10240,39,5,259,256.0,47.11302943229675,40.0,0.016689168,0.2951171875,0.000297952,0.0047714710235595,-0.0270404126378707,17.332067489624023,-0.8594764932990074,0.2,1,0.0003,5e-05
-161.95833333333334,0.0,12288,47,6,258,256.0,39.46526277065277,50.0,0.012240384,0.204833984375,0.0002974399999999,-0.0004186630249023,-0.0205322977853938,15.4102201461792,-0.7668164022266865,0.2,1,0.0003,5e-05
-154.01785714285714,0.0,14336,55,7,258,256.0,23.445598578453065,60.0,0.008958375,0.1931640625,0.0002969279999999,-0.0003467798233032,-0.0209631808800622,8.859100341796875,-0.6434368044137955,0.2,1,0.0003,5e-05
-144.6875,0.0,16384,63,8,257,256.0,16.626452958583833,70.0,0.0071750553,0.175048828125,0.000296416,0.0002256035804748,-0.0206248592468909,5.280302047729492,-0.5434999700635672,0.2,1,0.0003,5e-05
-135.5,0.0,18432,71,9,257,256.0,7.618900758028031,80.0,0.009276451,0.1376953125,0.000295904,0.0001084208488464,-0.0184156226110644,3.2565298080444336,-0.4379680179059505,0.2,1,0.0003,5e-05
-124.45,0.0,20480,79,10,257,256.0,4.788346147537231,90.0,0.04658562,0.102734375,0.0002953919999999,-0.000483751296997,-0.0194840126670897,2.266669273376465,-0.2936666492372751,0.2,1,0.0003,5e-05
-114.23863636363636,0.0,22528,87,11,257,256.0,4.707225877046585,100.0,0.0027712344,0.033740234375,0.0002948799999999,-3.576278686523438e-07,-0.0068871614639647,2.4408254623413086,-0.177784120850265,0.2,1,0.0003,5e-05
-105.79166666666669,0.0,24576,95,12,257,256.0,3.333447250723838,110.0,0.00077727804,0.01171875,0.000294368,-0.0001492500305175,-0.0049820073589216,0.5930112600326538,-0.0861776429228484,0.2,1,0.0003,5e-05
-94.43,0.0,26624,103,13,257,256.0,1.7053495071828366,120.0,0.00092386873,0.012548828125,0.0002938559999999,-1.3113021850585938e-06,-0.0054799858480691,0.8132996559143066,-0.0686815174296498,0.2,1,0.0003,5e-05
-79.05,0.0,28672,111,14,256,256.0,1.8906752839684489,130.0,0.0009727413,0.00791015625,0.0002933439999999,-0.0013258457183837,-0.0039485747402068,0.7004220485687256,-0.0476600073743611,0.2,1,0.0003,5e-05
-64.83,0.0,30720,119,15,256,256.0,0.8526763528585434,140.0,0.00050093466,0.006787109375,0.000292832,0.033759593963623,-0.0042116808646824,0.1947919577360153,-0.0387047897092998,0.2,1,0.0003,5e-05
-52.24,0.0,32768,127,16,256,256.0,0.6643648881465196,150.0,0.00010887941,0.001904296875,0.00029232,0.0448246598243713,-0.0017818403022829,0.1814344823360443,-0.0215595167363062,0.2,1,0.0003,5e-05
-41.23,0.0,34816,135,17,256,256.0,0.8826049547642469,160.0,0.00057658536,0.004052734375,0.0002918079999999,0.5451705455780029,-0.0022607545601204,0.2344085425138473,-0.0233961616409942,0.2,1,0.0003,5e-05
-31.45,0.0,36864,143,18,256,256.0,0.6769342556595802,170.0,0.00019361745,0.001123046875,0.0002912959999999,0.7425646185874939,-0.0011252883879933,0.3668627440929413,-0.0197613021126016,0.2,1,0.0003,5e-05
-22.84,0.0,38912,151,19,256,256.0,0.4361739240586758,180.0,0.0001141823,0.00078125,0.000290784,0.5637282133102417,-0.0012229586485773,0.0989081710577011,-0.0098274879856035,0.2,1,0.0003,5e-05
-15.65,0.0,40960,159,20,256,256.0,0.303920189384371,190.0,9.080395e-09,0.0,0.0002902719999999,0.6143680810928345,-4.2887567542493346e-05,0.085148736834526,-0.0092668587458319,0.2,1,0.0003,5e-05
-10.43,0.0,43008,168,21,255,256.0,0.2852159408852458,200.0,0.0001997918,0.001171875,0.0002897599999999,0.7495551109313965,-0.0016644633433315,0.1331091821193695,-0.0074015739955939,0.2,1,0.0003,5e-05
