time/total_timesteps,time/iterations,time/fps,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/loss,train/clip_range,train/entropy_loss,train/explained_variance,train/clip_fraction,train/value_loss,train/approx_kl,train/n_updates,train/learning_rate,train/policy_gradient_loss,phase,phase_learning_rate_start,phase_learning_rate_end
2048,1,283,0.0,-203.85,256.0,7,,,,,,,,,,,1,0.0003,5e-05
4096,2,272,0.0,-196.15,256.0,15,31.407346725463867,0.2,-1.0870281994342803,0.0014891028404235,0.16416015625,108.2985610485077,0.013099201,10.0,0.0002994879999999,-0.0134531629271805,1,0.0003,5e-05
6144,3,270,0.0,-191.7833333333333,256.0,22,34.96055603027344,0.2,-1.0545301243662837,0.0022900104522705,0.172509765625,94.00243377685548,0.013660687,20.0,0.0002989759999999,-0.0144555687147658,1,0.0003,5e-05
8192,4,269,0.0,-182.55,256.0,30,40.017852783203125,0.2,-0.9858829326927662,-2.205371856689453e-05,0.179248046875,93.70223016738892,0.01898879,30.0,0.0002984639999999,-0.0156811294204089,1,0.0003,5e-05
10240,5,268,0.0,-173.285,256.0,38,22.221450805664062,0.2,-0.8851214699447155,0.0004806518554687,0.26787109375,58.79707436561584,0.01738432,40.0,0.000297952,-0.0239465488819405,1,0.0003,5e-05
12288,6,266,0.0,-164.4375,256.0,46,17.772998809814453,0.2,-0.7818075984716415,0.0005503892898559,0.1841796875,43.239887142181395,0.011730665,50.0,0.0002974399999999,-0.0173357729334384,1,0.0003,5e-05
14336,7,264,0.0,-156.07142857142858,256.0,54,13.469281196594238,0.2,-0.6724111944437027,-4.7206878662109375e-05,0.146337890625,32.51597924232483,0.008762814,60.0,0.0002969279999999,-0.0133125732361804,1,0.0003,5e-05
16384,8,263,0.0,-148.31875,256.0,62,9.858420372009276,0.2,-0.5654920525848866,1.6808509826660156e-05,0.1634765625,21.32015995979309,0.008352335,70.0,0.000296416,-0.0152718316123355,1,0.0003,5e-05
18432,9,263,0.0,-139.27499999999998,256.0,70,8.769145965576172,0.2,-0.4932881720364094,-0.0003862380981445,0.096875,19.6078186750412,0.0068265796,80.0,0.000295904,-0.0091314595425501,1,0.0003,5e-05
20480,10,262,0.0,-129.20999999999998,256.0,78,3.4097375869750977,0.2,-0.3695620741695166,-0.0002423524856567,0.11904296875,9.880420833826063,0.015945092,90.0,0.0002953919999999,-0.0153219707077369,1,0.0003,5e-05
22528,11,261,0.0,-120.0068181818182,256.0,86,4.279661178588867,0.2,-0.2479995090514421,0.0,0.053955078125,6.044238692522049,0.0026829704,100.0,0.0002948799999999,-0.0070401438162662,1,0.0003,5e-05
24576,12,261,0.0,-111.76458333333336,256.0,94,3.7246384620666504,0.2,-0.1672130091115832,1.3589859008789062e-05,0.03583984375,7.476596182584762,0.0018659608,110.0,0.000294368,-0.006473819387611,1,0.0003,5e-05
26624,13,260,0.0,-100.54000000000002,256.0,102,2.1916632652282715,0.2,-0.1531238991767168,4.112720489501953e-06,0.019580078125,5.713722437620163,0.0012871327,120.0,0.0002938559999999,-0.0040548819524701,1,0.0003,5e-05
28672,14,260,0.0,-85.68199999999997,256.0,110,1.7686471939086914,0.2,-0.1146897048689425,-0.0165313482284545,0.020458984375,4.332355058193206,0.0009758679,130.0,0.0002933439999999,-0.0052980761451181,1,0.0003,5e-05
30720,15,260,0.0,-71.702,256.0,118,1.1676470041275024,0.2,-0.0956032070331275,0.0044045448303222,0.01435546875,3.0271061450242995,0.0009577178,140.0,0.000292832,-0.0047090746287722,1,0.0003,5e-05
32768,16,260,0.0,-58.38799999999999,256.0,126,0.7830542325973511,0.2,-0.0668886809144169,-3.933906555175781e-06,0.009130859375,3.968624146282673,0.0013417131,150.0,0.00029232,-0.003832178749144,1,0.0003,5e-05
34816,17,259,0.0,-46.72999999999999,256.0,134,0.65003502368927,0.2,-0.0505806510802358,0.0006395578384399,0.005322265625,1.969761836528778,0.0005391587,160.0,0.0002918079999999,-0.0021195502224145,1,0.0003,5e-05
36864,18,259,0.0,-37.194,256.0,142,0.275589644908905,0.2,-0.0391085213981568,0.4422535896301269,0.00361328125,1.0303393363952638,0.0003828338,170.0,0.0002912959999999,-0.002228518895572,1,0.0003,5e-05
38912,19,259,0.0,-28.328000000000007,256.0,150,0.2837324738502502,0.2,-0.0236698285909369,-0.0065894126892089,0.0017578125,0.949002424813807,0.00018461852,180.0,0.000290784,-0.001608326670248,1,0.0003,5e-05
40960,20,259,0.0,-20.864,256.0,158,0.0913852080702781,0.2,-0.0182398611446842,0.264312207698822,0.00078125,0.4238599391188472,9.825922e-05,190.0,0.0002902719999999,-0.0004977384523954,1,0.0003,5e-05
43008,21,258,0.0,-14.578,256.0,166,0.7006494402885437,0.2,-0.0124492826056666,0.023817241191864,0.002392578125,0.824870528280735,0.0005055127,200.0,0.0002897599999999,-0.0014506249281112,1,0.0003,5e-05
45056,22,258,0.0,-10.663999999999998,256.0,174,0.2409260720014572,0.2,-0.0093052194104529,0.0598195791244506,0.0001953125,0.4222812907071784,2.8044102e-05,210.0,0.0002892479999999,-3.728533047251403e-05,1,0.0003,5e-05
