time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,time/fps,time/iterations,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,phase,phase_learning_rate_start,phase_learning_rate_end
7,256.0,2048,0.0,-194.375,271,1,,,,,,,,,,,1,0.0003,5e-05
15,256.0,4096,0.0,-195.125,263,2,0.009436125,86.13376564979554,-1.0897769659757617,0.2,0.0470862984657287,0.171533203125,21.264474868774418,-0.0174602455925196,0.0002994879999999,10.0,1,0.0003,5e-05
23,256.0,6144,0.0,-188.79166666666663,263,3,0.015441428,93.8642928123474,-1.0550457626581191,0.2,-0.0031489133834838,0.256396484375,34.73178482055664,-0.0220212483429349,0.0002989759999999,20.0,1,0.0003,5e-05
31,256.0,8192,0.0,-181.40625,263,4,0.01916656,76.75525455474853,-0.9826836735010148,0.2,-6.73532485961914e-05,0.268359375,31.653499603271484,-0.0246960950666107,0.0002984639999999,30.0,1,0.0003,5e-05
38,256.0,10240,0.0,-171.175,262,5,0.015841123,57.43087649345398,-0.8751539967954158,0.2,0.0001918077468872,0.292919921875,24.176746368408203,-0.0267055477481335,0.000297952,40.0,1,0.0003,5e-05
47,256.0,12288,0.0,-161.70833333333334,261,6,0.015998943,32.050041103363036,-0.7439866796135902,0.2,-5.125999450683594e-06,0.244091796875,11.412610054016112,-0.0267137825430836,0.0002974399999999,50.0,1,0.0003,5e-05
54,256.0,14336,0.0,-149.82142857142858,260,7,0.009106221,20.301510190963747,-0.6368196301162243,0.2,-0.0047909021377563,0.1873046875,7.340419292449951,-0.0209230534732341,0.0002969279999999,60.0,1,0.0003,5e-05
62,256.0,16384,0.0,-140.859375,260,8,0.0063095856,6.76934397816658,-0.499597194045782,0.2,4.76837158203125e-07,0.16337890625,2.2661585807800293,-0.021968932764139,0.000296416,70.0,1,0.0003,5e-05
70,256.0,18432,0.0,-131.84722222222223,260,9,0.014986097,7.147485077381134,-0.4372139189392328,0.2,-0.0054426193237304,0.12822265625,2.7149434089660645,-0.0164305434678681,0.000295904,80.0,1,0.0003,5e-05
78,256.0,20480,0.0,-121.2,261,10,0.013197217,4.879807859659195,-0.3164516095072031,0.2,-0.0006608963012695,0.10009765625,2.439159393310547,-0.0158681661123409,0.0002953919999999,90.0,1,0.0003,5e-05
86,256.0,22528,0.0,-111.98863636363636,261,11,0.006454428,3.4358196943998336,-0.1632929269224405,0.2,-2.384185791015625e-07,0.046923828125,1.1649160385131836,-0.0114802321011666,0.0002948799999999,100.0,1,0.0003,5e-05
94,256.0,24576,0.0,-103.57291666666669,261,12,0.0019662697,2.8972642555832864,-0.1489901278167963,0.2,-5.793571472167969e-05,0.0248046875,0.9440335035324096,-0.0078694809053558,0.000294368,110.0,1,0.0003,5e-05
101,256.0,26624,0.0,-92.43,261,13,0.00082960003,3.0050309181213377,-0.1032832692377269,0.2,-1.0371208190917969e-05,0.0091796875,0.8068044185638428,-0.0045233649259898,0.0002938559999999,120.0,1,0.0003,5e-05
109,256.0,28672,0.0,-77.74,260,14,0.0005125168,2.388942340761423,-0.0783048489131033,0.2,5.602836608886719e-05,0.00732421875,0.4848874509334564,-0.0036135745729552,0.0002933439999999,130.0,1,0.0003,5e-05
117,256.0,30720,0.0,-63.73,260,15,0.0013600253,1.4636969074606896,-0.0569517183583229,0.2,-4.410743713378906e-06,0.008837890625,0.4981841742992401,-0.0044607958232518,0.000292832,140.0,1,0.0003,5e-05
125,256.0,32768,0.0,-50.86,260,16,0.0007318658,1.45164138302207,-0.0431418306659907,0.2,0.000338077545166,0.0083984375,0.5669995546340942,-0.0040705533581785,0.00029232,150.0,1,0.0003,5e-05
133,256.0,34816,0.0,-39.64,260,17,0.00096115976,0.8680205833166837,-0.0310245617525652,0.2,0.1581351161003112,0.006201171875,0.2951139509677887,-0.0033949211181607,0.0002918079999999,160.0,1,0.0003,5e-05
141,256.0,36864,0.0,-30.27,260,18,0.00028764748,0.3087081253528595,-0.0196912452345713,0.2,0.0,0.00263671875,0.0923242941498756,-0.0019088336324784,0.0002912959999999,170.0,1,0.0003,5e-05
149,256.0,38912,0.0,-22.49,261,19,0.00032443626,0.3759209737181663,-0.0151452464633621,0.2,-1.1920928955078125e-07,0.00263671875,0.2247303426265716,-0.0012427290901541,0.000290784,180.0,1,0.0003,5e-05
156,256.0,40960,0.0,-16.88,261,20,6.8131456e-05,0.2878220792859792,-0.0130653794505633,0.2,0.4013054370880127,0.0013671875,0.0825729221105575,-0.0012280901311896,0.0002902719999999,190.0,1,0.0003,5e-05
164,256.0,43008,0.0,-11.66,261,21,7.3426694e-05,0.5454831754788756,-0.0100433938321657,0.2,-2.5033950805664062e-06,0.001025390625,0.3195481300354004,-0.0010830297018401,0.0002897599999999,200.0,1,0.0003,5e-05
172,256.0,45056,0.0,-8.38,261,22,-3.0180672e-08,0.1218179629184305,-0.0093808863661251,0.2,-1.1920928955078125e-07,0.0,0.0845067054033279,-4.860805347561836e-07,0.0002892479999999,210.0,1,0.0003,5e-05
180,256.0,47104,0.0,-6.61,261,23,4.1772466e-05,0.1209086553775705,-0.0094209652394056,0.2,0.4656413793563843,0.00029296875,0.0084253633394837,-0.0002480204508174,0.0002887359999999,220.0,1,0.0003,5e-05
188,256.0,49152,0.0,-5.85,261,24,0.000287531,0.1293529021088034,-0.0054513275506906,0.2,0.0077044367790222,0.00126953125,0.0327973328530788,-0.0012014404404908,0.0002882239999999,230.0,1,0.0003,5e-05
195,256.0,51200,0.0,-5.11,261,25,0.00013151701,0.2637327613309025,-0.0036363793566124,0.2,2.014636993408203e-05,0.00078125,0.1450124382972717,-0.0007176274433732,0.0002877119999999,240.0,1,0.0003,5e-05
