time/fps,rollout/ep_len_mean,rollout/success_rate,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/loss,train/clip_range,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/clip_fraction,phase,phase_learning_rate_start,phase_learning_rate_end
242,256.0,0.0,1,2048,8,-200.875,,,,,,,,,,,1,0.0003,5e-05
233,252.125,0.0625,2,4096,17,-187.75,-1.087090890109539,101.64358215332032,28.534223556518555,0.2,0.0002994879999999,10.0,-0.0196085743780713,0.012777002,0.004083514213562,0.23046875,1,0.0003,5e-05
238,253.41666666666663,0.0416666666666666,3,6144,25,-184.875,-1.0603149712085724,122.36201701164244,56.04615783691406,0.2,0.0002989759999999,20.0,-0.0101651421980932,0.014715785,-0.0012249946594238,0.22802734375,1,0.0003,5e-05
242,254.0625,0.03125,4,8192,33,-175.0,-0.9871796920895576,79.27722544670105,32.376956939697266,0.2,0.0002984639999999,30.0,-0.0273019196465611,0.018984564,-0.0056408643722534,0.3091796875,1,0.0003,5e-05
244,254.45,0.025,5,10240,41,-167.575,-0.8768566839396954,46.73153204917908,18.62682723999023,0.2,0.000297952,40.0,-0.0291916513757314,0.016866028,0.0001627206802368,0.306005859375,1,0.0003,5e-05
245,254.70833333333337,0.0208333333333333,6,12288,50,-158.41666666666666,-0.7695824451744556,38.39546098709106,13.415650367736816,0.2,0.0002974399999999,50.0,-0.021884185320232,0.013026906,0.0007409453392028,0.22392578125,1,0.0003,5e-05
246,254.8928571428571,0.0178571428571428,7,14336,58,-149.57142857142858,-0.6442935317754745,18.73867734670639,6.588388919830322,0.2,0.0002969279999999,60.0,-0.0197661288373637,0.009562342,-0.0002418756484985,0.18896484375,1,0.0003,5e-05
247,255.03125,0.015625,8,16384,66,-139.796875,-0.5302922300994396,12.627422916889191,4.2286834716796875,0.2,0.000296416,70.0,-0.0196670988574624,0.007503608,-0.0009043216705322,0.16591796875,1,0.0003,5e-05
248,255.13888888888889,0.0138888888888888,9,18432,74,-130.23611111111111,-0.4459472097456455,5.086167138814926,2.0288589000701904,0.2,0.000295904,80.0,-0.0181621791620273,0.01289131,-0.0020077228546142,0.12763671875,1,0.0003,5e-05
248,255.225,0.0125,10,20480,82,-119.6,-0.2657570851966738,5.046371328830719,2.2478668689727783,0.2,0.0002953919999999,90.0,-0.0157845535082742,0.030323654,-0.0003466606140136,0.07626953125,1,0.0003,5e-05
248,255.29545454545453,0.0113636363636363,11,22528,90,-110.20454545454544,-0.1268164337612688,3.201422055065632,1.120105862617493,0.2,0.0002948799999999,100.0,-0.0062323185615241,0.0037459137,-7.152557373046875e-07,0.02578125,1,0.0003,5e-05
249,255.35416666666663,0.0104166666666666,12,24576,98,-102.26041666666669,-0.1297738844528794,2.7835553362965584,0.6467758417129517,0.2,0.000294368,110.0,-0.0064939924166537,0.003175377,0.0050058364868164,0.02109375,1,0.0003,5e-05
249,255.38,0.01,13,26624,106,-91.77,-0.0758241689763963,2.958112321794033,0.8696997761726379,0.2,0.0002938559999999,120.0,-0.0035270417516585,0.0007565865,0.1283406019210815,0.00849609375,1,0.0003,5e-05
249,255.38,0.01,14,28672,114,-76.65,-0.1265636834315955,2.149365910887718,0.6101862192153931,0.2,0.0002933439999999,130.0,-0.0035936244647018,0.0013163326,0.4082781076431274,0.01259765625,1,0.0003,5e-05
250,256.0,0.0,15,30720,122,-63.95,-0.0599809961393475,1.2219009157270193,0.3144075274467468,0.2,0.000292832,140.0,-0.0022458526480477,0.00033637605,0.6400333642959595,0.004638671875,1,0.0003,5e-05
250,256.0,0.0,16,32768,130,-51.92,-0.0328770315973088,1.43069122210145,0.4955366849899292,0.2,0.00029232,150.0,-0.0031737880897708,0.0015683993,0.5552243590354919,0.006787109375,1,0.0003,5e-05
250,256.0,0.0,17,34816,138,-41.02,-0.0483010630123317,1.7886232368648052,0.7616128325462341,0.2,0.0002918079999999,160.0,-0.0032835782913025,0.00074750977,0.6427706480026245,0.00673828125,1,0.0003,5e-05
250,256.0,0.0,18,36864,147,-31.08,-0.0249972592806443,0.5166505364701152,0.1555252224206924,0.2,0.0002912959999999,170.0,-0.0035644970601424,0.003256415,0.86821448802948,0.004443359375,1,0.0003,5e-05
250,256.0,0.0,19,38912,155,-22.78,-0.0148273580707609,0.3955557849258184,0.0386496782302856,0.2,0.000290784,180.0,-0.0001703083456959,2.0961947e-05,0.8393632769584656,0.000244140625,1,0.0003,5e-05
250,256.0,0.0,20,40960,163,-16.59,-0.0110463492223061,0.5055123438127339,0.1286929994821548,0.2,0.0002902719999999,190.0,-0.0009436004853341,7.502086e-05,0.3530634641647339,0.001025390625,1,0.0003,5e-05
250,256.0,0.0,21,43008,171,-11.75,-0.0085235587903298,0.2702546907123178,0.0222131311893463,0.2,0.0002897599999999,200.0,-0.0006833722698502,6.1699015e-05,0.7374154329299927,0.00068359375,1,0.0003,5e-05
251,256.0,0.0,22,45056,179,-9.23,-0.0055656716052908,0.273591836169362,0.0812526568770408,0.2,0.0002892479999999,210.0,-0.0019407051440794,0.00015173742,0.1396148800849914,0.001513671875,1,0.0003,5e-05
251,256.0,0.0,23,47104,187,-7.96,-0.0053565440292004,0.1284119671327062,0.0165797360241413,0.2,0.0002887359999999,220.0,-9.171984856948256e-06,-3.929017e-09,0.67945396900177,0.0,1,0.0003,5e-05
251,256.0,0.0,24,49152,195,-7.21,-0.005575115152169,0.1366120468825102,0.0082384245470166,0.2,0.0002882239999999,230.0,-1.3607623986899852e-05,-1.3940735e-08,0.6704386472702026,0.0,1,0.0003,5e-05
251,256.0,0.0,25,51200,203,-6.19,-0.0043469255411764,0.5512702340260148,0.1491151750087738,0.2,0.0002877119999999,240.0,-0.0002643111278302,6.7988905e-05,0.0380163192749023,0.000341796875,1,0.0003,5e-05
251,256.0,0.0,26,53248,211,-5.06,-0.0026655446243239,0.0767973130801692,0.0149369221180677,0.2,0.0002871999999999,250.0,-0.001203082880238,0.000110927416,0.0793203115463256,0.000830078125,1,0.0003,5e-05
251,256.0,0.0,27,55296,219,-4.26,-0.0020472596399486,0.129592843609862,0.0710044130682945,0.2,0.0002866879999999,260.0,-0.0003063367970753,3.9371545e-05,0.0808287262916565,0.000390625,1,0.0003,5e-05
251,256.0,0.0,28,57344,228,-4.03,-0.0015699787065386,0.0282702957105357,0.0079559497535228,0.2,0.0002861759999999,270.0,-0.0004807311575859,8.203965e-05,0.9032062888145448,0.00029296875,1,0.0003,5e-05
251,256.0,0.0,29,59392,236,-3.39,-0.0012784771024598,0.0939142059592995,0.035436924546957,0.2,0.000285664,280.0,5.005858838558197e-09,-5.9546437e-08,0.0060120820999145,0.0,1,0.0003,5e-05
251,256.0,0.0,30,61440,244,-3.27,-0.0012979065228137,0.1015499611909035,0.0331238433718681,0.2,0.0002851519999999,290.0,-3.1606759876012805e-09,-5.4977136e-08,0.343819260597229,0.0,1,0.0003,5e-05
251,256.0,0.0,31,63488,252,-2.98,-0.0013286676199641,0.0500053544616093,0.0029406386893242,0.2,0.0002846399999999,300.0,-1.6274861991405492e-08,-5.2095857e-08,0.6890914440155029,0.0,1,0.0003,5e-05
251,256.0,0.0,32,65536,260,-2.95,-0.0013739690271904,0.0528450964353396,0.0048781502991914,0.2,0.000284128,310.0,-6.3388142734766e-08,-5.212496e-08,0.7064505815505981,0.0,1,0.0003,5e-05
251,256.0,0.0,33,67584,268,-2.71,-0.0013523637593607,0.1085380821328726,0.0448280833661556,0.2,0.0002836159999999,320.0,1.3964017853140833e-08,0.0,0.0144124627113342,0.0,1,0.0003,5e-05
251,256.0,0.0,34,69632,276,-2.88,-0.0014608606012188,0.0680298488994594,0.0156967956572771,0.2,0.0002831039999999,330.0,-1.6414560377597812e-08,-2.6193447e-09,0.0328040719032287,0.0,1,0.0003,5e-05
251,256.0,0.0,35,71680,284,-2.83,-0.0011139904716401,0.2503554355818778,0.1554657965898513,0.2,0.0002825919999999,340.0,-0.0001830781111493,4.1510415e-05,0.0905231237411499,0.000390625,1,0.0003,5e-05
252,256.0,0.0,36,73728,292,-2.7,-0.0007086865625751,0.0434424030012451,0.0038627656176686,0.2,0.00028208,350.0,-0.0004929159069433,0.00012679555,0.2353962659835815,0.000390625,1,0.0003,5e-05
252,256.0,0.0,37,75776,300,-2.71,-0.0006331027885607,0.0893446265974489,0.1038185581564903,0.2,0.0002815679999999,360.0,-3.2619573175907134e-08,-1.00408215e-08,0.2258177399635315,0.0,1,0.0003,5e-05
252,256.0,0.0,38,77824,308,-2.71,-0.0006343404944345,0.3364602257381193,0.1702447831630706,0.2,0.0002810559999999,370.0,4.575122147798538e-09,-1.7753337e-09,0.000933289527893,0.0,1,0.0003,5e-05
252,256.0,0.0,39,79872,316,-2.74,-0.0016480470396345,0.1405388214043341,0.0185065679252147,0.2,0.000280544,380.0,-0.0001657481479924,5.933107e-07,0.401810884475708,0.0,1,0.0003,5e-05
252,256.0,0.0,40,81920,324,-2.99,-0.0006093112118833,0.0433519714009889,0.0073982654139399,0.2,0.000280032,390.0,-1.0524527169764041e-07,-7.4214768e-09,0.5952935218811035,0.0,1,0.0003,5e-05
252,256.0,0.0,41,83968,332,-2.93,-0.0008698358440597,0.3372391631361097,0.2113994508981704,0.2,0.0002795199999999,400.0,-0.0001413975609466,0.0003086004,0.3140511512756347,0.000439453125,1,0.0003,5e-05
252,256.0,0.0,42,86016,341,-3.05,-0.0005196185229578,0.0450448711344506,0.0495962649583816,0.2,0.0002790079999999,410.0,-2.1944288164377214e-09,0.0,0.4374482035636902,0.0,1,0.0003,5e-05
252,256.0,0.0,43,88064,349,-2.91,-0.0005238121666479,0.2353337889537215,0.0824076384305954,0.2,0.000278496,420.0,5.064066499471664e-10,0.0,0.0408740043640136,0.0,1,0.0003,5e-05
252,256.0,0.0,44,90112,357,-2.75,-0.0005294954811688,0.0158402881897927,0.0020933311898261,0.2,0.0002779839999999,430.0,7.468042895197869e-09,0.0,0.546635627746582,0.0,1,0.0003,5e-05
252,256.0,0.0,45,92160,365,-2.93,-0.0005476219695992,0.0587410364685638,0.1160277277231216,0.2,0.0002774719999999,440.0,-3.5739503800868983e-09,0.0,0.1293945908546447,0.0,1,0.0003,5e-05
252,256.0,0.0,46,94208,373,-2.94,-0.0005429607481346,0.1088135729602072,0.0783449932932853,0.2,0.00027696,450.0,8.515780791640282e-09,0.0,0.0680888295173645,0.0,1,0.0003,5e-05
252,256.0,0.0,47,96256,381,-2.75,-0.0006874948230688,0.0755942060695815,0.0302122812718153,0.2,0.000276448,460.0,-4.784669727087021e-09,-6.519258e-09,0.0190531015396118,0.0,1,0.0003,5e-05
252,256.0,0.0,48,98304,389,-2.85,-0.0006004648639645,0.031411551711426,0.0199405159801244,0.2,0.0002759359999999,470.0,-7.051276043057442e-08,-2.910383e-11,0.0935500860214233,0.0,1,0.0003,5e-05
252,256.0,0.0,49,100352,397,-2.77,-0.0006058384358766,0.1688058718129468,0.149245947599411,0.2,0.0002754239999999,480.0,1.5529803931713105e-08,-1.3096724e-08,0.0228268504142761,0.0,1,0.0003,5e-05
252,256.0,0.0,50,102400,405,-2.53,-0.0005933718290179,0.0101975216899518,0.018762744963169,0.2,0.000274912,490.0,-1.1047814041376115e-07,-9.255018e-09,0.2649354338645935,0.0,1,0.0003,5e-05
252,256.0,0.0,51,104448,413,-2.47,-0.0006139364209957,0.0257914582973171,0.003979945089668,0.2,0.0002743999999999,500.0,-2.9406510293483733e-08,-3.7194695e-08,0.0574663281440734,0.0,1,0.0003,5e-05
252,256.0,0.0,52,106496,421,-2.36,-0.0006108514535299,0.0848682292649755,0.1127914935350418,0.2,0.0002738879999999,510.0,-1.3021053746342658e-08,-9.400537e-09,0.0308331847190856,0.0,1,0.0003,5e-05
252,256.0,0.0,53,108544,429,-2.38,-0.0006330113894364,0.0267332871006146,9.317539661424236e-05,0.2,0.000273376,520.0,-3.022141754627228e-08,-1.405715e-08,0.0728524327278137,0.0,1,0.0003,5e-05
252,256.0,0.0,54,110592,438,-2.22,-0.0006180711265187,0.1741859501518775,0.1184699460864067,0.2,0.000272864,530.0,-9.778887033462523e-10,-2.339948e-08,0.0150988698005676,0.0,1,0.0003,5e-05
252,256.0,0.0,55,112640,446,-2.4,-0.0006522154901176,0.1204780627740547,0.0484306700527668,0.2,0.0002723519999999,540.0,1.2235250324010848e-08,-2.8609065e-08,0.0499507188796997,0.0,1,0.0003,5e-05
252,256.0,0.0,56,114688,454,-2.56,-0.0006596405648451,0.1883033607620746,0.0894756689667701,0.2,0.0002718399999999,550.0,-2.1653249859809873e-09,-5.957554e-08,0.001048982143402,0.0,1,0.0003,5e-05
252,256.0,0.0,57,116736,462,-2.55,-0.0006750044674845,0.1559347146539949,0.0031936184968799,0.2,0.000271328,560.0,-2.0512379705905913e-08,-5.7742e-08,-0.0136393308639526,0.0,1,0.0003,5e-05
251,256.0,0.0,58,118784,472,-2.53,-0.00044785313803,0.050578033569036,0.0085440753027796,0.2,0.000270816,570.0,-0.0003762561478652,9.716867e-05,0.0421094894409179,0.000439453125,1,0.0003,5e-05
251,256.0,0.0,59,120832,480,-2.44,-0.000434502099597,0.0772700027853716,0.0122217573225498,0.2,0.0002703039999999,580.0,-1.8742866814136507e-09,0.0,0.0147030353546142,0.0,1,0.0003,5e-05
250,256.0,0.0,60,122880,489,-2.54,-0.0002641940012836,0.0199476287001743,0.0031615740153938,0.2,0.0002697919999999,590.0,-0.0008512604690622,0.00015240995,0.1327061057090759,0.000439453125,1,0.0003,5e-05
250,256.0,0.0,61,124928,498,-2.52,-0.0002527181244659,0.2532329016597942,0.0739939510822296,0.2,0.0002692799999999,600.0,4.656612873077393e-10,0.0,0.0279759168624877,0.0,1,0.0003,5e-05
250,256.0,0.0,62,126976,507,-2.6,-0.0002466541172907,0.0162384495792139,0.017230100929737,0.2,0.0002687679999999,610.0,2.2351741790771484e-09,0.0,0.1454343795776367,0.0,1,0.0003,5e-05
250,256.0,0.0,63,129024,515,-2.7,-0.0002933793817646,0.127858739408839,0.108318381011486,0.2,0.000268256,620.0,2.0346487872302533e-08,-7.4214768e-09,0.0240688920021057,0.0,1,0.0003,5e-05
249,256.0,0.0,64,131072,524,-2.74,-0.0002499991533113,0.1319296551853767,0.0306687746196985,0.2,0.0002677439999999,630.0,-2.823071554303169e-09,0.0,0.024393618106842,0.0,1,0.0003,5e-05
249,256.0,0.0,65,133120,532,-2.78,-0.0002719133946811,0.0539924659369717,0.0022831188980489,0.2,0.0002672319999999,640.0,-6.257323548197746e-09,-1.4551915e-10,0.0599656701087951,0.0,1,0.0003,5e-05
249,256.0,0.0,66,135168,541,-2.76,-0.0002854506445146,0.0637929928696394,0.0005873491754755,0.2,0.0002667199999999,650.0,-3.364402800798416e-09,-2.3574103e-09,0.0713217854499816,0.0,1,0.0003,5e-05
249,256.0,0.0,67,137216,550,-2.6,-0.0002593168421299,0.2099752505309879,0.1091656759381294,0.2,0.000266208,660.0,-7.753260433673858e-09,0.0,0.00631844997406,0.0,1,0.0003,5e-05
249,256.0,0.0,68,139264,559,-2.5,-0.0003221023565856,0.0168963864044599,0.0174243878573179,0.2,0.0002656959999999,670.0,-1.2664240784943105e-07,0.0,0.1297505497932434,0.0,1,0.0003,5e-05
248,256.0,0.0,69,141312,568,-2.63,-0.0003380865975486,0.1739629178016912,0.1696769744157791,0.2,0.0002651839999999,680.0,-1.678417902439833e-07,-2.910383e-11,0.0095310807228088,0.0,1,0.0003,5e-05
248,256.0,0.0,70,143360,576,-2.67,-0.0002671927450137,0.1584058141190326,0.1408394277095794,0.2,0.000264672,690.0,-2.601882442831993e-09,0.0,0.0010016560554504,0.0,1,0.0003,5e-05
248,256.0,0.0,71,145408,585,-2.73,-0.0002714250411372,0.0707735179428709,0.0331870391964912,0.2,0.00026416,700.0,7.962808012962342e-09,0.0,0.0029830932617187,0.0,1,0.0003,5e-05
248,256.0,0.0,72,147456,594,-2.9,-0.0002703459107578,0.2210336536809336,0.3380091786384582,0.2,0.0002636479999999,710.0,6.915070116519928e-09,0.0,0.0020188093185424,0.0,1,0.0003,5e-05
247,256.0,0.0,73,149504,602,-2.76,-0.0003454181394772,0.1827711958205327,0.0127617735415697,0.2,0.0002631359999999,720.0,3.527384251356125e-09,0.0,0.008794367313385,0.0,1,0.0003,5e-05
247,256.0,0.0,74,151552,611,-2.82,-0.0002759111557679,0.1221622141260013,0.089713841676712,0.2,0.000262624,730.0,-1.862645149230957e-09,-2.910383e-11,0.025492787361145,0.0,1,0.0003,5e-05
247,256.0,0.0,75,153600,620,-2.74,-0.0002875724050682,0.1184349312505219,0.0461381673812866,0.2,0.0002621119999999,740.0,-1.1594966053962709e-08,0.0,-0.007691740989685,0.0,1,0.0003,5e-05
247,256.0,0.0,76,155648,628,-2.76,-0.0003000300126586,0.0436754987318636,0.072951890528202,0.2,0.0002615999999999,750.0,1.0902294889092446e-08,0.0,0.0073198080062866,0.0,1,0.0003,5e-05
247,256.0,0.0,77,157696,637,-2.9,-0.0002821714329911,0.0587669683955027,0.0217701662331819,0.2,0.000261088,760.0,-3.585591912269592e-09,0.0,0.0,0.0,1,0.0003,5e-05
247,256.0,0.0,78,159744,646,-2.84,-0.0003224794574634,0.2380620053969323,0.2071633487939834,0.2,0.0002605759999999,770.0,2.980232238769531e-09,0.0,-0.0029146671295166,0.0,1,0.0003,5e-05
247,256.0,0.0,79,161792,654,-2.78,-0.0003098736055108,0.0472208838957158,0.0202565323561429,0.2,0.0002600639999999,780.0,3.94647940993309e-09,-8.731149e-11,0.0,0.0,1,0.0003,5e-05
246,256.0,0.0,80,163840,663,-2.92,-0.0003133501275442,0.0098508884296279,0.0017734532011672,0.2,0.0002595519999999,790.0,1.4656689018011094e-08,-2.910383e-11,0.000237226486206,0.0,1,0.0003,5e-05
