rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/success_rate,time/iterations,train/explained_variance,train/clip_range,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/loss,phase,phase_learning_rate_start,phase_learning_rate_end
-201.85,264,2048,7,256.0,0.0,1,,,,,,,,,,,1,0.0003,5e-05
-196.0375,255,4096,16,256.0,0.0,2,0.0039842128753662,0.2,0.0002994879999999,-1.088502150774002,106.57129373550416,0.151318359375,0.012435082,-0.0133409733884036,10.0,30.816085815429688,1,0.0003,5e-05
-189.28333333333333,254,6144,24,256.0,0.0,3,0.0120401978492736,0.2,0.0002989759999999,-1.0565754279494286,85.82713313102722,0.18115234375,0.014095422,-0.0188390426978003,20.0,28.73442649841309,1,0.0003,5e-05
-180.175,253,8192,32,256.0,0.0,4,-0.0041815042495727,0.2,0.0002984639999999,-0.9856464505195618,81.05029182434082,0.2203125,0.018646833,-0.0189108250429853,30.0,30.65336799621582,1,0.0003,5e-05
-171.475,253,10240,40,256.0,0.0,5,-1.430511474609375e-06,0.2,0.000297952,-0.8783485494554043,55.110633277893065,0.24287109375,0.01744776,-0.0207377427082974,40.0,21.535465240478516,1,0.0003,5e-05
-164.48749999999998,252,12288,48,256.0,0.0,6,0.0013542175292968,0.2,0.0002974399999999,-0.7763836517930031,42.503843021392825,0.204296875,0.012881887,-0.0187162618676666,50.0,15.120391845703123,1,0.0003,5e-05
-156.06785714285712,252,14336,56,256.0,0.0,7,0.0003138780593872,0.2,0.0002969279999999,-0.6665598101913929,35.29906311035156,0.154541015625,0.009325121,-0.0140832407865673,60.0,14.756818771362305,1,0.0003,5e-05
-146.16875,252,16384,64,256.0,0.0,8,-7.390975952148437e-06,0.2,0.000296416,-0.5567211590707302,23.47281391620636,0.132373046875,0.0065273093,-0.0127351433446165,70.0,9.599059104919434,1,0.0003,5e-05
-136.27222222222224,251,18432,73,256.0,0.0,9,-0.0002979040145874,0.2,0.000295904,-0.4661899000406265,10.7844473361969,0.120361328125,0.006022035,-0.0137231451808474,80.0,4.273314952850342,1,0.0003,5e-05
-126.36750000000002,251,20480,81,256.0,0.0,10,9.834766387939451e-06,0.2,0.0002953919999999,-0.3487390793859958,8.282392692565917,0.087255859375,0.0046619903,-0.0096858566452283,90.0,3.8711845874786377,1,0.0003,5e-05
-118.15681818181817,251,22528,89,256.0,0.0,11,1.4901161193847656e-06,0.2,0.0002948799999999,-0.274150020442903,5.144460192322731,0.063232421875,0.0059558647,-0.0093415359326172,100.0,3.206329107284546,1,0.0003,5e-05
-110.28541666666668,251,24576,97,256.0,0.0,12,-0.0035251379013061,0.2,0.000294368,-0.2390107763931155,5.7706893384456635,0.050830078125,0.0039518457,-0.0077344155521132,110.0,2.278731107711792,1,0.0003,5e-05
-99.454,251,26624,105,256.0,0.0,13,-4.76837158203125e-07,0.2,0.0002938559999999,-0.1715690458193421,4.129309982061386,0.02705078125,0.0016159317,-0.0060182381654158,120.0,1.5213062763214111,1,0.0003,5e-05
-85.1,251,28672,114,256.0,0.0,14,-0.0235120058059692,0.2,0.0002933439999999,-0.1530642461031675,3.9320082664489746,0.02197265625,0.0032854849,-0.0050260344811249,130.0,1.8896031379699707,1,0.0003,5e-05
-71.856,251,30720,122,256.0,0.0,15,0.0018618702888488,0.2,0.000292832,-0.100935004837811,5.055395832657814,0.009521484375,0.000791721,-0.0023705447209067,140.0,1.712880253791809,1,0.0003,5e-05
