rollout/ep_len_mean,time/total_timesteps,rollout/success_rate,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/loss,train/policy_gradient_loss,train/value_loss,train/clip_range,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,train/learning_rate,train/clip_fraction,phase,phase_learning_rate_start,phase_learning_rate_end
256.0,2048,0.0,1,7,-202.5,274,,,,,,,,,,,1,0.0003,5e-05
256.0,4096,0.0,2,15,-198.8125,262,29.02508544921875,-0.016063507576473,103.98176040649416,0.2,10.0,-1.0884047418832778,0.013214543,-0.0322442054748535,0.0002994879999999,0.209912109375,1,0.0003,5e-05
256.0,6144,0.0,3,23,-189.375,261,31.57107162475586,-0.0157862755062524,91.54255390167236,0.2,20.0,-1.058644174039364,0.012658276,-0.0085749626159667,0.0002989759999999,0.192041015625,1,0.0003,5e-05
256.0,8192,0.0,4,31,-179.625,260,27.50088119506836,-0.025794148852583,70.6732255935669,0.2,30.0,-0.9873405814170836,0.01830517,-0.0014129877090454,0.0002984639999999,0.292578125,1,0.0003,5e-05
256.0,10240,0.0,5,39,-170.375,259,17.992511749267578,-0.0298417137935757,49.42071113586426,0.2,40.0,-0.8827816411852837,0.016140226,0.0025851130485534,0.000297952,0.310009765625,1,0.0003,5e-05
256.0,12288,0.0,6,47,-160.29166666666666,258,13.854575157165527,-0.0252712294284719,33.56229648590088,0.2,50.0,-0.7682731769979,0.012388473,9.357929229736328e-05,0.0002974399999999,0.23583984375,1,0.0003,5e-05
256.0,14336,0.0,7,55,-149.71428571428572,258,5.996315956115723,-0.0216845403774641,19.16285636425018,0.2,60.0,-0.6527545712888241,0.019237824,-0.002763032913208,0.0002969279999999,0.195556640625,1,0.0003,5e-05
256.0,16384,0.0,8,63,-141.03125,257,2.720820665359497,-0.0191361314267851,7.842403167486191,0.2,70.0,-0.4933032110333443,0.008332081,-0.0022214651107788,0.000296416,0.15048828125,1,0.0003,5e-05
256.0,18432,0.0,9,71,-131.20833333333334,257,2.1434216499328613,-0.019052541826386,6.3280385613441466,0.2,80.0,-0.424534972384572,0.00802601,0.0006422996520996,0.000295904,0.139892578125,1,0.0003,5e-05
256.0,20480,0.0,10,79,-121.9,257,2.244555711746216,-0.016296544286888,5.284739941358566,0.2,90.0,-0.256686338968575,0.012566945,-9.059906005859377e-06,0.0002953919999999,0.083349609375,1,0.0003,5e-05
256.0,22528,0.0,11,87,-113.29545454545456,257,2.208202600479126,-0.0126256120274774,4.550678965449333,0.2,100.0,-0.2258238699287176,0.0071338466,3.3974647521972656e-06,0.0002948799999999,0.053955078125,1,0.0003,5e-05
256.0,24576,0.0,12,95,-105.36458333333331,257,2.383131742477417,-0.0059563488990534,4.905455705523491,0.2,110.0,-0.1666219215840101,0.0020847188,-0.0076903104782104,0.000294368,0.028857421875,1,0.0003,5e-05
256.0,26624,0.0,13,103,-94.32,257,1.5017410516738892,-0.0064071986766066,3.4493591994047166,0.2,120.0,-0.1115713370963931,0.0008744219,3.2782554626464844e-06,0.0002938559999999,0.021826171875,1,0.0003,5e-05
256.0,28672,0.0,14,111,-79.13,256,0.6642442941665649,-0.0058909379644319,2.272683134675026,0.2,130.0,-0.0895421844907105,0.0007625356,3.081560134887695e-05,0.0002933439999999,0.0181640625,1,0.0003,5e-05
256.0,30720,0.0,15,119,-65.18,256,0.2797783315181732,-0.0042655250872485,1.071612734720111,0.2,140.0,-0.0638875666772946,0.008295218,0.0840365290641784,0.000292832,0.0119140625,1,0.0003,5e-05
256.0,32768,0.0,16,127,-52.56,256,0.3387126326560974,-0.0012314304884057,1.202569444477558,0.2,150.0,-0.0178488462348468,0.0002376606,0.0445727705955505,0.00029232,0.001806640625,1,0.0003,5e-05
256.0,34816,0.0,17,135,-41.31,256,0.2322236001491546,-0.0011899086297489,0.8149885449558496,0.2,160.0,-0.0127712057204917,0.00036803616,0.0022175908088684,0.0002918079999999,0.001611328125,1,0.0003,5e-05
256.0,36864,0.0,18,143,-31.61,256,0.0517062321305274,-0.0007997147389687,0.4439532097429037,0.2,170.0,-0.0084129745082464,0.00011429904,0.0292804241180419,0.0002912959999999,0.00078125,1,0.0003,5e-05
256.0,38912,0.0,19,151,-24.63,256,0.0396179407835006,-0.0005910624226089,0.4597496528644115,0.2,180.0,-0.0062708487210329,0.00013995008,0.2811900377273559,0.000290784,0.000537109375,1,0.0003,5e-05
256.0,40960,0.0,20,160,-18.07,255,0.0759461969137191,-0.0012439157115295,0.5034888368099928,0.2,190.0,-0.0048942079476546,0.00035100183,0.332478404045105,0.0002902719999999,0.001220703125,1,0.0003,5e-05
256.0,43008,0.0,21,168,-13.27,255,0.06019813939929,-0.0009636043570935,0.2100414075888693,0.2,200.0,-0.0038093216600827,6.5720174e-05,0.6772385835647583,0.0002897599999999,0.00078125,1,0.0003,5e-05
256.0,45056,0.0,22,176,-9.37,255,0.1306802332401275,-0.0005124056595377,0.3953874255530536,0.2,210.0,-0.0025937403319403,4.539205e-05,0.0707745552062988,0.0002892479999999,0.000341796875,1,0.0003,5e-05
256.0,47104,0.0,23,183,-7.82,256,0.0118451993912458,-0.0002814852457959,0.11082191466121,0.2,220.0,-0.0023159966018283,2.8272101e-05,0.6827565431594849,0.0002887359999999,0.00029296875,1,0.0003,5e-05
256.0,49152,0.0,24,191,-6.05,256,0.1319252997636795,1.0535586625337602e-09,0.2816004848107695,0.2,230.0,-0.0019835108891129,-5.1455572e-08,0.4236071109771728,0.0002882239999999,0.0,1,0.0003,5e-05
256.0,51200,0.0,25,200,-5.16,255,0.0267069470137357,-0.0004084151994902,0.3538672000169754,0.2,240.0,-0.0014772444745176,5.5035605e-05,0.2216902375221252,0.0002877119999999,0.00068359375,1,0.0003,5e-05
256.0,53248,0.0,26,208,-4.26,255,0.3619463145732879,-1.82341318577528e-07,0.3857183559099212,0.2,250.0,-0.0017243170339497,-3.7718564e-08,0.1529069542884826,0.0002871999999999,0.0,1,0.0003,5e-05
256.0,55296,0.0,27,216,-4.07,255,0.0508319921791553,-6.443588063120842e-08,0.1200439249631017,0.2,260.0,-0.0013892538845539,-1.2892997e-08,0.3262401223182678,0.0002866879999999,0.0,1,0.0003,5e-05
256.0,57344,0.0,28,224,-3.66,255,0.099100723862648,-2.7701025828719138e-08,0.1431189335417002,0.2,270.0,-0.0014566728772479,-2.0459993e-08,0.182048499584198,0.0002861759999999,0.0,1,0.0003,5e-05
256.0,59392,0.0,29,232,-3.77,255,0.0152389639988541,1.3387762010097503e-10,0.0471314659895142,0.2,280.0,-0.0014301092960522,0.0,0.2901467084884643,0.000285664,0.0,1,0.0003,5e-05
256.0,61440,0.0,30,240,-3.59,255,0.0966963320970535,-4.48198989033699e-10,0.3609457478130934,0.2,290.0,-0.0015145377255976,-7.3341653e-09,0.0509621500968933,0.0002851519999999,0.0,1,0.0003,5e-05
256.0,63488,0.0,31,248,-3.3,255,0.0470935627818107,-4.0314625948667534e-08,0.0370449430891312,0.2,300.0,-0.0016043610667111,-1.0069925e-08,0.4082464575767517,0.0002846399999999,0.0,1,0.0003,5e-05
256.0,65536,0.0,32,256,-3.36,255,0.0046363100409507,-0.0006356151541694,0.0367033462360268,0.2,310.0,-0.0012208890737383,3.4976954e-05,0.2349887490272522,0.000284128,0.000390625,1,0.0003,5e-05
256.0,67584,0.0,33,264,-3.15,255,0.093006856739521,-5.78584149479866e-08,0.2112914943660143,0.2,320.0,-0.0012366765949991,-4.4732587e-08,0.0124077796936035,0.0002836159999999,0.0,1,0.0003,5e-05
256.0,69632,0.0,34,272,-3.04,255,0.0026803340297192,-6.805057637393474e-08,0.0292732065441668,0.2,330.0,-0.0011707869605743,-4.8719812e-08,0.1058861017227172,0.0002831039999999,0.0,1,0.0003,5e-05
256.0,71680,0.0,35,280,-3.04,255,0.0298989824950695,-2.5623012334108352e-08,0.1038738409813959,0.2,340.0,-0.0013394839508691,-2.5320332e-09,0.0397273302078247,0.0002825919999999,0.0,1,0.0003,5e-05
256.0,73728,0.0,36,288,-2.82,255,-0.0051742256619036,-0.0005214097327552,0.0475625934632262,0.2,350.0,-0.0008711355330888,6.86585e-05,0.0128604769706726,0.00028208,0.000439453125,1,0.0003,5e-05
256.0,75776,0.0,37,296,-2.66,255,0.0269468389451503,-6.915070116519928e-09,0.03746387828578,0.2,360.0,-0.0007994819061423,-2.910383e-11,0.039265751838684,0.0002815679999999,0.0,1,0.0003,5e-05
256.0,77824,0.0,38,304,-2.56,255,0.0241869743913412,-1.0378425940871241e-08,0.0542315025326388,0.2,370.0,-0.0009736375643115,-5.5355486e-08,-0.0001362562179565,0.0002810559999999,0.0,1,0.0003,5e-05
256.0,79872,0.0,39,312,-2.62,255,0.0411339998245239,2.00001522898674e-08,0.2631143099861219,0.2,380.0,-0.0010610834622639,-4.4732587e-08,0.003674566745758,0.000280544,0.0,1,0.0003,5e-05
256.0,81920,0.0,40,320,-2.66,255,0.1068004444241523,-7.398193702101707e-09,0.2736475226469338,0.2,390.0,-0.0008401191495067,-1.7462298e-10,0.0083195567131042,0.000280032,0.0,1,0.0003,5e-05
256.0,83968,0.0,41,328,-2.52,255,0.168186068534851,-4.423782229423523e-10,0.2513842144049704,0.2,400.0,-0.0009247657682863,-4.231697e-08,-0.0024331808090209,0.0002795199999999,0.0,1,0.0003,5e-05
256.0,86016,0.0,42,336,-2.36,255,0.0020690450910478,-4.0640588849782946e-08,0.0104605068730961,0.2,410.0,-0.0009263726547942,-4.4732587e-08,0.5528474450111389,0.0002790079999999,0.0,1,0.0003,5e-05
