time/total_timesteps,time/time_elapsed,rollout/success_rate,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_range,train/clip_fraction,train/value_loss,train/loss,train/learning_rate,train/policy_gradient_loss,phase,phase_learning_rate_start,phase_learning_rate_end
2048,7,0.0,1,-205.475,283,256.0,,,,,,,,,,,1,0.0003,5e-05
4096,15,0.0,2,-197.775,271,256.0,0.012902979,-1.0894308239221573,10.0,-0.0264275074005126,0.2,0.118017578125,109.884339094162,31.33053398132324,0.0002994879999999,-0.011038584736525,1,0.0003,5e-05
6144,22,0.0,3,-187.61666666666665,267,256.0,0.01449493,-1.0594809144735335,20.0,0.0054080486297607,0.2,0.183740234375,86.94149193763732,29.274185180664062,0.0002989759999999,-0.0160695135651621,1,0.0003,5e-05
8192,31,0.0,4,-179.1,264,256.0,0.018010821,-0.9941323459148408,30.0,-0.0031299591064453,0.2,0.25703125,69.68156423568726,25.937986373901367,0.0002984639999999,-0.0235122511163353,1,0.0003,5e-05
10240,38,0.0,5,-168.95999999999998,263,256.0,0.015933475,-0.8952261380851269,40.0,-0.0015746355056762,0.2,0.22275390625,54.87664113044739,18.745229721069336,0.000297952,-0.0193895071395672,1,0.0003,5e-05
12288,46,0.0,6,-159.26666666666668,262,256.0,0.012378667,-0.7806540854275227,50.0,-0.0012999773025512,0.2,0.204052734375,33.13733792304993,12.977447509765623,0.0002974399999999,-0.0180479391943663,1,0.0003,5e-05
14336,54,0.0,7,-149.71428571428572,262,256.0,0.008727777,-0.679112470895052,60.0,-0.0007734298706054,0.2,0.169775390625,23.47997535467148,7.383293151855469,0.0002969279999999,-0.0146773437736555,1,0.0003,5e-05
16384,62,0.0,8,-141.140625,261,256.0,0.0065373788,-0.5789914473891258,70.0,-8.237361907958984e-05,0.2,0.142529296875,14.088127553462982,5.826103210449219,0.000296416,-0.0139185488515067,1,0.0003,5e-05
18432,70,0.0,9,-132.49444444444444,261,256.0,0.0051415064,-0.4894932776689529,80.0,-0.0007674694061279,0.2,0.12197265625,12.33598382472992,4.777195453643799,0.000295904,-0.012119798961794,1,0.0003,5e-05
20480,78,0.0,10,-124.7725,260,256.0,0.0038563744,-0.3809593807905912,90.0,3.063678741455078e-05,0.2,0.101318359375,8.940900444984436,3.571878671646118,0.0002953919999999,-0.0135306436917744,1,0.0003,5e-05
22528,86,0.0,11,-118.37272727272726,260,256.0,0.0026528477,-0.3128899592906237,100.0,0.0001623630523681,0.2,0.0775390625,8.046179622411728,3.726449728012085,0.0002948799999999,-0.0087312924733851,1,0.0003,5e-05
24576,94,0.0,12,-111.1375,260,256.0,0.0025609748,-0.2717019390314817,110.0,-0.0025824308395385,0.2,0.066015625,11.394418156147005,5.239488124847412,0.000294368,-0.0096110008133109,1,0.0003,5e-05
26624,102,0.0,13,-100.714,259,256.0,0.0019645235,-0.2360894108191132,120.0,-0.0004404783248901,0.2,0.03974609375,5.960635659098625,2.7633328437805176,0.0002938559999999,-0.0071086596522945,1,0.0003,5e-05
28672,110,0.0,14,-86.154,259,256.0,0.0028597708,-0.1760578531771898,130.0,-3.5762786865234375e-06,0.2,0.03271484375,5.284767436981201,1.814792513847351,0.0002933439999999,-0.0063044461770914,1,0.0003,5e-05
30720,118,0.0,15,-74.02600000000001,259,256.0,0.0013991233,-0.1471816029399633,140.0,0.0188831686973571,0.2,0.01552734375,4.348127797245979,1.4269311428070068,0.000292832,-0.0037333997956011,1,0.0003,5e-05
32768,126,0.0,16,-62.468,259,256.0,0.00092223124,-0.1060893447138369,150.0,-0.0192224979400634,0.2,0.01787109375,8.301229268312454,5.070383548736572,0.00029232,-0.0040672130184248,1,0.0003,5e-05
34816,134,0.0,17,-51.602,259,256.0,0.0010295134,-0.0894629798829555,160.0,0.0215006470680236,0.2,0.0115234375,4.924488350749016,1.8925344944000244,0.0002918079999999,-0.0022599855961743,1,0.0003,5e-05
36864,142,0.0,18,-42.592000000000006,259,256.0,0.00048857176,-0.0693926682230085,170.0,0.0283488035202026,0.2,0.00498046875,1.949933993816376,0.3078784644603729,0.0002912959999999,-0.0023348679998889,1,0.0003,5e-05
38912,149,0.0,19,-35.364,259,256.0,0.00092684926,-0.0496488571166992,180.0,-0.0044145584106445,0.2,0.006298828125,3.0925408601760864,1.1043132543563845,0.000290784,-0.0022697062522638,1,0.0003,5e-05
40960,157,0.0,20,-29.326000000000004,259,256.0,0.0009726958,-0.0350343267666175,190.0,0.0184170007705688,0.2,0.005908203125,1.9554262451827529,0.2516765594482422,0.0002902719999999,-0.0020611856598407,1,0.0003,5e-05
43008,165,0.0,21,-22.85,259,256.0,0.00034768088,-0.0242039304925128,200.0,0.0313568115234375,0.2,0.00322265625,2.2617055118083953,0.9580932259559632,0.0002897599999999,-0.002461977628991,1,0.0003,5e-05
45056,173,0.0,22,-18.434,259,256.0,0.00021208863,-0.0169373538927175,210.0,0.4740923047065735,0.2,0.00146484375,0.2994112527929246,0.0281914044171571,0.0002892479999999,-0.0010905655886745,1,0.0003,5e-05
47104,181,0.0,23,-14.196000000000002,259,256.0,0.00025351802,-0.010844318231102,220.0,0.0477571487426757,0.2,0.001220703125,0.4776708196848631,0.1953555643558502,0.0002887359999999,-0.0011767789081204,1,0.0003,5e-05
49152,189,0.0,24,-10.972,259,256.0,2.669642e-05,-0.0081531303469091,230.0,0.1253798007965088,0.2,0.0001953125,0.2273109672125429,0.1377373784780502,0.0002882239999999,-0.0001545646635349,1,0.0003,5e-05
51200,197,0.0,25,-9.175999999999998,259,256.0,2.2302702e-05,-0.007211152621312,240.0,0.0066052079200744,0.2,0.000244140625,0.4914483269909396,0.1117259040474891,0.0002877119999999,-0.0001802696438971,1,0.0003,5e-05
53248,205,0.0,26,-7.287999999999999,259,256.0,4.2380998e-07,-0.0078899022482801,250.0,0.1385406255722046,0.2,0.0,0.4823039525421336,0.4495701789855957,0.0002871999999999,7.944647222757339e-07,1,0.0003,5e-05
55296,213,0.0,27,-5.935999999999999,258,256.0,1.9430969e-05,-0.0069311179453507,260.0,0.0710117220878601,0.2,0.00029296875,0.3951915818150155,0.3951961696147918,0.0002866879999999,-0.0001535483635962,1,0.0003,5e-05
57344,221,0.0,28,-4.226,258,256.0,-2.9802322e-08,-0.0066512595280073,270.0,0.1772868037223816,0.2,0.0,0.1625955920491833,0.10752435028553,0.0002861759999999,1.9633444026112557e-08,1,0.0003,5e-05
59392,229,0.0,29,-3.63,258,256.0,0.0003330283,-0.0046786505088675,280.0,0.0015778541564941,0.2,0.001611328125,0.392187034804374,0.1096540987491607,0.000285664,-0.0013877569843316,1,0.0003,5e-05
61440,237,0.0,30,-3.0320000000000005,258,256.0,0.00013507446,-0.0035061254980973,290.0,0.1326968073844909,0.2,0.0001953125,0.3357369888981338,0.120672769844532,0.0002851519999999,-0.0002669728186447,1,0.0003,5e-05
63488,245,0.0,31,-2.024,258,256.0,-3.076275e-08,-0.0027303390495944,300.0,0.8648832440376282,0.2,0.0,0.0155110428400803,0.007683128118515,0.0002846399999999,-9.959330782294273e-08,1,0.0003,5e-05
65536,253,0.0,32,-1.558,258,256.0,2.265675e-05,-0.0024940904928371,310.0,0.098230242729187,0.2,0.000390625,0.0198373960884055,0.0033747041597962,0.000284128,-0.0007452112680766,1,0.0003,5e-05
